file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [12-Apr-2025 13:06:22 UTC] PHP Deprecated:  Required parameter $args follows optional parameter $options in /wordpress/wp-content/plugins/vcgs-toolbox/admin-page-class/admin-page-class.php on line 2719
[12-Apr-2025 13:06:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 69
[12-Apr-2025 13:06:23 UTC] PHP Notice:  Function is_page was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 13:06:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 92
[12-Apr-2025 13:06:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 348
[12-Apr-2025 13:06:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 379
[12-Apr-2025 13:06:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 418
[12-Apr-2025 13:06:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 431
[12-Apr-2025 13:06:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 447
[12-Apr-2025 13:06:30 UTC] PHP Deprecated:  Required parameter $args follows optional parameter $options in /wordpress/wp-content/plugins/vcgs-toolbox/admin-page-class/admin-page-class.php on line 2719
[12-Apr-2025 13:06:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/settings.php on line 268
[12-Apr-2025 13:06:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/settings.php on line 280
[12-Apr-2025 13:06:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 32
[12-Apr-2025 13:06:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 37
[12-Apr-2025 13:06:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 42
[12-Apr-2025 13:06:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 69
[12-Apr-2025 13:06:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 92
[12-Apr-2025 13:06:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 348
[12-Apr-2025 13:06:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 379
[12-Apr-2025 13:06:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 418
[12-Apr-2025 13:06:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 431
[12-Apr-2025 13:06:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 447
[12-Apr-2025 13:06:31 UTC] PHP Deprecated:  Required parameter $args follows optional parameter $options in /wordpress/wp-content/plugins/vcgs-toolbox/admin-page-class/admin-page-class.php on line 2719
[12-Apr-2025 13:06:31 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/settings.php on line 268
[12-Apr-2025 13:06:31 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/settings.php on line 280
[12-Apr-2025 13:06:31 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 32
[12-Apr-2025 13:06:31 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 37
[12-Apr-2025 13:06:31 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 42
[12-Apr-2025 13:06:31 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 69
[12-Apr-2025 13:06:31 UTC] PHP Notice:  Function is_page was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 13:06:31 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 92
[12-Apr-2025 13:06:31 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 348
[12-Apr-2025 13:06:31 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 379
[12-Apr-2025 13:06:31 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 418
[12-Apr-2025 13:06:31 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 431
[12-Apr-2025 13:06:31 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 447
[12-Apr-2025 13:06:40 UTC] PHP Deprecated:  Required parameter $args follows optional parameter $options in /wordpress/wp-content/plugins/vcgs-toolbox/admin-page-class/admin-page-class.php on line 2719
[12-Apr-2025 13:06:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/settings.php on line 268
[12-Apr-2025 13:06:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/settings.php on line 280
[12-Apr-2025 13:06:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 32
[12-Apr-2025 13:06:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 37
[12-Apr-2025 13:06:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 42
[12-Apr-2025 13:06:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 69
[12-Apr-2025 13:06:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 92
[12-Apr-2025 13:06:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 348
[12-Apr-2025 13:06:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 379
[12-Apr-2025 13:06:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 418
[12-Apr-2025 13:06:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 431
[12-Apr-2025 13:06:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 447
[12-Apr-2025 13:06:41 UTC] PHP Deprecated:  Required parameter $args follows optional parameter $options in /wordpress/wp-content/plugins/vcgs-toolbox/admin-page-class/admin-page-class.php on line 2719
[12-Apr-2025 13:06:41 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/settings.php on line 268
[12-Apr-2025 13:06:41 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/settings.php on line 280
[12-Apr-2025 13:06:41 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 32
[12-Apr-2025 13:06:41 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 37
[12-Apr-2025 13:06:41 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 42
[12-Apr-2025 13:06:41 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 69
[12-Apr-2025 13:06:41 UTC] PHP Notice:  Function is_page was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 13:06:41 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 92
[12-Apr-2025 13:06:41 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 348
[12-Apr-2025 13:06:41 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 379
[12-Apr-2025 13:06:41 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 418
[12-Apr-2025 13:06:41 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 431
[12-Apr-2025 13:06:41 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/vcgs-toolbox/vcgs-toolbox.php on line 447
[12-Apr-2025 13:08:28 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "voteme_enqueuescripts1" in /wordpress/wp-content/plugins/v-voting/loader.php:36
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('v-voting/loader...')
#2 /internal/eval.php(20): activate_plugin('v-voting/loader...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/v-voting/loader.php on line 36
[12-Apr-2025 13:08:38 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "voteme_enqueuescripts1" in /wordpress/wp-content/plugins/v-voting/loader.php:36
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('v-voting/loader...')
#2 /internal/eval.php(20): activate_plugin('v-voting/loader...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/v-voting/loader.php on line 36
[12-Apr-2025 13:08:49 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "voteme_enqueuescripts1" in /wordpress/wp-content/plugins/v-voting/loader.php:36
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('v-voting/loader...')
#2 /internal/eval.php(20): activate_plugin('v-voting/loader...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/v-voting/loader.php on line 36
[12-Apr-2025 13:09:27 UTC] PHP Deprecated:  Required parameter $message follows optional parameter $title in /wordpress/wp-content/plugins/vc-owl/vsp-framework/functions/admin-notices-functions.php on line 103
[12-Apr-2025 13:09:27 UTC] PHP Deprecated:  Required parameter $message follows optional parameter $title in /wordpress/wp-content/plugins/vc-owl/vsp-framework/functions/admin-notices-functions.php on line 123
[12-Apr-2025 13:09:27 UTC] PHP Deprecated:  Required parameter $message follows optional parameter $title in /wordpress/wp-content/plugins/vc-owl/vsp-framework/functions/admin-notices-functions.php on line 143
[12-Apr-2025 13:09:27 UTC] PHP Deprecated:  Required parameter $instance follows optional parameter $key in /wordpress/wp-content/plugins/vc-owl/vsp-framework/core/abstract/class-handler.php on line 213
[12-Apr-2025 13:09:27 UTC] PHP Deprecated:  Required parameter $defaults follows optional parameter $new in /wordpress/wp-content/plugins/vc-owl/vsp-framework/core/abstract/class-handler.php on line 257
[12-Apr-2025 13:09:28 UTC] PHP Fatal error:  Uncaught Error: Class "WPBakeryShortCode" not found in /wordpress/wp-content/plugins/vc-owl/includes/class-owl-container.php:9
Stack trace:
#0 /wordpress/wp-content/plugins/vc-owl/vsp-framework/vsp-functions.php(200): require()
#1 /wordpress/wp-content/plugins/vc-owl/bootstrap.php(113): vsp_load_file('/wordpress/wp-c...')
#2 /wordpress/wp-content/plugins/vc-owl/vsp-framework/core/class-framework.php(194): Visual_Composer_OWL->wp_init()
#3 /wordpress/wp-includes/class-wp-hook.php(324): VSP_Framework->__wp_init('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-settings.php(704): do_action('init')
#7 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#8 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#9 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#10 {main}
  thrown in /wordpress/wp-content/plugins/vc-owl/includes/class-owl-container.php on line 9
[12-Apr-2025 13:09:37 UTC] PHP Deprecated:  Required parameter $message follows optional parameter $title in /wordpress/wp-content/plugins/vc-owl/vsp-framework/functions/admin-notices-functions.php on line 103
[12-Apr-2025 13:09:37 UTC] PHP Deprecated:  Required parameter $message follows optional parameter $title in /wordpress/wp-content/plugins/vc-owl/vsp-framework/functions/admin-notices-functions.php on line 123
[12-Apr-2025 13:09:37 UTC] PHP Deprecated:  Required parameter $message follows optional parameter $title in /wordpress/wp-content/plugins/vc-owl/vsp-framework/functions/admin-notices-functions.php on line 143
[12-Apr-2025 13:09:37 UTC] PHP Deprecated:  Required parameter $instance follows optional parameter $key in /wordpress/wp-content/plugins/vc-owl/vsp-framework/core/abstract/class-handler.php on line 213
[12-Apr-2025 13:09:37 UTC] PHP Deprecated:  Required parameter $defaults follows optional parameter $new in /wordpress/wp-content/plugins/vc-owl/vsp-framework/core/abstract/class-handler.php on line 257
[12-Apr-2025 13:09:38 UTC] PHP Fatal error:  Uncaught Error: Class "WPBakeryShortCode" not found in /wordpress/wp-content/plugins/vc-owl/includes/class-owl-container.php:9
Stack trace:
#0 /wordpress/wp-content/plugins/vc-owl/vsp-framework/vsp-functions.php(200): require()
#1 /wordpress/wp-content/plugins/vc-owl/bootstrap.php(113): vsp_load_file('/wordpress/wp-c...')
#2 /wordpress/wp-content/plugins/vc-owl/vsp-framework/core/class-framework.php(194): Visual_Composer_OWL->wp_init()
#3 /wordpress/wp-includes/class-wp-hook.php(324): VSP_Framework->__wp_init('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-settings.php(704): do_action('init')
#7 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#8 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#9 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#10 {main}
  thrown in /wordpress/wp-content/plugins/vc-owl/includes/class-owl-container.php on line 9
[12-Apr-2025 13:09:47 UTC] PHP Deprecated:  Required parameter $message follows optional parameter $title in /wordpress/wp-content/plugins/vc-owl/vsp-framework/functions/admin-notices-functions.php on line 103
[12-Apr-2025 13:09:47 UTC] PHP Deprecated:  Required parameter $message follows optional parameter $title in /wordpress/wp-content/plugins/vc-owl/vsp-framework/functions/admin-notices-functions.php on line 123
[12-Apr-2025 13:09:47 UTC] PHP Deprecated:  Required parameter $message follows optional parameter $title in /wordpress/wp-content/plugins/vc-owl/vsp-framework/functions/admin-notices-functions.php on line 143
[12-Apr-2025 13:09:47 UTC] PHP Deprecated:  Required parameter $instance follows optional parameter $key in /wordpress/wp-content/plugins/vc-owl/vsp-framework/core/abstract/class-handler.php on line 213
[12-Apr-2025 13:09:47 UTC] PHP Deprecated:  Required parameter $defaults follows optional parameter $new in /wordpress/wp-content/plugins/vc-owl/vsp-framework/core/abstract/class-handler.php on line 257
[12-Apr-2025 13:09:48 UTC] PHP Fatal error:  Uncaught Error: Class "WPBakeryShortCode" not found in /wordpress/wp-content/plugins/vc-owl/includes/class-owl-container.php:9
Stack trace:
#0 /wordpress/wp-content/plugins/vc-owl/vsp-framework/vsp-functions.php(200): require()
#1 /wordpress/wp-content/plugins/vc-owl/bootstrap.php(113): vsp_load_file('/wordpress/wp-c...')
#2 /wordpress/wp-content/plugins/vc-owl/vsp-framework/core/class-framework.php(194): Visual_Composer_OWL->wp_init()
#3 /wordpress/wp-includes/class-wp-hook.php(324): VSP_Framework->__wp_init('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-settings.php(704): do_action('init')
#7 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#8 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#9 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#10 {main}
  thrown in /wordpress/wp-content/plugins/vc-owl/includes/class-owl-container.php on line 9
[12-Apr-2025 13:09:59 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>veiligvertoon</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 13:09:59 UTC] PHP Notice:  Function wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>veiligvertoon</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 13:09:59 UTC] PHP Notice:  Function wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>vv-constants</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 13:10:09 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>veiligvertoon</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 13:10:09 UTC] PHP Notice:  Function wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>veiligvertoon</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 13:10:09 UTC] PHP Notice:  Function wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>vv-constants</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 13:10:20 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>veiligvertoon</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 13:10:20 UTC] PHP Notice:  Function wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>veiligvertoon</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 13:10:20 UTC] PHP Notice:  Function wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>vv-constants</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6114

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"videopress"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/videopress.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/videopress.latest-stable.zip"
