file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [31-May-2025 13:08:57 UTC] PHP Warning:  Undefined property: Dynamictables_Loader::$shortcodes in /wordpress/wp-content/plugins/dynamic-tables/includes/class-dynamictables-loader.php on line 141
[31-May-2025 13:09:25 UTC] PHP Warning:  The magic method O10n\Module::__wakeup() must have public visibility in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 309
[31-May-2025 13:09:25 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/core.class.php on line 292
[31-May-2025 13:09:25 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/core.class.php on line 339
[31-May-2025 13:09:25 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/core.class.php on line 344
[31-May-2025 13:09:25 UTC] PHP Warning:  The magic method O10n\Core::__wakeup() must have public visibility in /wordpress/wp-content/plugins/css-optimization/core/controllers/core.class.php on line 344
[31-May-2025 13:09:25 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/file.class.php on line 304
[31-May-2025 13:09:25 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/cache.class.php on line 1238
[31-May-2025 13:09:25 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/cache.class.php on line 1507
[31-May-2025 13:09:25 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/cache.class.php on line 1521
[31-May-2025 13:09:25 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/url.class.php on line 298
[31-May-2025 13:09:25 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/output.class.php on line 134
[31-May-2025 13:09:25 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/output.class.php on line 191
[31-May-2025 13:09:25 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/http.class.php on line 46
[31-May-2025 13:09:25 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/client.class.php on line 233
[31-May-2025 13:09:25 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/client.class.php on line 319
[31-May-2025 13:09:25 UTC] PHP Fatal error:  Uncaught TypeError: mysqli_real_escape_string(): Argument #1 ($mysql) must be of type mysqli, WP_SQLite_Driver given in /wordpress/wp-content/plugins/css-optimization/core/controllers/db.class.php:198
Stack trace:
#0 /wordpress/wp-content/plugins/css-optimization/core/controllers/db.class.php(198): mysqli_real_escape_string(Object(WP_SQLite_Driver), '4d1301c731f5424...')
#1 /wordpress/wp-content/plugins/css-optimization/core/controllers/cache.class.php(524): O10n\Db->escape('4d1301c731f5424...')
#2 /wordpress/wp-content/plugins/css-optimization/core/controllers/client.class.php(120): O10n\Cache->put('core', 'config_index', '4d1301c731f5424...', Array, false, false, true)
#3 /wordpress/wp-content/plugins/css-optimization/core/controllers/controller.class.php(133): O10n\Client->setup()
#4 /wordpress/wp-content/plugins/css-optimization/core/controllers/client.class.php(53): O10n\Controller::construct(Object(O10n\Core), Array)
#5 /wordpress/wp-content/plugins/css-optimization/core/controllers/core.class.php(193): O10n\Client::load(Object(O10n\Core))
#6 /wordpress/wp-content/plugins/css-optimization/core/controllers/core.class.php(125): O10n\Core->load_controller('client')
#7 /wordpress/wp-includes/class-wp-hook.php(324): O10n\Core->setup('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(578): do_action('plugins_loaded')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-content/plugins/css-optimization/core/controllers/db.class.php on line 198
[31-May-2025 13:09:33 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 304
[31-May-2025 13:09:33 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 309
[31-May-2025 13:09:33 UTC] PHP Warning:  The magic method O10n\Module::__wakeup() must have public visibility in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 309
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 304
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 309
[31-May-2025 13:09:34 UTC] PHP Warning:  The magic method O10n\Module::__wakeup() must have public visibility in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 309
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/core.class.php on line 292
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/core.class.php on line 339
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/core.class.php on line 344
[31-May-2025 13:09:34 UTC] PHP Warning:  The magic method O10n\Core::__wakeup() must have public visibility in /wordpress/wp-content/plugins/css-optimization/core/controllers/core.class.php on line 344
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/file.class.php on line 304
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/cache.class.php on line 1238
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/cache.class.php on line 1507
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/cache.class.php on line 1521
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/url.class.php on line 298
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/output.class.php on line 134
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/output.class.php on line 191
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/http.class.php on line 46
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/client.class.php on line 233
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/client.class.php on line 319
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/proxy.class.php on line 352
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 1162
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 1233
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 1590
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 1810
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 2011
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 2043
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 2061
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 2103
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 2141
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 2318
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/criticalcss.class.php on line 390
[31-May-2025 13:09:34 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/cssminifytest.class.php on line 147
[31-May-2025 13:09:43 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 304
[31-May-2025 13:09:43 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 309
[31-May-2025 13:09:43 UTC] PHP Warning:  The magic method O10n\Module::__wakeup() must have public visibility in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 309
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 304
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 309
[31-May-2025 13:09:44 UTC] PHP Warning:  The magic method O10n\Module::__wakeup() must have public visibility in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 309
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/core.class.php on line 292
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/core.class.php on line 339
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/core.class.php on line 344
[31-May-2025 13:09:44 UTC] PHP Warning:  The magic method O10n\Core::__wakeup() must have public visibility in /wordpress/wp-content/plugins/css-optimization/core/controllers/core.class.php on line 344
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/file.class.php on line 304
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/cache.class.php on line 1238
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/cache.class.php on line 1507
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/cache.class.php on line 1521
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/url.class.php on line 298
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/output.class.php on line 134
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/output.class.php on line 191
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/http.class.php on line 46
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/client.class.php on line 233
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/client.class.php on line 319
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/proxy.class.php on line 352
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 1162
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 1233
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 1590
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 1810
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 2011
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 2043
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 2061
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 2103
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 2141
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/css.class.php on line 2318
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/criticalcss.class.php on line 390
[31-May-2025 13:09:44 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/controllers/cssminifytest.class.php on line 147
[31-May-2025 13:10:22 UTC] PHP Notice:  spl_autoload_register(): Argument #2 ($do_throw) has been ignored, spl_autoload_register() will always throw in /wordpress/wp-content/plugins/cart2cart-magento-to-woocommerce-migration/class/AutoLoad.php on line 11
[31-May-2025 13:10:22 UTC] PHP Notice:  spl_autoload_register(): Argument #2 ($do_throw) has been ignored, spl_autoload_register() will always throw in /wordpress/wp-content/plugins/cart2cart-magento-to-woocommerce-migration/class/AutoLoad.php on line 11
[31-May-2025 13:10:31 UTC] PHP Notice:  spl_autoload_register(): Argument #2 ($do_throw) has been ignored, spl_autoload_register() will always throw in /wordpress/wp-content/plugins/cart2cart-magento-to-woocommerce-migration/class/AutoLoad.php on line 11
[31-May-2025 13:10:31 UTC] PHP Notice:  spl_autoload_register(): Argument #2 ($do_throw) has been ignored, spl_autoload_register() will always throw in /wordpress/wp-content/plugins/cart2cart-magento-to-woocommerce-migration/class/AutoLoad.php on line 11
[31-May-2025 13:10:39 UTC] PHP Notice:  spl_autoload_register(): Argument #2 ($do_throw) has been ignored, spl_autoload_register() will always throw in /wordpress/wp-content/plugins/cart2cart-magento-to-woocommerce-migration/class/AutoLoad.php on line 11
[31-May-2025 13:10:40 UTC] PHP Notice:  spl_autoload_register(): Argument #2 ($do_throw) has been ignored, spl_autoload_register() will always throw in /wordpress/wp-content/plugins/cart2cart-magento-to-woocommerce-migration/class/AutoLoad.php on line 11
[31-May-2025 13:13:46 UTC] PHP Fatal error:  Uncaught TypeError: call_user_func_array(): Argument #1 ($callback) must be a valid callback, function "Clinical_Memcachier_Updater_init" not found or invalid function name in /wordpress/wp-includes/class-wp-hook.php:324
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#1 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#2 /wordpress/wp-settings.php(727): do_action('init')
#3 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#4 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#5 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#6 {main}
  thrown in /wordpress/wp-includes/class-wp-hook.php on line 324
[31-May-2025 13:13:55 UTC] PHP Fatal error:  Uncaught TypeError: call_user_func_array(): Argument #1 ($callback) must be a valid callback, function "Clinical_Memcachier_Updater_init" not found or invalid function name in /wordpress/wp-includes/class-wp-hook.php:324
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#1 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#2 /wordpress/wp-settings.php(727): do_action('init')
#3 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#4 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#5 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#6 {main}
  thrown in /wordpress/wp-includes/class-wp-hook.php on line 324
[31-May-2025 13:14:04 UTC] PHP Fatal error:  Uncaught TypeError: call_user_func_array(): Argument #1 ($callback) must be a valid callback, function "Clinical_Memcachier_Updater_init" not found or invalid function name in /wordpress/wp-includes/class-wp-hook.php:324
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#1 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#2 /wordpress/wp-settings.php(727): do_action('init')
#3 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#4 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#5 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#6 {main}
  thrown in /wordpress/wp-includes/class-wp-hook.php on line 324
[31-May-2025 13:14:14 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function wc_get_logger() in /wordpress/wp-content/plugins/code-login-woo/code-login-woo.php:44
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): {closure}('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-settings.php(749): do_action('wp_loaded')
#4 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#5 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#6 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#7 {main}
  thrown in /wordpress/wp-content/plugins/code-login-woo/code-login-woo.php on line 44
[31-May-2025 13:14:23 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function wc_get_logger() in /wordpress/wp-content/plugins/code-login-woo/code-login-woo.php:44
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): {closure}('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-settings.php(749): do_action('wp_loaded')
#4 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#5 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#6 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#7 {main}
  thrown in /wordpress/wp-content/plugins/code-login-woo/code-login-woo.php on line 44
[31-May-2025 13:14:31 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function wc_get_logger() in /wordpress/wp-content/plugins/code-login-woo/code-login-woo.php:44
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): {closure}('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-settings.php(749): do_action('wp_loaded')
#4 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#5 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#6 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#7 {main}
  thrown in /wordpress/wp-content/plugins/code-login-woo/code-login-woo.php on line 44
[31-May-2025 13:15:06 UTC] PHP Fatal error:  Uncaught Error: Non-static method Comment_Autogrow::init() cannot be called statically in /wordpress/wp-content/plugins/comment-autogrow/comment-autogrow.php:11
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('comment-autogro...')
#2 /internal/eval.php(20): activate_plugin('comment-autogro...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/comment-autogrow/comment-autogrow.php on line 11
[31-May-2025 13:15:13 UTC] PHP Fatal error:  Uncaught Error: Non-static method Comment_Autogrow::init() cannot be called statically in /wordpress/wp-content/plugins/comment-autogrow/comment-autogrow.php:11
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('comment-autogro...')
#2 /internal/eval.php(20): activate_plugin('comment-autogro...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/comment-autogrow/comment-autogrow.php on line 11
[31-May-2025 13:15:21 UTC] PHP Fatal error:  Uncaught Error: Non-static method Comment_Autogrow::init() cannot be called statically in /wordpress/wp-content/plugins/comment-autogrow/comment-autogrow.php:11
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('comment-autogro...')
#2 /internal/eval.php(20): activate_plugin('comment-autogro...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/comment-autogrow/comment-autogrow.php on line 11

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"cookie-info"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/cookie-info.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/cookie-info.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
      at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/cookie-info.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
    				cross-origin file downloads. Learn more about CORS at
    				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
    
