file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [19-Apr-2025 02:18:22 UTC] PHP Warning:  Undefined array key 84 in /wordpress/wp-content/plugins/h-seeed-wp/H-Seeed-WP.php on line 36
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 21
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 32
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 36
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 47
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 48
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 49
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 50
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 53
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 54
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 69
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 83
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 84
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 89
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 90
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 100
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 129
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 133
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 134
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 137
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 145
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 157
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 165
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 223
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 227
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 228
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 233
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 12
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 17
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 30
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 40
[19-Apr-2025 02:18:59 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 114
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/index.php on line 106
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 8
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 17
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 18
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 19
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 20
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 21
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 32
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 36
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 47
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 48
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 49
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 50
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 53
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 54
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 69
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 83
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 84
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 89
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 90
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 100
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 129
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 133
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 134
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 137
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 145
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 157
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 165
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 223
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 227
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 228
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 233
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 12
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 17
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 30
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 40
[19-Apr-2025 02:19:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 114
[19-Apr-2025 02:19:18 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "wp_head" in /wordpress/wp-content/plugins/happy-christmas-plugin/happy-christmas.php:40
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('happy-christmas...')
#2 /internal/eval.php(20): activate_plugin('happy-christmas...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/happy-christmas-plugin/happy-christmas.php on line 40
[19-Apr-2025 02:19:26 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "wp_head" in /wordpress/wp-content/plugins/happy-christmas-plugin/happy-christmas.php:40
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('happy-christmas...')
#2 /internal/eval.php(20): activate_plugin('happy-christmas...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/happy-christmas-plugin/happy-christmas.php on line 40
[19-Apr-2025 02:19:34 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "wp_head" in /wordpress/wp-content/plugins/happy-christmas-plugin/happy-christmas.php:40
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('happy-christmas...')
#2 /internal/eval.php(20): activate_plugin('happy-christmas...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/happy-christmas-plugin/happy-christmas.php on line 40
[19-Apr-2025 02:19:45 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>ht-instagram</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[19-Apr-2025 02:19:53 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>ht-instagram</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[19-Apr-2025 02:20:03 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>ht-instagram</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[19-Apr-2025 02:22:57 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>heartbeat-control</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[19-Apr-2025 02:23:08 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>heartbeat-control</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[19-Apr-2025 02:23:19 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>heartbeat-control</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[19-Apr-2025 02:25:33 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[19-Apr-2025 02:25:41 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[19-Apr-2025 02:25:50 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"html-on-page-url"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/html-on-page-url.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/html-on-page-url.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
      at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/html-on-page-url.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
    				cross-origin file downloads. Learn more about CORS at
