file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [10-May-2025 10:28:54 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/nino-contact-form/includes/nino-contact-widget.php:70
[10-May-2025 10:32:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/nlpcaptcha/nlpcaptcha.php on line 37
[10-May-2025 10:32:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/nlpcaptcha/nlpcaptcha.php on line 45
[10-May-2025 10:32:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/nlpcaptcha/nlpcaptcha.php on line 54
[10-May-2025 10:32:40 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/nlpcaptcha/nlpcaptcha.php on line 74
[10-May-2025 10:33:16 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:16 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:16 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:16 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:16 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:16 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:16 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:16 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:16 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:16 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:16 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:17 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:17 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:17 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:17 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:17 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:25 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:26 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:26 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:26 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:26 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:26 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:26 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:26 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:26 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:26 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:26 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:26 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:26 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:26 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:26 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:26 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:35 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:35 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:35 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:35 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:35 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:36 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:36 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:36 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:36 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:36 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:36 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:36 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:36 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:36 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:33:36 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 10:33:36 UTC] PHP Warning:  Undefined variable $image_url in /wordpress/wp-content/plugins/portfolio-perfect/portfolioPerfectPlugin.php on line 235
[10-May-2025 10:34:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 5
[10-May-2025 10:34:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 18
[10-May-2025 10:34:12 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 31
[10-May-2025 10:34:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 5
[10-May-2025 10:34:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 18
[10-May-2025 10:34:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 31
[10-May-2025 10:34:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 5
[10-May-2025 10:34:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 18
[10-May-2025 10:34:21 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 31
[10-May-2025 10:34:22 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 5
[10-May-2025 10:34:22 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 18
[10-May-2025 10:34:22 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 31
[10-May-2025 10:34:29 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 5
[10-May-2025 10:34:29 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 18
[10-May-2025 10:34:29 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 31
[10-May-2025 10:34:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 5
[10-May-2025 10:34:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 18
[10-May-2025 10:34:30 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/post-title-icons/includes/display-functions.php on line 31
[10-May-2025 10:35:34 UTC] PHP Fatal error:  Uncaught TypeError: count(): Argument #1 ($value) must be of type Countable|array, bool given in /wordpress/wp-content/plugins/promociones-mercado-pago/TokioMP_Plugin.php:32
Stack trace:
#0 /wordpress/wp-content/plugins/promociones-mercado-pago/TokioMP_LifeCycle.php(29): TokioMP_Plugin->initOptions()
#1 /wordpress/wp-content/plugins/promociones-mercado-pago/promociones-mercado-pago_init.php(34): TokioMP_LifeCycle->install()
#2 /wordpress/wp-content/plugins/promociones-mercado-pago/promociones-mercado-pago.php(84): TokioMP_init('/wordpress/wp-c...')
#3 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#4 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('promociones-mer...')
#5 /internal/eval.php(20): activate_plugin('promociones-mer...')
#6 {main}
  thrown in /wordpress/wp-content/plugins/promociones-mercado-pago/TokioMP_Plugin.php on line 32
[10-May-2025 10:35:41 UTC] PHP Fatal error:  Uncaught TypeError: count(): Argument #1 ($value) must be of type Countable|array, bool given in /wordpress/wp-content/plugins/promociones-mercado-pago/TokioMP_Plugin.php:32
Stack trace:
#0 /wordpress/wp-content/plugins/promociones-mercado-pago/TokioMP_LifeCycle.php(29): TokioMP_Plugin->initOptions()
#1 /wordpress/wp-content/plugins/promociones-mercado-pago/promociones-mercado-pago_init.php(34): TokioMP_LifeCycle->install()
#2 /wordpress/wp-content/plugins/promociones-mercado-pago/promociones-mercado-pago.php(84): TokioMP_init('/wordpress/wp-c...')
#3 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#4 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('promociones-mer...')
#5 /internal/eval.php(20): activate_plugin('promociones-mer...')
#6 {main}
  thrown in /wordpress/wp-content/plugins/promociones-mercado-pago/TokioMP_Plugin.php on line 32
[10-May-2025 10:35:49 UTC] PHP Fatal error:  Uncaught TypeError: count(): Argument #1 ($value) must be of type Countable|array, bool given in /wordpress/wp-content/plugins/promociones-mercado-pago/TokioMP_Plugin.php:32
Stack trace:
#0 /wordpress/wp-content/plugins/promociones-mercado-pago/TokioMP_LifeCycle.php(29): TokioMP_Plugin->initOptions()
#1 /wordpress/wp-content/plugins/promociones-mercado-pago/promociones-mercado-pago_init.php(34): TokioMP_LifeCycle->install()
#2 /wordpress/wp-content/plugins/promociones-mercado-pago/promociones-mercado-pago.php(84): TokioMP_init('/wordpress/wp-c...')
#3 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#4 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('promociones-mer...')
#5 /internal/eval.php(20): activate_plugin('promociones-mer...')
#6 {main}
  thrown in /wordpress/wp-content/plugins/promociones-mercado-pago/TokioMP_Plugin.php on line 32

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"promociones-mercado-pago"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      ... 2 lines matching cause stack trace ...
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:987:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:33:39)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:974:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12517:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12446:23)
        at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
        at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
        at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
      response: PHPResponse {
        httpStatusCode: 500,
        headers: {
          'x-powered-by': [ 'PHP/8.0.30-dev' ],
          'content-type': [ 'text/html; charset=UTF-8' ]
        },
        bytes: Uint8Array(0) [],
        exitCode: 255,
        errors: ''
      },
      source: 'request'
    }
  }
}

Node.js v23.11.0
