file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [13-Jun-2025 08:59:08 UTC] PHP Warning:  Undefined array key "hCustomFields_nonce" in /wordpress/wp-content/plugins/custom-fields-for-many-dates/custom-fields-for-many-dates.php on line 406
[13-Jun-2025 08:59:39 UTC] PHP Deprecated:  Required parameter $gpf_gpf_id follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
[13-Jun-2025 08:59:39 UTC] PHP Deprecated:  Required parameter $more follows optional parameter $num_words in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1367
[13-Jun-2025 08:59:40 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>custom-google-plus-feed</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 08:59:40 UTC] PHP Deprecated:  Required parameter $location follows optional parameter $FBtype in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1151
[13-Jun-2025 08:59:40 UTC] PHP Deprecated:  Required parameter $type follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
[13-Jun-2025 08:59:40 UTC] PHP Deprecated:  Required parameter $hide_date_likes_comments follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
[13-Jun-2025 08:59:40 UTC] PHP Deprecated:  Required parameter $gpf_gpf_id follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
[13-Jun-2025 08:59:40 UTC] PHP Deprecated:  Required parameter $more follows optional parameter $num_words in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1367
[13-Jun-2025 08:59:48 UTC] PHP Deprecated:  Required parameter $location follows optional parameter $FBtype in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1151
[13-Jun-2025 08:59:48 UTC] PHP Deprecated:  Required parameter $type follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
[13-Jun-2025 08:59:48 UTC] PHP Deprecated:  Required parameter $hide_date_likes_comments follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
[13-Jun-2025 08:59:48 UTC] PHP Deprecated:  Required parameter $gpf_gpf_id follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
[13-Jun-2025 08:59:48 UTC] PHP Deprecated:  Required parameter $more follows optional parameter $num_words in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1367
[13-Jun-2025 08:59:50 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>custom-google-plus-feed</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 08:59:50 UTC] PHP Deprecated:  Required parameter $location follows optional parameter $FBtype in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1151
[13-Jun-2025 08:59:50 UTC] PHP Deprecated:  Required parameter $type follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
[13-Jun-2025 08:59:50 UTC] PHP Deprecated:  Required parameter $hide_date_likes_comments follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
[13-Jun-2025 08:59:50 UTC] PHP Deprecated:  Required parameter $gpf_gpf_id follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
[13-Jun-2025 08:59:50 UTC] PHP Deprecated:  Required parameter $more follows optional parameter $num_words in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1367
[13-Jun-2025 08:59:59 UTC] PHP Deprecated:  Required parameter $location follows optional parameter $FBtype in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1151
[13-Jun-2025 08:59:59 UTC] PHP Deprecated:  Required parameter $type follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
[13-Jun-2025 08:59:59 UTC] PHP Deprecated:  Required parameter $hide_date_likes_comments follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
[13-Jun-2025 08:59:59 UTC] PHP Deprecated:  Required parameter $gpf_gpf_id follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
[13-Jun-2025 08:59:59 UTC] PHP Deprecated:  Required parameter $more follows optional parameter $num_words in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1367
[13-Jun-2025 09:00:00 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>custom-google-plus-feed</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 09:00:00 UTC] PHP Deprecated:  Required parameter $location follows optional parameter $FBtype in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1151
[13-Jun-2025 09:00:00 UTC] PHP Deprecated:  Required parameter $type follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
[13-Jun-2025 09:00:00 UTC] PHP Deprecated:  Required parameter $hide_date_likes_comments follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
[13-Jun-2025 09:00:00 UTC] PHP Deprecated:  Required parameter $gpf_gpf_id follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
[13-Jun-2025 09:00:00 UTC] PHP Deprecated:  Required parameter $more follows optional parameter $num_words in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1367
[13-Jun-2025 09:00:32 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/custom-page-menus/widget-class.php:100
Stack trace:
#0 /wordpress/wp-content/plugins/custom-page-menus/index.php(22): include()
#1 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#2 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('custom-page-men...')
#3 /internal/eval.php(20): activate_plugin('custom-page-men...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/custom-page-menus/widget-class.php on line 100
[13-Jun-2025 09:00:40 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/custom-page-menus/widget-class.php:100
Stack trace:
#0 /wordpress/wp-content/plugins/custom-page-menus/index.php(22): include()
#1 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#2 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('custom-page-men...')
#3 /internal/eval.php(20): activate_plugin('custom-page-men...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/custom-page-menus/widget-class.php on line 100
[13-Jun-2025 09:00:48 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/custom-page-menus/widget-class.php:100
Stack trace:
#0 /wordpress/wp-content/plugins/custom-page-menus/index.php(22): include()
#1 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#2 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('custom-page-men...')
#3 /internal/eval.php(20): activate_plugin('custom-page-men...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/custom-page-menus/widget-class.php on line 100
[13-Jun-2025 09:01:26 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 132
[13-Jun-2025 09:01:26 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 135
[13-Jun-2025 09:01:26 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 138
[13-Jun-2025 09:01:26 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 142
[13-Jun-2025 09:01:26 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 144
[13-Jun-2025 09:01:26 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 146
[13-Jun-2025 09:01:26 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 148
[13-Jun-2025 09:01:26 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 152
[13-Jun-2025 09:01:26 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 154
[13-Jun-2025 09:01:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 132
[13-Jun-2025 09:01:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 135
[13-Jun-2025 09:01:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 138
[13-Jun-2025 09:01:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 142
[13-Jun-2025 09:01:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 144
[13-Jun-2025 09:01:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 146
[13-Jun-2025 09:01:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 148
[13-Jun-2025 09:01:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 152
[13-Jun-2025 09:01:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 154
[13-Jun-2025 09:01:44 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 132
[13-Jun-2025 09:01:44 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 135
[13-Jun-2025 09:01:44 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 138
[13-Jun-2025 09:01:44 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 142
[13-Jun-2025 09:01:44 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 144
[13-Jun-2025 09:01:44 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 146
[13-Jun-2025 09:01:44 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 148
[13-Jun-2025 09:01:44 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 152
[13-Jun-2025 09:01:44 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/custom-post-list-order/custom-post-list-order.php on line 154
[13-Jun-2025 09:01:55 UTC] PHP Warning:  Undefined array key "sy_act" in /wordpress/wp-content/plugins/custom-post-type-gui/custom-post.php on line 147
[13-Jun-2025 09:01:56 UTC] PHP Warning:  Undefined array key "sy_act" in /wordpress/wp-content/plugins/custom-post-type-gui/custom-post.php on line 147
[13-Jun-2025 09:02:04 UTC] PHP Warning:  Undefined array key "sy_act" in /wordpress/wp-content/plugins/custom-post-type-gui/custom-post.php on line 147
[13-Jun-2025 09:02:05 UTC] PHP Warning:  Undefined array key "sy_act" in /wordpress/wp-content/plugins/custom-post-type-gui/custom-post.php on line 147
[13-Jun-2025 09:02:13 UTC] PHP Warning:  Undefined array key "sy_act" in /wordpress/wp-content/plugins/custom-post-type-gui/custom-post.php on line 147
[13-Jun-2025 09:02:14 UTC] PHP Warning:  Undefined array key "sy_act" in /wordpress/wp-content/plugins/custom-post-type-gui/custom-post.php on line 147
[13-Jun-2025 09:02:25 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>custom-post-type-widget-blocks</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 09:02:35 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>custom-post-type-widget-blocks</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 09:02:45 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>custom-post-type-widget-blocks</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 09:03:31 UTC] PHP Notice:  date_default_timezone_set(): Timezone ID '+00:00' is invalid in /wordpress/wp-content/plugins/cybro-wp-easy-dark-mode/dark-dash.php on line 101
[13-Jun-2025 09:03:41 UTC] PHP Notice:  date_default_timezone_set(): Timezone ID '+00:00' is invalid in /wordpress/wp-content/plugins/cybro-wp-easy-dark-mode/dark-dash.php on line 101
[13-Jun-2025 09:03:51 UTC] PHP Notice:  date_default_timezone_set(): Timezone ID '+00:00' is invalid in /wordpress/wp-content/plugins/cybro-wp-easy-dark-mode/dark-dash.php on line 101
[13-Jun-2025 09:04:29 UTC] PHP Warning:  Undefined property: CustomSearchWidget::$widget_desc in /wordpress/wp-content/plugins/custom-search-form/includes/CustomSearchWidget.php on line 21
[13-Jun-2025 09:04:38 UTC] PHP Warning:  Undefined property: CustomSearchWidget::$widget_desc in /wordpress/wp-content/plugins/custom-search-form/includes/CustomSearchWidget.php on line 21
[13-Jun-2025 09:04:48 UTC] PHP Warning:  Undefined property: CustomSearchWidget::$widget_desc in /wordpress/wp-content/plugins/custom-search-form/includes/CustomSearchWidget.php on line 21
[13-Jun-2025 09:07:19 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('clw_widget')
#2 /wordpress/wp-content/plugins/custom-wp-login-widget/clw-functions.php(55): register_widget('clw_widget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): clw_widget_init('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[13-Jun-2025 09:07:28 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('clw_widget')
#2 /wordpress/wp-content/plugins/custom-wp-login-widget/clw-functions.php(55): register_widget('clw_widget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): clw_widget_init('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[13-Jun-2025 09:07:38 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('clw_widget')
#2 /wordpress/wp-content/plugins/custom-wp-login-widget/clw-functions.php(55): register_widget('clw_widget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): clw_widget_init('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"customer-input-form-vertical"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/customer-input-form-vertical.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/customer-input-form-vertical.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12093:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
      at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/customer-input-form-vertical.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
    				cross-origin file downloads. Learn more about CORS at
    				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
    
    				If your file is on GitHub, load it from "raw.githubusercontent.com".
    				Here's how to do that:
    
    				1. Start with the original GitHub URL of the file. For example:
    				https://github.com/username/repository/blob/branch/filename.
    				2. Replace "github.com" with "raw.githubusercontent.com".
