file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [06-Jun-2025 13:18:42 UTC] PHP Fatal error:  Cannot redeclare wp_cache_add() (previously declared in /wordpress/wp-includes/cache.php:41) in /wordpress/wp-content/plugins/uwsgi-object-cache/object-cache.php on line 42
[06-Jun-2025 13:19:10 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6121
[06-Jun-2025 13:19:10 UTC] PHP Warning:  Undefined variable $hata in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 80
[06-Jun-2025 13:19:18 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 12
[06-Jun-2025 13:19:18 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 13
[06-Jun-2025 13:19:19 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 34
[06-Jun-2025 13:19:19 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 35
[06-Jun-2025 13:19:19 UTC] PHP Warning:  Undefined array key 2 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 36
[06-Jun-2025 13:19:19 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6121
[06-Jun-2025 13:19:20 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 12
[06-Jun-2025 13:19:20 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 13
[06-Jun-2025 13:19:20 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 34
[06-Jun-2025 13:19:20 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 35
[06-Jun-2025 13:19:20 UTC] PHP Warning:  Undefined array key 2 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 36
[06-Jun-2025 13:19:20 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6121
[06-Jun-2025 13:19:20 UTC] PHP Warning:  Undefined variable $hata in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 80
[06-Jun-2025 13:19:29 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 12
[06-Jun-2025 13:19:29 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 13
[06-Jun-2025 13:19:29 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 34
[06-Jun-2025 13:19:29 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 35
[06-Jun-2025 13:19:29 UTC] PHP Warning:  Undefined array key 2 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 36
[06-Jun-2025 13:19:29 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6121
[06-Jun-2025 13:19:30 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 12
[06-Jun-2025 13:19:30 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 13
[06-Jun-2025 13:19:30 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 34
[06-Jun-2025 13:19:30 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 35
[06-Jun-2025 13:19:30 UTC] PHP Warning:  Undefined array key 2 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 36
[06-Jun-2025 13:19:30 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6121
[06-Jun-2025 13:19:30 UTC] PHP Warning:  Undefined variable $hata in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 80
[06-Jun-2025 13:20:07 UTC] PHP Warning:  Undefined array key "zvote" in /wordpress/wp-content/plugins/z-vote/zvote.php on line 22
[06-Jun-2025 13:20:09 UTC] PHP Warning:  Undefined array key "zvote" in /wordpress/wp-content/plugins/z-vote/zvote.php on line 22
[06-Jun-2025 13:20:17 UTC] PHP Warning:  Undefined array key "zvote" in /wordpress/wp-content/plugins/z-vote/zvote.php on line 22
[06-Jun-2025 13:20:18 UTC] PHP Warning:  Undefined array key "zvote" in /wordpress/wp-content/plugins/z-vote/zvote.php on line 22
[06-Jun-2025 13:20:26 UTC] PHP Warning:  Undefined array key "zvote" in /wordpress/wp-content/plugins/z-vote/zvote.php on line 22
[06-Jun-2025 13:20:27 UTC] PHP Warning:  Undefined array key "zvote" in /wordpress/wp-content/plugins/z-vote/zvote.php on line 22
[06-Jun-2025 13:20:37 UTC] PHP Fatal error:  Unparenthesized `a ? b : c ? d : e` is not supported. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in /wordpress/wp-content/plugins/zacwp-phpmyadmin/zacwp_pma_controller.php on line 324
[06-Jun-2025 13:20:45 UTC] PHP Fatal error:  Unparenthesized `a ? b : c ? d : e` is not supported. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in /wordpress/wp-content/plugins/zacwp-phpmyadmin/zacwp_pma_controller.php on line 324
[06-Jun-2025 13:20:53 UTC] PHP Fatal error:  Unparenthesized `a ? b : c ? d : e` is not supported. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in /wordpress/wp-content/plugins/zacwp-phpmyadmin/zacwp_pma_controller.php on line 324
[06-Jun-2025 13:21:34 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('zakiPostSlideWi...')
#2 /wordpress/wp-content/plugins/zaki-post-slide-widget/postslide.php(420): register_widget('zakiPostSlideWi...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): zakiPostSlideWidgetRegister('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[06-Jun-2025 13:21:44 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('zakiPostSlideWi...')
#2 /wordpress/wp-content/plugins/zaki-post-slide-widget/postslide.php(420): register_widget('zakiPostSlideWi...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): zakiPostSlideWidgetRegister('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[06-Jun-2025 13:21:53 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('zakiPostSlideWi...')
#2 /wordpress/wp-content/plugins/zaki-post-slide-widget/postslide.php(420): register_widget('zakiPostSlideWi...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): zakiPostSlideWidgetRegister('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[06-Jun-2025 13:23:57 UTC] PHP Warning:  Undefined array key "HTTP_CF_CONNECTING_IP" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:23:57 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED_FOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:23:57 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:23:57 UTC] PHP Warning:  Undefined array key "HTTP_FORWARDED_FOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:23:57 UTC] PHP Warning:  Undefined array key "HTTP_FORWARDED" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:23:57 UTC] PHP Warning:  Undefined array key "HTTP_X_REAL_IP" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:23:57 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED_PROTO" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 57
[06-Jun-2025 13:23:57 UTC] PHP Warning:  Undefined array key "HTTP_CF_VISITOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 57
[06-Jun-2025 13:23:57 UTC] PHP Warning:  Undefined array key "HTTP_CF_CONNECTING_IP" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:23:57 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED_FOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:23:57 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:23:57 UTC] PHP Warning:  Undefined array key "HTTP_FORWARDED_FOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:23:57 UTC] PHP Warning:  Undefined array key "HTTP_FORWARDED" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:23:57 UTC] PHP Warning:  Undefined array key "HTTP_X_REAL_IP" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:23:57 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED_PROTO" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 57
[06-Jun-2025 13:23:57 UTC] PHP Warning:  Undefined array key "HTTP_CF_VISITOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 57
[06-Jun-2025 13:24:06 UTC] PHP Warning:  Undefined array key "HTTP_CF_CONNECTING_IP" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:06 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED_FOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:06 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:06 UTC] PHP Warning:  Undefined array key "HTTP_FORWARDED_FOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:06 UTC] PHP Warning:  Undefined array key "HTTP_FORWARDED" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:06 UTC] PHP Warning:  Undefined array key "HTTP_X_REAL_IP" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:06 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED_PROTO" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 57
[06-Jun-2025 13:24:06 UTC] PHP Warning:  Undefined array key "HTTP_CF_VISITOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 57
[06-Jun-2025 13:24:07 UTC] PHP Warning:  Undefined array key "HTTP_CF_CONNECTING_IP" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:07 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED_FOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:07 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:07 UTC] PHP Warning:  Undefined array key "HTTP_FORWARDED_FOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:07 UTC] PHP Warning:  Undefined array key "HTTP_FORWARDED" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:07 UTC] PHP Warning:  Undefined array key "HTTP_X_REAL_IP" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:07 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED_PROTO" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 57
[06-Jun-2025 13:24:07 UTC] PHP Warning:  Undefined array key "HTTP_CF_VISITOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 57
[06-Jun-2025 13:24:14 UTC] PHP Warning:  Undefined array key "HTTP_CF_CONNECTING_IP" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:14 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED_FOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:14 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:14 UTC] PHP Warning:  Undefined array key "HTTP_FORWARDED_FOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:14 UTC] PHP Warning:  Undefined array key "HTTP_FORWARDED" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:14 UTC] PHP Warning:  Undefined array key "HTTP_X_REAL_IP" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:14 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED_PROTO" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 57
[06-Jun-2025 13:24:14 UTC] PHP Warning:  Undefined array key "HTTP_CF_VISITOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 57
[06-Jun-2025 13:24:15 UTC] PHP Warning:  Undefined array key "HTTP_CF_CONNECTING_IP" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:15 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED_FOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:15 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:15 UTC] PHP Warning:  Undefined array key "HTTP_FORWARDED_FOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:15 UTC] PHP Warning:  Undefined array key "HTTP_FORWARDED" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:15 UTC] PHP Warning:  Undefined array key "HTTP_X_REAL_IP" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 29
[06-Jun-2025 13:24:15 UTC] PHP Warning:  Undefined array key "HTTP_X_FORWARDED_PROTO" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 57
[06-Jun-2025 13:24:15 UTC] PHP Warning:  Undefined array key "HTTP_CF_VISITOR" in /wordpress/wp-content/plugins/zarza-real-ip/zarza-real-ip.php on line 57

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"tag-alias"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/tag-alias.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/tag-alias.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12093:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
      at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/tag-alias.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
    				cross-origin file downloads. Learn more about CORS at
    				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
    
    				If your file is on GitHub, load it from "raw.githubusercontent.com".
    				Here's how to do that:
    
    				1. Start with the original GitHub URL of the file. For example:
    				https://github.com/username/repository/blob/branch/filename.
    				2. Replace "github.com" with "raw.githubusercontent.com".
    				3. Remove the "/blob/" part of the URL.
    
    				The resulting URL should look like this:
    				https://raw.githubusercontent.com/username/repository/branch/filename
    
    				Error:
    				Error: Could not download "https://downloads.wordpress.org/plugin/tag-alias.latest-stable.zip"
        at Ct.resolve (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:1129:13)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async _.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/util/index.js:45:14)
  }
}

Node.js v23.11.0
