file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [18-Apr-2025 13:48:51 UTC] PHP Deprecated:  Required parameter $ButtonColor follows optional parameter $ConfirmationUrl in /wordpress/wp-content/plugins/wp-adrom-newsletter/models/TemplateDetail.php on line 11
[18-Apr-2025 13:49:00 UTC] PHP Deprecated:  Required parameter $customDecryptionParams follows optional parameter $logLevel in /wordpress/wp-content/plugins/wp-adrom-newsletter/helper/OptoutManagement.php on line 37
[18-Apr-2025 13:49:01 UTC] PHP Deprecated:  Required parameter $ButtonColor follows optional parameter $ConfirmationUrl in /wordpress/wp-content/plugins/wp-adrom-newsletter/models/TemplateDetail.php on line 11
[18-Apr-2025 13:49:01 UTC] PHP Deprecated:  Required parameter $Person follows optional parameter $ApiKey in /wordpress/wp-content/plugins/wp-adrom-newsletter/models/Lead.php on line 12
[18-Apr-2025 13:49:01 UTC] PHP Deprecated:  Required parameter $TemplateDetail follows optional parameter $ApiKey in /wordpress/wp-content/plugins/wp-adrom-newsletter/models/Lead.php on line 12
[18-Apr-2025 13:49:01 UTC] PHP Deprecated:  Required parameter $Impressum follows optional parameter $ApiKey in /wordpress/wp-content/plugins/wp-adrom-newsletter/models/Lead.php on line 12
[18-Apr-2025 13:49:01 UTC] PHP Deprecated:  Required parameter $emailSystemClientId follows optional parameter $logLevel in /wordpress/wp-content/plugins/wp-adrom-newsletter/helper/OptoutManagement.php on line 37
[18-Apr-2025 13:49:01 UTC] PHP Deprecated:  Required parameter $serviceUri follows optional parameter $logLevel in /wordpress/wp-content/plugins/wp-adrom-newsletter/helper/OptoutManagement.php on line 37
[18-Apr-2025 13:49:01 UTC] PHP Deprecated:  Required parameter $customDecryptionParams follows optional parameter $logLevel in /wordpress/wp-content/plugins/wp-adrom-newsletter/helper/OptoutManagement.php on line 37
[18-Apr-2025 15:49:01 Europe/Vienna] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>wp-adrom-newsletter</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[18-Apr-2025 13:49:09 UTC] PHP Deprecated:  Required parameter $ButtonColor follows optional parameter $ConfirmationUrl in /wordpress/wp-content/plugins/wp-adrom-newsletter/models/TemplateDetail.php on line 11
[18-Apr-2025 13:49:09 UTC] PHP Deprecated:  Required parameter $Person follows optional parameter $ApiKey in /wordpress/wp-content/plugins/wp-adrom-newsletter/models/Lead.php on line 12
[18-Apr-2025 13:49:09 UTC] PHP Deprecated:  Required parameter $TemplateDetail follows optional parameter $ApiKey in /wordpress/wp-content/plugins/wp-adrom-newsletter/models/Lead.php on line 12
[18-Apr-2025 13:49:09 UTC] PHP Deprecated:  Required parameter $Impressum follows optional parameter $ApiKey in /wordpress/wp-content/plugins/wp-adrom-newsletter/models/Lead.php on line 12
[18-Apr-2025 13:49:09 UTC] PHP Deprecated:  Required parameter $emailSystemClientId follows optional parameter $logLevel in /wordpress/wp-content/plugins/wp-adrom-newsletter/helper/OptoutManagement.php on line 37
[18-Apr-2025 13:49:09 UTC] PHP Deprecated:  Required parameter $serviceUri follows optional parameter $logLevel in /wordpress/wp-content/plugins/wp-adrom-newsletter/helper/OptoutManagement.php on line 37
[18-Apr-2025 13:49:09 UTC] PHP Deprecated:  Required parameter $customDecryptionParams follows optional parameter $logLevel in /wordpress/wp-content/plugins/wp-adrom-newsletter/helper/OptoutManagement.php on line 37
[18-Apr-2025 13:49:10 UTC] PHP Deprecated:  Required parameter $ButtonColor follows optional parameter $ConfirmationUrl in /wordpress/wp-content/plugins/wp-adrom-newsletter/models/TemplateDetail.php on line 11
[18-Apr-2025 13:49:10 UTC] PHP Deprecated:  Required parameter $Person follows optional parameter $ApiKey in /wordpress/wp-content/plugins/wp-adrom-newsletter/models/Lead.php on line 12
[18-Apr-2025 13:49:10 UTC] PHP Deprecated:  Required parameter $TemplateDetail follows optional parameter $ApiKey in /wordpress/wp-content/plugins/wp-adrom-newsletter/models/Lead.php on line 12
[18-Apr-2025 13:49:10 UTC] PHP Deprecated:  Required parameter $Impressum follows optional parameter $ApiKey in /wordpress/wp-content/plugins/wp-adrom-newsletter/models/Lead.php on line 12
[18-Apr-2025 13:49:10 UTC] PHP Deprecated:  Required parameter $emailSystemClientId follows optional parameter $logLevel in /wordpress/wp-content/plugins/wp-adrom-newsletter/helper/OptoutManagement.php on line 37
[18-Apr-2025 13:49:10 UTC] PHP Deprecated:  Required parameter $serviceUri follows optional parameter $logLevel in /wordpress/wp-content/plugins/wp-adrom-newsletter/helper/OptoutManagement.php on line 37
[18-Apr-2025 13:49:10 UTC] PHP Deprecated:  Required parameter $customDecryptionParams follows optional parameter $logLevel in /wordpress/wp-content/plugins/wp-adrom-newsletter/helper/OptoutManagement.php on line 37
[18-Apr-2025 15:49:10 Europe/Vienna] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>wp-adrom-newsletter</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[18-Apr-2025 13:51:13 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>wpis</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[18-Apr-2025 13:51:21 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>wpis</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[18-Apr-2025 13:51:30 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>wpis</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[18-Apr-2025 13:52:10 UTC] PHP Deprecated:  Required parameter $level_from follows optional parameter $user_id in /wordpress/wp-content/plugins/wp-mlm/functions/wp-mlm-db-functions.php on line 908
[18-Apr-2025 13:52:10 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 51
[18-Apr-2025 13:52:10 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 173
[18-Apr-2025 13:52:10 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 326
[18-Apr-2025 13:52:10 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 189
[18-Apr-2025 13:52:10 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 227
[18-Apr-2025 13:52:10 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 243
[18-Apr-2025 13:52:10 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 262
[18-Apr-2025 13:52:11 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 307
[18-Apr-2025 13:52:11 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 412
[18-Apr-2025 13:52:11 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 389
[18-Apr-2025 13:52:11 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 361
[18-Apr-2025 13:52:11 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 343
[18-Apr-2025 13:52:11 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 156
[18-Apr-2025 13:52:11 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 467
[18-Apr-2025 13:52:11 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 432
[18-Apr-2025 13:52:11 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 449
[18-Apr-2025 13:52:12 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[18-Apr-2025 13:52:13 UTC] PHP Deprecated:  Required parameter $level_from follows optional parameter $user_id in /wordpress/wp-content/plugins/wp-mlm/functions/wp-mlm-db-functions.php on line 908
[18-Apr-2025 13:52:28 UTC] PHP Deprecated:  Required parameter $level_from follows optional parameter $user_id in /wordpress/wp-content/plugins/wp-mlm/functions/wp-mlm-db-functions.php on line 908
[18-Apr-2025 13:52:28 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 51
[18-Apr-2025 13:52:28 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 173
[18-Apr-2025 13:52:28 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 326
[18-Apr-2025 13:52:28 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 189
[18-Apr-2025 13:52:28 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 227
[18-Apr-2025 13:52:28 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 243
[18-Apr-2025 13:52:28 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 262
[18-Apr-2025 13:52:28 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 307
[18-Apr-2025 13:52:28 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 412
[18-Apr-2025 13:52:28 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 389
[18-Apr-2025 13:52:28 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 361
[18-Apr-2025 13:52:28 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 343
[18-Apr-2025 13:52:28 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 156
[18-Apr-2025 13:52:28 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 467
[18-Apr-2025 13:52:28 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 432
[18-Apr-2025 13:52:28 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 449
[18-Apr-2025 13:52:29 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[18-Apr-2025 13:52:31 UTC] PHP Deprecated:  Required parameter $level_from follows optional parameter $user_id in /wordpress/wp-content/plugins/wp-mlm/functions/wp-mlm-db-functions.php on line 908
[18-Apr-2025 13:52:46 UTC] PHP Deprecated:  Required parameter $level_from follows optional parameter $user_id in /wordpress/wp-content/plugins/wp-mlm/functions/wp-mlm-db-functions.php on line 908
[18-Apr-2025 13:52:46 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 51
[18-Apr-2025 13:52:46 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 173
[18-Apr-2025 13:52:46 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 326
[18-Apr-2025 13:52:46 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 189
[18-Apr-2025 13:52:46 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 227
[18-Apr-2025 13:52:46 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 243
[18-Apr-2025 13:52:46 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 262
[18-Apr-2025 13:52:46 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 307
[18-Apr-2025 13:52:46 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 412
[18-Apr-2025 13:52:46 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 389
[18-Apr-2025 13:52:46 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 361
[18-Apr-2025 13:52:46 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 343
[18-Apr-2025 13:52:46 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 156
[18-Apr-2025 13:52:46 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 467
[18-Apr-2025 13:52:46 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 432
[18-Apr-2025 13:52:46 UTC] PHP Warning:  Undefined variable $mlm_db_version in /wordpress/wp-content/plugins/wp-mlm/core_functions/wp-mlm-db-functions.php on line 449
[18-Apr-2025 13:52:47 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[18-Apr-2025 13:52:47 UTC] PHP Deprecated:  Required parameter $level_from follows optional parameter $user_id in /wordpress/wp-content/plugins/wp-mlm/functions/wp-mlm-db-functions.php on line 908
[18-Apr-2025 13:52:58 UTC] PHP Deprecated:  Required parameter $max_num_pages follows optional parameter $label in /wordpress/wp-content/plugins/wp-posts-filter/wp-posts-filter.php on line 379
[18-Apr-2025 13:52:58 UTC] PHP Deprecated:  Required parameter $post_date follows optional parameter $date_format in /wordpress/wp-content/plugins/wp-posts-filter/wp-posts-filter.php on line 686
[18-Apr-2025 13:52:59 UTC] PHP Deprecated:  Required parameter $max_num_pages follows optional parameter $label in /wordpress/wp-content/plugins/wp-posts-filter/wp-posts-filter.php on line 379
[18-Apr-2025 13:52:59 UTC] PHP Deprecated:  Required parameter $post_date follows optional parameter $date_format in /wordpress/wp-content/plugins/wp-posts-filter/wp-posts-filter.php on line 686
[18-Apr-2025 13:52:59 UTC] PHP Fatal error:  Uncaught TypeError: call_user_func_array(): Argument #1 ($callback) must be a valid callback, non-static method wp_posts_filter::wppf_init() cannot be called statically in /wordpress/wp-includes/class-wp-hook.php:324
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#1 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#2 /wordpress/wp-settings.php(727): do_action('init')
#3 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#4 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#5 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#6 {main}
  thrown in /wordpress/wp-includes/class-wp-hook.php on line 324
[18-Apr-2025 13:53:07 UTC] PHP Deprecated:  Required parameter $max_num_pages follows optional parameter $label in /wordpress/wp-content/plugins/wp-posts-filter/wp-posts-filter.php on line 379
[18-Apr-2025 13:53:07 UTC] PHP Deprecated:  Required parameter $post_date follows optional parameter $date_format in /wordpress/wp-content/plugins/wp-posts-filter/wp-posts-filter.php on line 686
[18-Apr-2025 13:53:08 UTC] PHP Deprecated:  Required parameter $max_num_pages follows optional parameter $label in /wordpress/wp-content/plugins/wp-posts-filter/wp-posts-filter.php on line 379
[18-Apr-2025 13:53:08 UTC] PHP Deprecated:  Required parameter $post_date follows optional parameter $date_format in /wordpress/wp-content/plugins/wp-posts-filter/wp-posts-filter.php on line 686
[18-Apr-2025 13:53:08 UTC] PHP Fatal error:  Uncaught TypeError: call_user_func_array(): Argument #1 ($callback) must be a valid callback, non-static method wp_posts_filter::wppf_init() cannot be called statically in /wordpress/wp-includes/class-wp-hook.php:324
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#1 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#2 /wordpress/wp-settings.php(727): do_action('init')
#3 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#4 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#5 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#6 {main}
  thrown in /wordpress/wp-includes/class-wp-hook.php on line 324
[18-Apr-2025 13:53:17 UTC] PHP Deprecated:  Required parameter $max_num_pages follows optional parameter $label in /wordpress/wp-content/plugins/wp-posts-filter/wp-posts-filter.php on line 379
[18-Apr-2025 13:53:17 UTC] PHP Deprecated:  Required parameter $post_date follows optional parameter $date_format in /wordpress/wp-content/plugins/wp-posts-filter/wp-posts-filter.php on line 686
[18-Apr-2025 13:53:18 UTC] PHP Deprecated:  Required parameter $max_num_pages follows optional parameter $label in /wordpress/wp-content/plugins/wp-posts-filter/wp-posts-filter.php on line 379
[18-Apr-2025 13:53:18 UTC] PHP Deprecated:  Required parameter $post_date follows optional parameter $date_format in /wordpress/wp-content/plugins/wp-posts-filter/wp-posts-filter.php on line 686
[18-Apr-2025 13:53:18 UTC] PHP Fatal error:  Uncaught TypeError: call_user_func_array(): Argument #1 ($callback) must be a valid callback, non-static method wp_posts_filter::wppf_init() cannot be called statically in /wordpress/wp-includes/class-wp-hook.php:324
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#1 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#2 /wordpress/wp-settings.php(727): do_action('init')
#3 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#4 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#5 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#6 {main}
  thrown in /wordpress/wp-includes/class-wp-hook.php on line 324
[18-Apr-2025 13:54:44 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /wordpress/wp-content/plugins/wptables/includes/data/class-wptables-csv-parser.php on line 581
[18-Apr-2025 13:54:53 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /wordpress/wp-content/plugins/wptables/includes/data/class-wptables-csv-parser.php on line 581
[18-Apr-2025 13:55:02 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /wordpress/wp-content/plugins/wptables/includes/data/class-wptables-csv-parser.php on line 581

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"wptables"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      ... 2 lines matching cause stack trace ...
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:987:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:33:39)
