file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [01-Jun-2025 22:26:59 UTC] PHP Warning:  Undefined variable $towrite in /wordpress/wp-content/plugins/wp-avoid-slow/wp-avoid-slow.php on line 29
[01-Jun-2025 22:30:33 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[01-Jun-2025 22:30:33 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[01-Jun-2025 22:30:41 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[01-Jun-2025 22:30:42 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[01-Jun-2025 22:30:42 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[01-Jun-2025 22:30:42 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[01-Jun-2025 22:30:50 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:30:50 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:30:50 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:30:50 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:30:50 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:30:50 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:30:50 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:30:50 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:30:50 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:30:50 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:30:50 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:30:50 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:30:50 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:30:50 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:30:50 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:30:50 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:30:50 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:30:50 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:30:51 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>wp-licenses</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[01-Jun-2025 22:31:00 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:00 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:00 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:00 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:00 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:00 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:00 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:00 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:00 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:00 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:00 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:00 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:00 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:00 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:00 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:00 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:00 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:00 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:01 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>wp-licenses</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[01-Jun-2025 22:31:09 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:09 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:09 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:09 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:09 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:09 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:09 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:09 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:09 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:09 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:09 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:09 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:09 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:09 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:09 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:09 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:09 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 84
[01-Jun-2025 22:31:09 UTC] PHP Warning:  Undefined variable $licenseimagetag in /wordpress/wp-content/plugins/wp-licenses/wp-licenses.php on line 94
[01-Jun-2025 22:31:10 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>wp-licenses</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[01-Jun-2025 22:31:48 UTC] PHP Fatal error:  Declaration of WP_Models_CPT_Models_Model::init_args($uri, $txtdomain) must be compatible with Base_Model_CPT::init_args($txtdomain) in /wordpress/wp-content/plugins/wp-models/app/models/model_cpt_models.php on line 94
[01-Jun-2025 22:31:55 UTC] PHP Fatal error:  Declaration of WP_Models_CPT_Models_Model::init_args($uri, $txtdomain) must be compatible with Base_Model_CPT::init_args($txtdomain) in /wordpress/wp-content/plugins/wp-models/app/models/model_cpt_models.php on line 94
[01-Jun-2025 22:32:03 UTC] PHP Fatal error:  Declaration of WP_Models_CPT_Models_Model::init_args($uri, $txtdomain) must be compatible with Base_Model_CPT::init_args($txtdomain) in /wordpress/wp-content/plugins/wp-models/app/models/model_cpt_models.php on line 94
[01-Jun-2025 22:32:39 UTC] PHP Deprecated:  File admin-functions.php is <strong>deprecated</strong> since version 2.5.0! Use wp-admin/includes/admin.php instead. in /wordpress/wp-includes/functions.php on line 6121
[01-Jun-2025 22:32:39 UTC] PHP Warning:  Undefined variable $table_prefix in /wordpress/wp-content/plugins/wp-stattraq/utils.php on line 12
[01-Jun-2025 22:32:39 UTC] PHP Warning:  Undefined variable $table_prefix in /wordpress/wp-content/plugins/wp-stattraq/utils.php on line 13
[01-Jun-2025 22:32:39 UTC] PHP Warning:  Undefined property: WP_SQLite_DB::$linkcategories in /wordpress/wp-includes/class-wpdb.php on line 789
[01-Jun-2025 22:32:39 UTC] PHP Warning:  Undefined variable $table_prefix in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php on line 42
[01-Jun-2025 22:32:39 UTC] PHP Warning:  Undefined variable $table_prefix in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php on line 43
[01-Jun-2025 22:32:39 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "is_single" in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php:67
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): stat_traq_event('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-includes/load.php(1304): do_action('shutdown')
#4 [internal function]: shutdown_action_hook()
#5 {main}
  thrown in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php on line 67
[01-Jun-2025 22:32:40 UTC] PHP Deprecated:  File admin-functions.php is <strong>deprecated</strong> since version 2.5.0! Use wp-admin/includes/admin.php instead. in /wordpress/wp-includes/functions.php on line 6121
[01-Jun-2025 22:32:40 UTC] PHP Warning:  Undefined property: WP_SQLite_DB::$linkcategories in /wordpress/wp-includes/class-wpdb.php on line 789
[01-Jun-2025 22:32:40 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "is_single" in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php:67
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): stat_traq_event('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-includes/load.php(1304): do_action('shutdown')
#4 [internal function]: shutdown_action_hook()
#5 {main}
  thrown in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php on line 67
[01-Jun-2025 22:32:48 UTC] PHP Deprecated:  File admin-functions.php is <strong>deprecated</strong> since version 2.5.0! Use wp-admin/includes/admin.php instead. in /wordpress/wp-includes/functions.php on line 6121
[01-Jun-2025 22:32:48 UTC] PHP Warning:  Undefined variable $table_prefix in /wordpress/wp-content/plugins/wp-stattraq/utils.php on line 12
[01-Jun-2025 22:32:48 UTC] PHP Warning:  Undefined variable $table_prefix in /wordpress/wp-content/plugins/wp-stattraq/utils.php on line 13
[01-Jun-2025 22:32:48 UTC] PHP Warning:  Undefined property: WP_SQLite_DB::$linkcategories in /wordpress/wp-includes/class-wpdb.php on line 789
[01-Jun-2025 22:32:48 UTC] PHP Warning:  Undefined variable $table_prefix in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php on line 42
[01-Jun-2025 22:32:48 UTC] PHP Warning:  Undefined variable $table_prefix in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php on line 43
[01-Jun-2025 22:32:48 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "is_single" in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php:67
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): stat_traq_event('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-includes/load.php(1304): do_action('shutdown')
#4 [internal function]: shutdown_action_hook()
#5 {main}
  thrown in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php on line 67
[01-Jun-2025 22:32:49 UTC] PHP Deprecated:  File admin-functions.php is <strong>deprecated</strong> since version 2.5.0! Use wp-admin/includes/admin.php instead. in /wordpress/wp-includes/functions.php on line 6121
[01-Jun-2025 22:32:49 UTC] PHP Warning:  Undefined property: WP_SQLite_DB::$linkcategories in /wordpress/wp-includes/class-wpdb.php on line 789
[01-Jun-2025 22:32:49 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "is_single" in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php:67
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): stat_traq_event('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-includes/load.php(1304): do_action('shutdown')
#4 [internal function]: shutdown_action_hook()
#5 {main}
  thrown in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php on line 67
[01-Jun-2025 22:32:57 UTC] PHP Deprecated:  File admin-functions.php is <strong>deprecated</strong> since version 2.5.0! Use wp-admin/includes/admin.php instead. in /wordpress/wp-includes/functions.php on line 6121
[01-Jun-2025 22:32:57 UTC] PHP Warning:  Undefined variable $table_prefix in /wordpress/wp-content/plugins/wp-stattraq/utils.php on line 12
[01-Jun-2025 22:32:57 UTC] PHP Warning:  Undefined variable $table_prefix in /wordpress/wp-content/plugins/wp-stattraq/utils.php on line 13
[01-Jun-2025 22:32:57 UTC] PHP Warning:  Undefined property: WP_SQLite_DB::$linkcategories in /wordpress/wp-includes/class-wpdb.php on line 789
[01-Jun-2025 22:32:57 UTC] PHP Warning:  Undefined variable $table_prefix in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php on line 42
[01-Jun-2025 22:32:57 UTC] PHP Warning:  Undefined variable $table_prefix in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php on line 43
[01-Jun-2025 22:32:57 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "is_single" in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php:67
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): stat_traq_event('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-includes/load.php(1304): do_action('shutdown')
#4 [internal function]: shutdown_action_hook()
#5 {main}
  thrown in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php on line 67
[01-Jun-2025 22:32:58 UTC] PHP Deprecated:  File admin-functions.php is <strong>deprecated</strong> since version 2.5.0! Use wp-admin/includes/admin.php instead. in /wordpress/wp-includes/functions.php on line 6121
[01-Jun-2025 22:32:58 UTC] PHP Warning:  Undefined property: WP_SQLite_DB::$linkcategories in /wordpress/wp-includes/class-wpdb.php on line 789
[01-Jun-2025 22:32:59 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "is_single" in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php:67
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): stat_traq_event('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-includes/load.php(1304): do_action('shutdown')
#4 [internal function]: shutdown_action_hook()
#5 {main}
  thrown in /wordpress/wp-content/plugins/wp-stattraq/stattraq.php on line 67

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"woo-custom-emails-per-product"},"options":{"activate":true}}) : Plugin /wordpress/wp-content/plugins/woo-custom-emails-per-product could not be activated – WordPress exited with no error. Sometimes, when $_SERVER or site options are not configured correctly, WordPress exits early with a 301 redirect. Inspect the "debug" logs in the console for more details.
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      ... 2 lines matching cause stack trace ...
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: Error: Plugin /wordpress/wp-content/plugins/woo-custom-emails-per-product could not be activated – WordPress exited with no error. Sometimes, when $_SERVER or site options are not configured correctly, WordPress exits early with a 301 redirect. Inspect the "debug" logs in the console for more details.
        at wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:119:51)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:974:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12517:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12446:23)
        at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
        at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
        at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12)
  }
}

Node.js v23.11.0
