file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [14-Apr-2025 03:33:37 UTC] PHP Warning:  Undefined variable $h2_style in /wordpress/wp-content/plugins/floating-widgets/floating-widgets.php on line 54
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 48
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 49
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 50
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 51
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 52
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 53
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 54
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 55
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 56
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 57
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 58
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 59
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 60
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 61
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 62
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 63
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 64
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 65
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 66
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 67
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 68
[14-Apr-2025 03:35:02 UTC] PHP Fatal error:  Switch statements may only contain one default clause in /wordpress/wp-content/plugins/formidable-customizations/admin/class.ssfc-options.php on line 230
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 39
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 40
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 41
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 42
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 43
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 44
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 45
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 46
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 47
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 48
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 49
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 50
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 51
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 52
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 53
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 54
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 55
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 56
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 57
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 58
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 59
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 60
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 61
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 62
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 63
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 64
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 65
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 66
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 67
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 68
[14-Apr-2025 03:35:10 UTC] PHP Fatal error:  Switch statements may only contain one default clause in /wordpress/wp-content/plugins/formidable-customizations/admin/class.ssfc-options.php on line 230
[14-Apr-2025 03:35:18 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/fotolog-widget/fotolog.php:117
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('fotolog-widget/...')
#2 /internal/eval.php(20): activate_plugin('fotolog-widget/...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/fotolog-widget/fotolog.php on line 117
[14-Apr-2025 03:35:26 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/fotolog-widget/fotolog.php:117
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('fotolog-widget/...')
#2 /internal/eval.php(20): activate_plugin('fotolog-widget/...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/fotolog-widget/fotolog.php on line 117
[14-Apr-2025 03:35:34 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/fotolog-widget/fotolog.php:117
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('fotolog-widget/...')
#2 /internal/eval.php(20): activate_plugin('fotolog-widget/...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/fotolog-widget/fotolog.php on line 117
[14-Apr-2025 03:35:43 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6114
[14-Apr-2025 03:35:44 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function get_currentuserinfo() in /wordpress/wp-content/plugins/facebook-comment-control/facebook-comment-control.php:66
Stack trace:
#0 /wordpress/wp-settings.php(526): include_once()
#1 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#2 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#3 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/facebook-comment-control/facebook-comment-control.php on line 66
[14-Apr-2025 03:35:51 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6114
[14-Apr-2025 03:35:52 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function get_currentuserinfo() in /wordpress/wp-content/plugins/facebook-comment-control/facebook-comment-control.php:66
Stack trace:
#0 /wordpress/wp-settings.php(526): include_once()
#1 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#2 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#3 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/facebook-comment-control/facebook-comment-control.php on line 66
[14-Apr-2025 03:36:00 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6114
[14-Apr-2025 03:36:01 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function get_currentuserinfo() in /wordpress/wp-content/plugins/facebook-comment-control/facebook-comment-control.php:66
Stack trace:
#0 /wordpress/wp-settings.php(526): include_once()
#1 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#2 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#3 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/facebook-comment-control/facebook-comment-control.php on line 66
[14-Apr-2025 03:36:35 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/fb-wallpost-widget/fb-wallpost-widget.php:179
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('fb-wallpost-wid...')
#2 /internal/eval.php(20): activate_plugin('fb-wallpost-wid...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/fb-wallpost-widget/fb-wallpost-widget.php on line 179
[14-Apr-2025 03:36:42 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/fb-wallpost-widget/fb-wallpost-widget.php:179
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('fb-wallpost-wid...')
#2 /internal/eval.php(20): activate_plugin('fb-wallpost-wid...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/fb-wallpost-widget/fb-wallpost-widget.php on line 179
[14-Apr-2025 03:36:51 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/fb-wallpost-widget/fb-wallpost-widget.php:179
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('fb-wallpost-wid...')
#2 /internal/eval.php(20): activate_plugin('fb-wallpost-wid...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/fb-wallpost-widget/fb-wallpost-widget.php on line 179

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"fdforward-recommendation-network-2"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/fdforward-recommendation-network-2.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/fdforward-recommendation-network-2.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
      at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/fdforward-recommendation-network-2.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
    				cross-origin file downloads. Learn more about CORS at
    				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
    
    				If your file is on GitHub, load it from "raw.githubusercontent.com".
    				Here's how to do that:
    
    				1. Start with the original GitHub URL of the file. For example:
    				https://github.com/username/repository/blob/branch/filename.
    				2. Replace "github.com" with "raw.githubusercontent.com".
    				3. Remove the "/blob/" part of the URL.
    
    				The resulting URL should look like this:
    				https://raw.githubusercontent.com/username/repository/branch/filename
    
    				Error:
    				Error: Could not download "https://downloads.wordpress.org/plugin/fdforward-recommendation-network-2.latest-stable.zip"
        at Ct.resolve (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:1472:13)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async _.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/util/index.js:45:14)
  }
}

Node.js v23.11.0
