file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [22-Jun-2025 02:42:52 UTC] PHP Parse error:  syntax error, unexpected token "new" in /wordpress/wp-content/plugins/per-post-comment-settings/per-post-comment-settings.php on line 245
[22-Jun-2025 02:43:52 UTC] PHP Deprecated:  Required parameter $url follows optional parameter $page in /wordpress/wp-content/plugins/ququk-random-content/functions.php on line 2
[22-Jun-2025 02:43:52 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "REQUEST_URI" in /wordpress/wp-content/plugins/ququk-random-content/functions.php:37
Stack trace:
#0 /wordpress/wp-content/plugins/ququk-random-content/ququk.php(25): catUrl()
#1 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#2 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('ququk-random-co...')
#3 /internal/eval.php(20): activate_plugin('ququk-random-co...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/ququk-random-content/functions.php on line 37
[22-Jun-2025 02:44:00 UTC] PHP Deprecated:  Required parameter $slug follows optional parameter $count in /wordpress/wp-content/plugins/ququk-random-content/db.php on line 11
[22-Jun-2025 02:44:00 UTC] PHP Deprecated:  Required parameter $table follows optional parameter $start in /wordpress/wp-content/plugins/ququk-random-content/db.php on line 117
[22-Jun-2025 02:44:00 UTC] PHP Warning:  Undefined variable $ququkPlugin in /wordpress/wp-content/plugins/ququk-random-content/ququk.php on line 18
[22-Jun-2025 02:44:00 UTC] PHP Deprecated:  Required parameter $table follows optional parameter $page in /wordpress/wp-content/plugins/ququk-random-content/functions.php on line 2
[22-Jun-2025 02:44:00 UTC] PHP Deprecated:  Required parameter $url follows optional parameter $page in /wordpress/wp-content/plugins/ququk-random-content/functions.php on line 2
[22-Jun-2025 02:44:00 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "REQUEST_URI" in /wordpress/wp-content/plugins/ququk-random-content/functions.php:37
Stack trace:
#0 /wordpress/wp-content/plugins/ququk-random-content/ququk.php(25): catUrl()
#1 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#2 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('ququk-random-co...')
#3 /internal/eval.php(20): activate_plugin('ququk-random-co...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/ququk-random-content/functions.php on line 37
[22-Jun-2025 02:44:08 UTC] PHP Deprecated:  Required parameter $slug follows optional parameter $count in /wordpress/wp-content/plugins/ququk-random-content/db.php on line 11
[22-Jun-2025 02:44:09 UTC] PHP Deprecated:  Required parameter $table follows optional parameter $start in /wordpress/wp-content/plugins/ququk-random-content/db.php on line 117
[22-Jun-2025 02:44:09 UTC] PHP Warning:  Undefined variable $ququkPlugin in /wordpress/wp-content/plugins/ququk-random-content/ququk.php on line 18
[22-Jun-2025 02:44:09 UTC] PHP Deprecated:  Required parameter $table follows optional parameter $page in /wordpress/wp-content/plugins/ququk-random-content/functions.php on line 2
[22-Jun-2025 02:44:09 UTC] PHP Deprecated:  Required parameter $url follows optional parameter $page in /wordpress/wp-content/plugins/ququk-random-content/functions.php on line 2
[22-Jun-2025 02:44:09 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "REQUEST_URI" in /wordpress/wp-content/plugins/ququk-random-content/functions.php:37
Stack trace:
#0 /wordpress/wp-content/plugins/ququk-random-content/ququk.php(25): catUrl()
#1 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#2 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('ququk-random-co...')
#3 /internal/eval.php(20): activate_plugin('ququk-random-co...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/ququk-random-content/functions.php on line 37
[22-Jun-2025 02:44:45 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/rdgm_admin.php on line 4
[22-Jun-2025 02:44:45 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/rdgm_admin.php on line 4
[22-Jun-2025 02:44:45 UTC] PHP Warning:  Undefined variable $rdgm_server_loc in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 17
[22-Jun-2025 02:44:45 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 20
[22-Jun-2025 02:44:45 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 20
[22-Jun-2025 02:44:45 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 498
[22-Jun-2025 02:44:45 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 498
[22-Jun-2025 02:44:45 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 509
[22-Jun-2025 02:44:45 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 509
[22-Jun-2025 02:44:46 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/rdgm_admin.php on line 4
[22-Jun-2025 02:44:46 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/rdgm_admin.php on line 4
[22-Jun-2025 02:44:46 UTC] PHP Warning:  Undefined variable $rdgm_server_loc in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 17
[22-Jun-2025 02:44:46 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 20
[22-Jun-2025 02:44:46 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 20
[22-Jun-2025 02:44:46 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 498
[22-Jun-2025 02:44:46 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 498
[22-Jun-2025 02:44:46 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 509
[22-Jun-2025 02:44:46 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 509
[22-Jun-2025 02:44:54 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/rdgm_admin.php on line 4
[22-Jun-2025 02:44:54 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/rdgm_admin.php on line 4
[22-Jun-2025 02:44:54 UTC] PHP Warning:  Undefined variable $rdgm_server_loc in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 17
[22-Jun-2025 02:44:54 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 20
[22-Jun-2025 02:44:54 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 20
[22-Jun-2025 02:44:54 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 498
[22-Jun-2025 02:44:54 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 498
[22-Jun-2025 02:44:54 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 509
[22-Jun-2025 02:44:54 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 509
[22-Jun-2025 02:44:56 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/rdgm_admin.php on line 4
[22-Jun-2025 02:44:56 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/rdgm_admin.php on line 4
[22-Jun-2025 02:44:56 UTC] PHP Warning:  Undefined variable $rdgm_server_loc in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 17
[22-Jun-2025 02:44:56 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 20
[22-Jun-2025 02:44:56 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 20
[22-Jun-2025 02:44:56 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 498
[22-Jun-2025 02:44:56 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 498
[22-Jun-2025 02:44:56 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 509
[22-Jun-2025 02:44:56 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 509
[22-Jun-2025 02:45:04 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/rdgm_admin.php on line 4
[22-Jun-2025 02:45:04 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/rdgm_admin.php on line 4
[22-Jun-2025 02:45:04 UTC] PHP Warning:  Undefined variable $rdgm_server_loc in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 17
[22-Jun-2025 02:45:04 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 20
[22-Jun-2025 02:45:04 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 20
[22-Jun-2025 02:45:04 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 498
[22-Jun-2025 02:45:04 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 498
[22-Jun-2025 02:45:04 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 509
[22-Jun-2025 02:45:04 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 509
[22-Jun-2025 02:45:05 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/rdgm_admin.php on line 4
[22-Jun-2025 02:45:05 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/rdgm_admin.php on line 4
[22-Jun-2025 02:45:05 UTC] PHP Warning:  Undefined variable $rdgm_server_loc in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 17
[22-Jun-2025 02:45:05 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 20
[22-Jun-2025 02:45:05 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 20
[22-Jun-2025 02:45:05 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 498
[22-Jun-2025 02:45:05 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 498
[22-Jun-2025 02:45:05 UTC] PHP Warning:  Undefined variable $rdgm_debug in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 509
[22-Jun-2025 02:45:05 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/r-diagrams-responsive-diagrams/r-diagrams-plugin.php on line 509
[22-Jun-2025 02:46:10 UTC] PHP Fatal error:  Uncaught TypeError: Argument 1 passed to TwitchStreamFormDataNormalizer::__construct() must be of the type array, bool given, called in /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/admin/TwitchStreamAdministrationPage.php on line 23 and defined in /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/services/TwitchStreamFormDataNormalizer.php:14
Stack trace:
#0 /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/admin/TwitchStreamAdministrationPage.php(23): TwitchStreamFormDataNormalizer->__construct(false)
#1 /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/services/TwitchStreamKernel.php(22): TwitchStreamAdministrationPage->__construct('twitchStream', '1.1.0')
#2 /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/twitch-stream.php(37): TwitchStreamKernel::run()
#3 /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/twitch-stream.php(40): runTwitchSteam()
#4 /wordpress/wp-ad in /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/services/TwitchStreamFormDataNormalizer.php on line 14
[22-Jun-2025 02:46:19 UTC] PHP Fatal error:  Uncaught TypeError: Argument 1 passed to TwitchStreamFormDataNormalizer::__construct() must be of the type array, bool given, called in /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/admin/TwitchStreamAdministrationPage.php on line 23 and defined in /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/services/TwitchStreamFormDataNormalizer.php:14
Stack trace:
#0 /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/admin/TwitchStreamAdministrationPage.php(23): TwitchStreamFormDataNormalizer->__construct(false)
#1 /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/services/TwitchStreamKernel.php(22): TwitchStreamAdministrationPage->__construct('twitchStream', '1.1.0')
#2 /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/twitch-stream.php(37): TwitchStreamKernel::run()
#3 /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/twitch-stream.php(40): runTwitchSteam()
#4 /wordpress/wp-ad in /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/services/TwitchStreamFormDataNormalizer.php on line 14
[22-Jun-2025 02:46:28 UTC] PHP Fatal error:  Uncaught TypeError: Argument 1 passed to TwitchStreamFormDataNormalizer::__construct() must be of the type array, bool given, called in /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/admin/TwitchStreamAdministrationPage.php on line 23 and defined in /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/services/TwitchStreamFormDataNormalizer.php:14
Stack trace:
#0 /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/admin/TwitchStreamAdministrationPage.php(23): TwitchStreamFormDataNormalizer->__construct(false)
#1 /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/services/TwitchStreamKernel.php(22): TwitchStreamAdministrationPage->__construct('twitchStream', '1.1.0')
#2 /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/twitch-stream.php(37): TwitchStreamKernel::run()
#3 /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/twitch-stream.php(40): runTwitchSteam()
#4 /wordpress/wp-ad in /wordpress/wp-content/plugins/random-online-twitch-stream-from-selection/services/TwitchStreamFormDataNormalizer.php on line 14
[22-Jun-2025 02:48:02 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 02:48:02 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 02:48:03 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 02:48:03 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 02:48:11 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 02:48:11 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 02:48:12 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 02:48:12 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 02:48:21 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 02:48:21 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 02:48:22 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 02:48:22 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 02:49:21 UTC] PHP Fatal error:  Cannot re-assign auto-global variable _POST in /wordpress/wp-content/plugins/rainmakermoxie/rainmakermoxie.php on line 1347
[22-Jun-2025 02:49:30 UTC] PHP Fatal error:  Cannot re-assign auto-global variable _POST in /wordpress/wp-content/plugins/rainmakermoxie/rainmakermoxie.php on line 1347
[22-Jun-2025 02:49:39 UTC] PHP Fatal error:  Cannot re-assign auto-global variable _POST in /wordpress/wp-content/plugins/rainmakermoxie/rainmakermoxie.php on line 1347
[22-Jun-2025 02:52:46 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/pinterest-widgets/admin/includes/widget-follow-button.php:136
Stack trace:
#0 /wordpress/wp-content/plugins/pinterest-widgets/admin/class-pinterest-widgets-admin.php(175): include_once()
#1 /wordpress/wp-content/plugins/pinterest-widgets/admin/class-pinterest-widgets-admin.php(75): Pinterest_Widgets_Admin->includes()
#2 /wordpress/wp-content/plugins/pinterest-widgets/admin/class-pinterest-widgets-admin.php(201): Pinterest_Widgets_Admin->__construct()
#3 /wordpress/wp-includes/class-wp-hook.php(324): Pinterest_Widgets_Admin::get_instance('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-settings.php(578): do_action('plugins_loaded')
#7 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#8 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#9 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#10 {main}
  thrown in /wordpress/wp-content/plugins/pinterest-widgets/admin/includes/widget-follow-button.php on line 136

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"pinterest-widgets"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12093:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
      at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:1034:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:74:13)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:631:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12161:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12090:23)
        at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
        at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
      response: PHPResponse {
        httpStatusCode: 500,
        headers: {
          'x-powered-by': [ 'PHP/8.0.30-dev' ],
          'content-type': [ 'text/html; charset=UTF-8' ],
          expires: [ 'Wed, 11 Jan 1984 05:00:00 GMT' ],
          'cache-control': [ 'no-cache, must-revalidate, max-age=0, no-store, private' ]
        },
        bytes: Uint8Array(2653) [
           60,  33,  68,  79,  67,  84,  89,  80,  69,  32, 104, 116,
          109, 108,  62,  10,  60, 104, 116, 109, 108,  32, 108,  97,
          110, 103,  61,  34, 101, 110,  45,  85,  83,  34,  62,  10,
           60, 104, 101,  97, 100,  62,  10,   9,  60, 109, 101, 116,
           97,  32, 104, 116, 116, 112,  45, 101, 113, 117, 105, 118,
           61,  34,  67, 111, 110, 116, 101, 110, 116,  45,  84, 121,
          112, 101,  34,  32,  99, 111, 110, 116, 101, 110, 116,  61,
           34, 116, 101, 120, 116,  47, 104, 116, 109, 108,  59,  32,
           99, 104,  97, 114,
          ... 2553 more items
        ],
        exitCode: 255,
        errors: ''
      },
      source: 'request'
    }
  }
}

Node.js v23.11.0
