file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [14-Apr-2025 03:33:37 UTC] PHP Warning:  Undefined variable $h2_style in /wordpress/wp-content/plugins/floating-widgets/floating-widgets.php on line 54
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 48
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 49
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 50
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 51
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 52
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 53
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 54
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 55
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 56
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 57
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 58
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 59
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 60
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 61
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 62
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 63
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 64
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 65
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 66
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 67
[14-Apr-2025 03:35:02 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 68
[14-Apr-2025 03:35:02 UTC] PHP Fatal error:  Switch statements may only contain one default clause in /wordpress/wp-content/plugins/formidable-customizations/admin/class.ssfc-options.php on line 230
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 39
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 40
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 41
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 42
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 43
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 44
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 45
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 46
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 47
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 48
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 49
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 50
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 51
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 52
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 53
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 54
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 55
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 56
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 57
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 58
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 59
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 60
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 61
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 62
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 63
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 64
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 65
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 66
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 67
[14-Apr-2025 03:35:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/formidable-customizations/formidable-customizations.php on line 68
[14-Apr-2025 03:35:10 UTC] PHP Fatal error:  Switch statements may only contain one default clause in /wordpress/wp-content/plugins/formidable-customizations/admin/class.ssfc-options.php on line 230
[14-Apr-2025 03:35:18 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/fotolog-widget/fotolog.php:117
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('fotolog-widget/...')
#2 /internal/eval.php(20): activate_plugin('fotolog-widget/...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/fotolog-widget/fotolog.php on line 117
[14-Apr-2025 03:35:26 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/fotolog-widget/fotolog.php:117
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('fotolog-widget/...')
#2 /internal/eval.php(20): activate_plugin('fotolog-widget/...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/fotolog-widget/fotolog.php on line 117
[14-Apr-2025 03:35:34 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/fotolog-widget/fotolog.php:117
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('fotolog-widget/...')
#2 /internal/eval.php(20): activate_plugin('fotolog-widget/...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/fotolog-widget/fotolog.php on line 117
[14-Apr-2025 03:35:43 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6114
[14-Apr-2025 03:35:44 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function get_currentuserinfo() in /wordpress/wp-content/plugins/facebook-comment-control/facebook-comment-control.php:66
Stack trace:
#0 /wordpress/wp-settings.php(526): include_once()
#1 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#2 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#3 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/facebook-comment-control/facebook-comment-control.php on line 66
[14-Apr-2025 03:35:51 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6114
[14-Apr-2025 03:35:52 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function get_currentuserinfo() in /wordpress/wp-content/plugins/facebook-comment-control/facebook-comment-control.php:66
Stack trace:
#0 /wordpress/wp-settings.php(526): include_once()
#1 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#2 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#3 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/facebook-comment-control/facebook-comment-control.php on line 66
[14-Apr-2025 03:36:00 UTC] PHP Deprecated:  Function get_currentuserinfo is <strong>deprecated</strong> since version 4.5.0! Use wp_get_current_user() instead. in /wordpress/wp-includes/functions.php on line 6114
[14-Apr-2025 03:36:01 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function get_currentuserinfo() in /wordpress/wp-content/plugins/facebook-comment-control/facebook-comment-control.php:66
Stack trace:
#0 /wordpress/wp-settings.php(526): include_once()
#1 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#2 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#3 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#4 {main}
  thrown in /wordpress/wp-content/plugins/facebook-comment-control/facebook-comment-control.php on line 66
[14-Apr-2025 03:36:35 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/fb-wallpost-widget/fb-wallpost-widget.php:179
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('fb-wallpost-wid...')
#2 /internal/eval.php(20): activate_plugin('fb-wallpost-wid...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/fb-wallpost-widget/fb-wallpost-widget.php on line 179
[14-Apr-2025 03:36:42 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/fb-wallpost-widget/fb-wallpost-widget.php:179
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('fb-wallpost-wid...')
#2 /internal/eval.php(20): activate_plugin('fb-wallpost-wid...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/fb-wallpost-widget/fb-wallpost-widget.php on line 179
[14-Apr-2025 03:36:51 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/fb-wallpost-widget/fb-wallpost-widget.php:179
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('fb-wallpost-wid...')
#2 /internal/eval.php(20): activate_plugin('fb-wallpost-wid...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/fb-wallpost-widget/fb-wallpost-widget.php on line 179
[14-Apr-2025 03:37:22 UTC] PHP Notice:  Function wp_enqueue_style was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>featuredbox</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6114
[14-Apr-2025 03:37:22 UTC] PHP Notice:  Function is_feed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /wordpress/wp-includes/functions.php on line 6114
[14-Apr-2025 03:37:22 UTC] PHP Notice:  Function wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>slideshow</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6114
[14-Apr-2025 03:37:22 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>DROP TABLE wp_featuredbox;</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: SELECT 1 FROM sqlite_temp_schema WHERE type = 'table' AND name = ? | parameters: wp_featuredbox</li>
<li>Executing: 
				DELETE FROM _wp_sqlite_mysql_information_schema_tables
				WHERE table_schema = ? AND table_name = ?
			 | parameters: database_name_here, wp_featuredbox</li>
<li>Executing: 
				DELETE FROM _wp_sqlite_mysql_information_schema_columns
				WHERE table_schema = ? AND table_name = ?
			 | parameters: database_name_here, wp_featuredbox</li>
<li>Executing: 
				DELETE FROM _wp_sqlite_mysql_information_schema_statistics
				WHERE table_schema = ? AND table_name = ?
			 | parameters: database_name_here, wp_featuredbox</li>
<li>Executing: DROP TABLE `wp_featuredbox` | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
SQLSTATE[HY000]: General error: 1 no such table: wp_featuredbox
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite-ast/class-wp-sqlite-driver.php(690): WP_SQLite_Driver->new_driver_exception('SQLSTATE[HY000]...', 0, Object(PDOException))
#1 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(472): WP_SQLite_Driver->query('DROP TABLE wp_f...')
#2 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(413): WP_SQLite_DB->_do_query('DROP TABLE wp_f...')
#3 /wordpress/wp-content/plugins/featured-box/components/featuredbox_upgrade.php(38): WP_SQLite_DB->query('DROP TABLE wp_f...')
#4 /wordpress/wp-content/plugins/featured-box/components/featuredbox_upgrade.php(47): featuredbox_upgrade->featuredbox_install()
#5 /wordpress/wp-includes/class-wp-hook.php(324): featuredbox_upgrade->featuredbox_upgrade_check('')
#6 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#7 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#8 /wordpress/wp-settings.php(559): do_action('plugins_loaded')
#9 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#10 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#11 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#12 {main}</pre>
 for query DROP TABLE wp_featuredbox; made by require_once('wp-load.php'), require_once('wp-config.php'), require_once('wp-settings.php'), do_action('plugins_loaded'), WP_Hook->do_action, WP_Hook->apply_filters, featuredbox_upgrade->featuredbox_upgrade_check, featuredbox_upgrade->featuredbox_install, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[14-Apr-2025 03:37:31 UTC] PHP Notice:  Function wp_enqueue_style was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>featuredbox</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6114
