file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [29-Apr-2025 15:50:05 UTC] PHP Warning:  file_get_contents(/wordpress/wp-content/plugins/wp-simple-cache/cache/options.dat): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/wp-simple-cache/lib.php on line 625
[29-Apr-2025 15:51:59 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('wpul_widget')
#2 /wordpress/wp-content/plugins/wp-userlogin/userlogin.php(381): register_widget('wpul_widget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): register_wpul('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[29-Apr-2025 15:52:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 40
[29-Apr-2025 15:52:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 56
[29-Apr-2025 15:52:06 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[29-Apr-2025 15:52:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 284
[29-Apr-2025 15:52:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 285
[29-Apr-2025 15:52:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 286
[29-Apr-2025 15:52:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 287
[29-Apr-2025 15:52:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 288
[29-Apr-2025 15:52:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 289
[29-Apr-2025 15:52:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 290
[29-Apr-2025 15:52:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 291
[29-Apr-2025 15:52:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 292
[29-Apr-2025 15:52:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 293
[29-Apr-2025 15:52:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 294
[29-Apr-2025 15:52:07 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[29-Apr-2025 15:52:07 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('wpul_widget')
#2 /wordpress/wp-content/plugins/wp-userlogin/userlogin.php(381): register_widget('wpul_widget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): register_wpul('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[29-Apr-2025 15:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 40
[29-Apr-2025 15:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 56
[29-Apr-2025 15:52:15 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[29-Apr-2025 15:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 284
[29-Apr-2025 15:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 285
[29-Apr-2025 15:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 286
[29-Apr-2025 15:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 287
[29-Apr-2025 15:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 288
[29-Apr-2025 15:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 289
[29-Apr-2025 15:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 290
[29-Apr-2025 15:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 291
[29-Apr-2025 15:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 292
[29-Apr-2025 15:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 293
[29-Apr-2025 15:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wp-userlogin/userlogin.php on line 294
[29-Apr-2025 15:52:16 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[29-Apr-2025 15:52:16 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('wpul_widget')
#2 /wordpress/wp-content/plugins/wp-userlogin/userlogin.php(381): register_widget('wpul_widget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): register_wpul('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[29-Apr-2025 15:55:23 UTC] PHP Deprecated:  Required parameter $key follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:23 UTC] PHP Deprecated:  Required parameter $important follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:23 UTC] PHP Deprecated:  Required parameter $dev follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:23 UTC] PHP Deprecated:  Required parameter $key follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:23 UTC] PHP Deprecated:  Required parameter $important follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:23 UTC] PHP Deprecated:  Required parameter $dev follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:23 UTC] PHP Deprecated:  Required parameter $i follows optional parameter $slug in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-options.php on line 398
[29-Apr-2025 15:55:24 UTC] PHP Deprecated:  Required parameter $key follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:24 UTC] PHP Deprecated:  Required parameter $important follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:24 UTC] PHP Deprecated:  Required parameter $dev follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:24 UTC] PHP Deprecated:  Required parameter $key follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:24 UTC] PHP Deprecated:  Required parameter $important follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:24 UTC] PHP Deprecated:  Required parameter $dev follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:24 UTC] PHP Deprecated:  Required parameter $i follows optional parameter $slug in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-options.php on line 398
[29-Apr-2025 15:55:33 UTC] PHP Deprecated:  Required parameter $key follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:33 UTC] PHP Deprecated:  Required parameter $important follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:33 UTC] PHP Deprecated:  Required parameter $dev follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:33 UTC] PHP Deprecated:  Required parameter $key follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:33 UTC] PHP Deprecated:  Required parameter $important follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:33 UTC] PHP Deprecated:  Required parameter $dev follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:33 UTC] PHP Deprecated:  Required parameter $i follows optional parameter $slug in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-options.php on line 398
[29-Apr-2025 15:55:34 UTC] PHP Deprecated:  Required parameter $key follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:34 UTC] PHP Deprecated:  Required parameter $important follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:34 UTC] PHP Deprecated:  Required parameter $dev follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:34 UTC] PHP Deprecated:  Required parameter $key follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:34 UTC] PHP Deprecated:  Required parameter $important follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:34 UTC] PHP Deprecated:  Required parameter $dev follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:34 UTC] PHP Deprecated:  Required parameter $i follows optional parameter $slug in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-options.php on line 398
[29-Apr-2025 15:55:41 UTC] PHP Deprecated:  Required parameter $key follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:41 UTC] PHP Deprecated:  Required parameter $important follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:41 UTC] PHP Deprecated:  Required parameter $dev follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:41 UTC] PHP Deprecated:  Required parameter $key follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:41 UTC] PHP Deprecated:  Required parameter $important follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:41 UTC] PHP Deprecated:  Required parameter $dev follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:41 UTC] PHP Deprecated:  Required parameter $i follows optional parameter $slug in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-options.php on line 398
[29-Apr-2025 15:55:42 UTC] PHP Deprecated:  Required parameter $key follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:42 UTC] PHP Deprecated:  Required parameter $important follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:42 UTC] PHP Deprecated:  Required parameter $dev follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 119
[29-Apr-2025 15:55:42 UTC] PHP Deprecated:  Required parameter $key follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:42 UTC] PHP Deprecated:  Required parameter $important follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:42 UTC] PHP Deprecated:  Required parameter $dev follows optional parameter $value in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-css.php on line 168
[29-Apr-2025 15:55:42 UTC] PHP Deprecated:  Required parameter $i follows optional parameter $slug in /wordpress/wp-content/plugins/wp-css-generator/framework/helpers/class-options.php on line 398
[29-Apr-2025 15:57:05 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>woocommerce-gateway-cardknox</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[29-Apr-2025 15:57:14 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>woocommerce-gateway-cardknox</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[29-Apr-2025 15:57:22 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>woocommerce-gateway-cardknox</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[29-Apr-2025 15:58:15 UTC] PHP Deprecated:  Required parameter $args follows optional parameter $type in /wordpress/wp-content/plugins/woo-order-product-codes/lib/class-wopc-settings.php on line 327
[29-Apr-2025 15:58:16 UTC] PHP Deprecated:  Required parameter $args follows optional parameter $type in /wordpress/wp-content/plugins/woo-order-product-codes/lib/class-wopc-settings.php on line 327
[29-Apr-2025 15:58:24 UTC] PHP Deprecated:  Required parameter $args follows optional parameter $type in /wordpress/wp-content/plugins/woo-order-product-codes/lib/class-wopc-settings.php on line 327
[29-Apr-2025 15:58:25 UTC] PHP Deprecated:  Required parameter $args follows optional parameter $type in /wordpress/wp-content/plugins/woo-order-product-codes/lib/class-wopc-settings.php on line 327
[29-Apr-2025 15:58:32 UTC] PHP Deprecated:  Required parameter $args follows optional parameter $type in /wordpress/wp-content/plugins/woo-order-product-codes/lib/class-wopc-settings.php on line 327
[29-Apr-2025 15:58:33 UTC] PHP Deprecated:  Required parameter $args follows optional parameter $type in /wordpress/wp-content/plugins/woo-order-product-codes/lib/class-wopc-settings.php on line 327
[29-Apr-2025 15:58:41 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "PICKLIST_VERSION" in /wordpress/wp-content/plugins/woo-picklist/WC_PickList.php:34
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('woo-picklist/WC...')
#2 /internal/eval.php(20): activate_plugin('woo-picklist/WC...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/woo-picklist/WC_PickList.php on line 34
[29-Apr-2025 15:58:49 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "PICKLIST_VERSION" in /wordpress/wp-content/plugins/woo-picklist/WC_PickList.php:34
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('woo-picklist/WC...')
#2 /internal/eval.php(20): activate_plugin('woo-picklist/WC...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/woo-picklist/WC_PickList.php on line 34
[29-Apr-2025 15:58:55 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "PICKLIST_VERSION" in /wordpress/wp-content/plugins/woo-picklist/WC_PickList.php:34
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('woo-picklist/WC...')
#2 /internal/eval.php(20): activate_plugin('woo-picklist/WC...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/woo-picklist/WC_PickList.php on line 34
[29-Apr-2025 15:59:05 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function run_woo_quick_report() in /wordpress/wp-content/plugins/woo-quick-reports/woo-quick-report.php:135
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): wqr_initialize_plugin('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-settings.php(578): do_action('plugins_loaded')
#4 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#5 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#6 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#7 {main}
  thrown in /wordpress/wp-content/plugins/woo-quick-reports/woo-quick-report.php on line 135

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"woo-quick-reports"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      ... 2 lines matching cause stack trace ...
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:987:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:73:13)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:974:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12517:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12446:23)
        at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
        at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
        at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
      response: PHPResponse {
        httpStatusCode: 500,
        headers: {
          'x-powered-by': [ 'PHP/8.0.30-dev' ],
          'content-type': [ 'text/html; charset=UTF-8' ],
          expires: [ 'Wed, 11 Jan 1984 05:00:00 GMT' ],
          'cache-control': [ 'no-cache, must-revalidate, max-age=0, no-store, private' ]
        },
        bytes: Uint8Array(2653) [
           60,  33,  68,  79,  67,  84,  89,  80,  69,  32, 104, 116,
          109, 108,  62,  10,  60, 104, 116, 109, 108,  32, 108,  97,
          110, 103,  61,  34, 101, 110,  45,  85,  83,  34,  62,  10,
           60, 104, 101,  97, 100,  62,  10,   9,  60, 109, 101, 116,
           97,  32, 104, 116, 116, 112,  45, 101, 113, 117, 105, 118,
           61,  34,  67, 111, 110, 116, 101, 110, 116,  45,  84, 121,
          112, 101,  34,  32,  99, 111, 110, 116, 101, 110, 116,  61,
