file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [23-May-2025 22:27:04 UTC] PHP Warning:  Undefined array key 84 in /wordpress/wp-content/plugins/h-seeed-wp/H-Seeed-WP.php on line 36
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 19
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 20
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 21
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 32
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 36
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 47
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 48
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 49
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 50
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 53
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 54
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 69
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 83
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 84
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 89
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 90
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 100
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 129
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 133
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 134
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 137
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 145
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 157
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 165
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 223
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 227
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 228
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 233
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 12
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 17
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 30
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 40
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 114
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/index.php on line 106
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 8
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 17
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 18
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 19
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 20
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 21
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 32
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 36
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 47
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 48
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 49
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 50
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 53
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 54
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 69
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 83
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 84
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 89
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 90
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 100
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 129
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 133
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 134
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 137
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 145
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 157
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 165
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 223
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 227
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 228
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 233
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 12
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 17
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 30
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 40
[23-May-2025 22:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 114
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/index.php on line 106
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 8
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 17
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 18
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 19
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 20
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 21
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 32
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 36
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 47
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 48
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 49
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 50
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 53
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 54
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 69
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 83
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 84
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 89
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 90
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 100
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 129
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 133
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 134
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 137
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 145
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 157
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 165
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 223
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 227
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 228
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 233
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 12
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 17
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 30
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 40
[23-May-2025 22:29:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/js/iwpmenu.php on line 114
[23-May-2025 22:31:54 UTC] PHP Deprecated:  Required parameter $_and_more follows optional parameter $sFieldID2 in /wordpress/wp-content/plugins/hardcore-google-fonts-localizer/lib/apf/factory/admin_page/AdminPageFramework.php on line 374
[23-May-2025 22:32:04 UTC] PHP Deprecated:  Required parameter $_and_more follows optional parameter $sFieldID2 in /wordpress/wp-content/plugins/hardcore-google-fonts-localizer/lib/apf/factory/admin_page/AdminPageFramework.php on line 374
[23-May-2025 22:32:13 UTC] PHP Deprecated:  Required parameter $_and_more follows optional parameter $sFieldID2 in /wordpress/wp-content/plugins/hardcore-google-fonts-localizer/lib/apf/factory/admin_page/AdminPageFramework.php on line 374

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"hash-comment-ip"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/hash-comment-ip.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/hash-comment-ip.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
      at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/hash-comment-ip.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
