file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [08-Jul-2025 14:29:46 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 28
[08-Jul-2025 14:29:48 UTC] PHP Warning:  Undefined array key "height" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 128
[08-Jul-2025 14:29:48 UTC] PHP Warning:  Undefined array key "width" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 129
[08-Jul-2025 14:29:48 UTC] PHP Warning:  Undefined array key "theme" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 130
[08-Jul-2025 14:29:48 UTC] PHP Warning:  Undefined array key "fade-controls" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 131
[08-Jul-2025 14:29:48 UTC] PHP Warning:  Undefined array key "target" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 132
[08-Jul-2025 14:29:48 UTC] PHP Warning:  Undefined array key "read-more-link-text" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 133
[08-Jul-2025 14:29:48 UTC] PHP Warning:  Undefined array key "transition-effect" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 134
[08-Jul-2025 14:29:54 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 28
[08-Jul-2025 14:29:54 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 28
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "create-a-new-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 114
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "delete-this-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 115
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "update-this-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 116
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "id" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 118
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "title" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 119
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "update-category-name-select" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 120
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "update-category-name-input" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 121
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "add-new-category-name-select" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 122
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "add-new-category-name-input" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 123
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "max-slides-to-display" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 124
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "duration" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 125
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "speed-in" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 126
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "speed-out" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 127
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "height" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 128
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "width" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 129
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "theme" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 130
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "fade-controls" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 131
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "target" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 132
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "read-more-link-text" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 133
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined array key "transition-effect" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 134
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined variable $welcome_name in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 63
[08-Jul-2025 14:29:55 UTC] PHP Warning:  Undefined variable $welcome_text in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 63
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "create-a-new-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 114
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "delete-this-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 115
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "update-this-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 116
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "id" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 118
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "title" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 119
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "update-category-name-select" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 120
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "update-category-name-input" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 121
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "add-new-category-name-select" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 122
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "add-new-category-name-input" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 123
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "max-slides-to-display" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 124
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "duration" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 125
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "speed-in" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 126
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "speed-out" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 127
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "height" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 128
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "width" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 129
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "theme" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 130
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "fade-controls" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 131
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "target" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 132
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "read-more-link-text" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 133
[08-Jul-2025 14:29:56 UTC] PHP Warning:  Undefined array key "transition-effect" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 134
[08-Jul-2025 14:30:04 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 28
[08-Jul-2025 14:30:04 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 28
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "create-a-new-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 114
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "delete-this-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 115
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "update-this-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 116
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "id" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 118
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "title" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 119
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "update-category-name-select" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 120
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "update-category-name-input" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 121
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "add-new-category-name-select" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 122
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "add-new-category-name-input" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 123
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "max-slides-to-display" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 124
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "duration" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 125
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "speed-in" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 126
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "speed-out" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 127
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "height" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 128
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "width" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 129
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "theme" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 130
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "fade-controls" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 131
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "target" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 132
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "read-more-link-text" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 133
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined array key "transition-effect" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 134
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined variable $welcome_name in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 63
[08-Jul-2025 14:30:05 UTC] PHP Warning:  Undefined variable $welcome_text in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 63
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "create-a-new-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 114
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "delete-this-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 115
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "update-this-slideshow" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 116
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "id" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 118
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "title" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 119
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "update-category-name-select" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 120
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "update-category-name-input" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 121
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "add-new-category-name-select" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 122
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "add-new-category-name-input" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 123
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "max-slides-to-display" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 124
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "duration" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 125
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "speed-in" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 126
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "speed-out" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 127
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "height" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 128
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "width" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 129
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "theme" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 130
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "fade-controls" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 131
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "target" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 132
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "read-more-link-text" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 133
[08-Jul-2025 14:30:06 UTC] PHP Warning:  Undefined array key "transition-effect" in /wordpress/wp-content/plugins/tpc-slideshow-plugin/tpc-slideshow.php on line 134
[08-Jul-2025 14:31:12 UTC] PHP Fatal error:  Declaration of Geldquelle::postlist_column($column_name, $post_id) must be compatible with Postlist::postlist_column($post_type, $column_name, $post_id, $meta) in /wordpress/wp-content/plugins/transfinanz/Geldquelle.php on line 364
[08-Jul-2025 14:31:20 UTC] PHP Fatal error:  Declaration of Geldquelle::postlist_column($column_name, $post_id) must be compatible with Postlist::postlist_column($post_type, $column_name, $post_id, $meta) in /wordpress/wp-content/plugins/transfinanz/Geldquelle.php on line 364
[08-Jul-2025 14:31:28 UTC] PHP Fatal error:  Declaration of Geldquelle::postlist_column($column_name, $post_id) must be compatible with Postlist::postlist_column($post_type, $column_name, $post_id, $meta) in /wordpress/wp-content/plugins/transfinanz/Geldquelle.php on line 364
[08-Jul-2025 14:32:36 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>zerowp-term-colors</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[08-Jul-2025 14:32:45 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>zerowp-term-colors</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[08-Jul-2025 14:32:55 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>zerowp-term-colors</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"woocommerce"},"options":{"activate":true}}) : Plugin /wordpress/wp-content/plugins/woocommerce could not be activated – WordPress exited with no error. Sometimes, when $_SERVER or site options are not configured correctly, WordPress exits early with a 301 redirect. Inspect the "debug" logs in the console for more details.
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12093:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
      at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
    [cause]: Error: Plugin /wordpress/wp-content/plugins/woocommerce could not be activated – WordPress exited with no error. Sometimes, when $_SERVER or site options are not configured correctly, WordPress exits early with a 301 redirect. Inspect the "debug" logs in the console for more details.
        at wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:120:51)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:631:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12161:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12090:23)
        at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
        at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10)
  }
}

Node.js v23.11.0
