file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [09-Jul-2025 03:49:02 UTC] PHP Fatal error:  Declaration of autoptimize_admin_bar_fix::addPluginSubMenu() must be compatible with mijnpress_plugin_framework::addPluginSubMenu($title, $function, $file, $capability = 10, $where = 'plugins.ph...') in /wordpress/wp-content/plugins/autoptimize-admin-bar-fix/autoptimize_admin_bar_fix.php on line 52
[09-Jul-2025 03:52:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 18
[09-Jul-2025 03:52:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 19
[09-Jul-2025 03:52:05 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 20
[09-Jul-2025 03:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 6
[09-Jul-2025 03:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 7
[09-Jul-2025 03:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 8
[09-Jul-2025 03:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 9
[09-Jul-2025 03:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 10
[09-Jul-2025 03:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 11
[09-Jul-2025 03:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 12
[09-Jul-2025 03:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 13
[09-Jul-2025 03:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 14
[09-Jul-2025 03:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 15
[09-Jul-2025 03:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 18
[09-Jul-2025 03:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 19
[09-Jul-2025 03:52:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 20
[09-Jul-2025 03:52:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 6
[09-Jul-2025 03:52:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 7
[09-Jul-2025 03:52:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 8
[09-Jul-2025 03:52:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 9
[09-Jul-2025 03:52:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 10
[09-Jul-2025 03:52:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 11
[09-Jul-2025 03:52:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 12
[09-Jul-2025 03:52:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 13
[09-Jul-2025 03:52:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 14
[09-Jul-2025 03:52:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 15
[09-Jul-2025 03:52:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 18
[09-Jul-2025 03:52:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 19
[09-Jul-2025 03:52:25 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/aviary-image-editor-add-on-for-gravity-forms/includes/gform_aviary_field.php on line 20
[09-Jul-2025 03:54:04 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/awe-video/class-awe-videos.php:173
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): AWE_Videos::initialize('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-settings.php(727): do_action('init')
#4 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#5 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#6 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#7 {main}
  thrown in /wordpress/wp-content/plugins/awe-video/class-awe-videos.php on line 173
[09-Jul-2025 03:54:14 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/awe-video/class-awe-videos.php:173
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): AWE_Videos::initialize('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-settings.php(727): do_action('init')
#4 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#5 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#6 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#7 {main}
  thrown in /wordpress/wp-content/plugins/awe-video/class-awe-videos.php on line 173
[09-Jul-2025 03:54:24 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/awe-video/class-awe-videos.php:173
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): AWE_Videos::initialize('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-settings.php(727): do_action('init')
#4 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#5 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#6 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#7 {main}
  thrown in /wordpress/wp-content/plugins/awe-video/class-awe-videos.php on line 173
[09-Jul-2025 03:54:34 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>aweber-web-form-widget</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[09-Jul-2025 03:54:44 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>aweber-web-form-widget</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[09-Jul-2025 03:54:54 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>aweber-web-form-widget</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[09-Jul-2025 03:55:36 UTC] PHP Deprecated:  Required parameter $is_script follows optional parameter $list in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 20
[09-Jul-2025 03:55:36 UTC] PHP Deprecated:  Required parameter $handle follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:36 UTC] PHP Deprecated:  Required parameter $src_cdn follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:36 UTC] PHP Deprecated:  Required parameter $deps follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:36 UTC] PHP Deprecated:  Required parameter $ver follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:36 UTC] PHP Deprecated:  Required parameter $footer_or_media follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:36 UTC] PHP Deprecated:  Required parameter $path follows optional parameter $expire in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_functions.php on line 53
[09-Jul-2025 03:55:37 UTC] PHP Deprecated:  Required parameter $is_script follows optional parameter $list in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 20
[09-Jul-2025 03:55:37 UTC] PHP Deprecated:  Required parameter $handle follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:37 UTC] PHP Deprecated:  Required parameter $src_cdn follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:37 UTC] PHP Deprecated:  Required parameter $deps follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:37 UTC] PHP Deprecated:  Required parameter $ver follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:37 UTC] PHP Deprecated:  Required parameter $footer_or_media follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:37 UTC] PHP Deprecated:  Required parameter $path follows optional parameter $expire in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_functions.php on line 53
[09-Jul-2025 03:55:37 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_helpers.php on line 69
[09-Jul-2025 03:55:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 376
[09-Jul-2025 03:55:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 398
[09-Jul-2025 03:55:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 416
[09-Jul-2025 03:55:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 420
[09-Jul-2025 03:55:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 447
[09-Jul-2025 03:55:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 459
[09-Jul-2025 03:55:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 478
[09-Jul-2025 03:55:37 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/tracking.php on line 65
[09-Jul-2025 03:55:37 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_helpers.php on line 69
[09-Jul-2025 03:55:50 UTC] PHP Deprecated:  Required parameter $is_script follows optional parameter $list in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 20
[09-Jul-2025 03:55:50 UTC] PHP Deprecated:  Required parameter $handle follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:50 UTC] PHP Deprecated:  Required parameter $src_cdn follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:50 UTC] PHP Deprecated:  Required parameter $deps follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:50 UTC] PHP Deprecated:  Required parameter $ver follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:50 UTC] PHP Deprecated:  Required parameter $footer_or_media follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:50 UTC] PHP Deprecated:  Required parameter $path follows optional parameter $expire in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_functions.php on line 53
[09-Jul-2025 03:55:51 UTC] PHP Deprecated:  Required parameter $is_script follows optional parameter $list in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 20
[09-Jul-2025 03:55:51 UTC] PHP Deprecated:  Required parameter $handle follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:51 UTC] PHP Deprecated:  Required parameter $src_cdn follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:51 UTC] PHP Deprecated:  Required parameter $deps follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:51 UTC] PHP Deprecated:  Required parameter $ver follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:51 UTC] PHP Deprecated:  Required parameter $footer_or_media follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:55:51 UTC] PHP Deprecated:  Required parameter $path follows optional parameter $expire in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_functions.php on line 53
[09-Jul-2025 03:55:51 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_helpers.php on line 69
[09-Jul-2025 03:55:51 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 376
[09-Jul-2025 03:55:51 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 398
[09-Jul-2025 03:55:51 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 416
[09-Jul-2025 03:55:51 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 420
[09-Jul-2025 03:55:51 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 447
[09-Jul-2025 03:55:51 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 459
[09-Jul-2025 03:55:51 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 478
[09-Jul-2025 03:55:51 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/tracking.php on line 65
[09-Jul-2025 03:55:51 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_helpers.php on line 69
[09-Jul-2025 03:56:04 UTC] PHP Deprecated:  Required parameter $is_script follows optional parameter $list in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 20
[09-Jul-2025 03:56:04 UTC] PHP Deprecated:  Required parameter $handle follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:56:04 UTC] PHP Deprecated:  Required parameter $src_cdn follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:56:04 UTC] PHP Deprecated:  Required parameter $deps follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:56:04 UTC] PHP Deprecated:  Required parameter $ver follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:56:04 UTC] PHP Deprecated:  Required parameter $footer_or_media follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:56:04 UTC] PHP Deprecated:  Required parameter $path follows optional parameter $expire in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_functions.php on line 53
[09-Jul-2025 03:56:05 UTC] PHP Deprecated:  Required parameter $is_script follows optional parameter $list in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 20
[09-Jul-2025 03:56:05 UTC] PHP Deprecated:  Required parameter $handle follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:56:05 UTC] PHP Deprecated:  Required parameter $src_cdn follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:56:05 UTC] PHP Deprecated:  Required parameter $deps follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:56:05 UTC] PHP Deprecated:  Required parameter $ver follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:56:05 UTC] PHP Deprecated:  Required parameter $footer_or_media follows optional parameter $register in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_cdn.php on line 44
[09-Jul-2025 03:56:05 UTC] PHP Deprecated:  Required parameter $path follows optional parameter $expire in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_functions.php on line 53
[09-Jul-2025 03:56:05 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/class.redux_helpers.php on line 69
[09-Jul-2025 03:56:05 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 376
[09-Jul-2025 03:56:05 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 398
[09-Jul-2025 03:56:05 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 416
[09-Jul-2025 03:56:05 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 420
[09-Jul-2025 03:56:05 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/awesome-arrow-navigation/admin/ReduxCore/inc/extensions/customizer/extension_customizer.php on line 447
