file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [21-May-2025 20:30:07 UTC] PHP Deprecated:  Required parameter $post_id follows optional parameter $group_index in /wordpress/wp-content/plugins/magic-fields-2-toolkit/magic-fields-2-toolkit.php on line 393
[21-May-2025 20:31:35 UTC] PHP Warning:  Attempt to read property "categories" on null in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 31
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 279
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 280
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "682e38277c060" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 285
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:35 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>magicbox</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "seo_image" in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_seo_image/index.php on line 44
[21-May-2025 20:31:35 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_seo_image/index.php on line 44
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "comment_manager" in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_comment_manager/index.php on line 41
[21-May-2025 20:31:35 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_comment_manager/index.php on line 41
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:35 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:44 UTC] PHP Warning:  Attempt to read property "categories" on null in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 31
[21-May-2025 20:31:45 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 279
[21-May-2025 20:31:45 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 280
[21-May-2025 20:31:45 UTC] PHP Warning:  Undefined array key "682e38317a508" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 285
[21-May-2025 20:31:46 UTC] PHP Warning:  Undefined array key "panelMessages" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 29
[21-May-2025 20:31:47 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>magicbox</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[21-May-2025 20:31:47 UTC] PHP Warning:  Attempt to read property "categories" on null in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 31
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 279
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 280
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "682e383398198" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 285
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:47 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>magicbox</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "seo_image" in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_seo_image/index.php on line 44
[21-May-2025 20:31:47 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_seo_image/index.php on line 44
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "comment_manager" in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_comment_manager/index.php on line 41
[21-May-2025 20:31:47 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_comment_manager/index.php on line 41
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:47 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:31:57 UTC] PHP Warning:  Attempt to read property "categories" on null in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 31
[21-May-2025 20:31:58 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 279
[21-May-2025 20:31:58 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 280
[21-May-2025 20:31:58 UTC] PHP Warning:  Undefined array key "682e383e4c6a8" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 285
[21-May-2025 20:31:59 UTC] PHP Warning:  Undefined array key "panelMessages" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 29
[21-May-2025 20:31:59 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>magicbox</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[21-May-2025 20:31:59 UTC] PHP Warning:  Attempt to read property "categories" on null in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 31
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 279
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 280
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "682e38400a028" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 285
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:32:00 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>magicbox</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "seo_image" in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_seo_image/index.php on line 44
[21-May-2025 20:32:00 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_seo_image/index.php on line 44
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "comment_manager" in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_comment_manager/index.php on line 41
[21-May-2025 20:32:00 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_comment_manager/index.php on line 41
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:32:00 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[21-May-2025 20:34:16 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/mailchimp-integration/mailchimp-integration.php on line 53
[21-May-2025 20:34:16 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function eregi() in /wordpress/wp-content/plugins/mailchimp-integration/mailchimp-integration.php:54
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('mailchimp-integ...')
#2 /internal/eval.php(20): activate_plugin('mailchimp-integ...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/mailchimp-integration/mailchimp-integration.php on line 54
[21-May-2025 20:34:24 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/mailchimp-integration/mailchimp-integration.php on line 53
[21-May-2025 20:34:24 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function eregi() in /wordpress/wp-content/plugins/mailchimp-integration/mailchimp-integration.php:54
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('mailchimp-integ...')
#2 /internal/eval.php(20): activate_plugin('mailchimp-integ...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/mailchimp-integration/mailchimp-integration.php on line 54
[21-May-2025 20:34:32 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/mailchimp-integration/mailchimp-integration.php on line 53
[21-May-2025 20:34:32 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function eregi() in /wordpress/wp-content/plugins/mailchimp-integration/mailchimp-integration.php:54
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('mailchimp-integ...')
#2 /internal/eval.php(20): activate_plugin('mailchimp-integ...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/mailchimp-integration/mailchimp-integration.php on line 54

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"mailpress-for-php4"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/mailpress-for-php4.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/mailpress-for-php4.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
      at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/mailpress-for-php4.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
    				cross-origin file downloads. Learn more about CORS at
    				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
    
    				If your file is on GitHub, load it from "raw.githubusercontent.com".
    				Here's how to do that:
    
    				1. Start with the original GitHub URL of the file. For example:
    				https://github.com/username/repository/blob/branch/filename.
    				2. Replace "github.com" with "raw.githubusercontent.com".
    				3. Remove the "/blob/" part of the URL.
    
    				The resulting URL should look like this:
    				https://raw.githubusercontent.com/username/repository/branch/filename
    
    				Error:
    				Error: Could not download "https://downloads.wordpress.org/plugin/mailpress-for-php4.latest-stable.zip"
        at Ct.resolve (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:1472:13)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async _.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/util/index.js:45:14)
  }
}

Node.js v23.11.0
