file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [17-Apr-2025 22:49:53 UTC] PHP Warning:  Undefined array key "show_sql_error" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 59
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 12
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 13
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 14
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 15
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 16
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 17
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 18
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 19
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 20
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 21
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 22
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 23
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 24
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 25
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 26
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 27
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 28
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 29
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 30
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 31
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 32
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 33
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 34
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 35
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 36
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 37
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 38
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 39
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 40
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 41
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 42
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 43
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 44
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 45
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 46
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 47
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 48
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 49
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 50
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 51
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 52
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 53
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 54
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 55
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 56
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 57
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 58
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 59
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 60
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 63
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 64
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 67
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 68
