file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [19-May-2025 05:53:02 UTC] PHP Warning:  Undefined variable $wp_version in /wordpress/wp-content/plugins/multisite-dashboard-broadcast/multisite-dashboard-broadcast.php on line 31
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 589
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 589
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 593
[19-May-2025 05:54:34 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 593
[19-May-2025 05:54:42 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 77
[19-May-2025 05:54:42 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 78
[19-May-2025 05:54:42 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 79
[19-May-2025 05:54:42 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 80
[19-May-2025 05:54:42 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 81
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 77
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 78
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 79
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 80
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 81
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeedwidgetitem.php on line 62
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeedwidgetitem.php on line 63
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 98
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 101
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 104
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 107
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 110
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 577
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 577
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 581
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 581
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 585
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 585
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 589
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 589
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 593
[19-May-2025 05:54:43 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 593
[19-May-2025 05:54:50 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 77
[19-May-2025 05:54:50 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 78
[19-May-2025 05:54:50 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 79
[19-May-2025 05:54:50 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 80
[19-May-2025 05:54:50 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 81
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 77
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 78
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 79
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 80
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 81
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeedwidgetitem.php on line 62
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeedwidgetitem.php on line 63
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 98
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 101
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 104
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 107
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 110
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 577
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 577
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 581
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 581
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 585
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 585
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 589
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 589
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 593
[19-May-2025 05:54:51 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/media-feed/lib/class-mediafeed.php on line 593
[19-May-2025 05:55:02 UTC] PHP Deprecated:  Required parameter $field_id follows optional parameter $type in /wordpress/wp-content/plugins/mega-ad/inc/cmb2/includes/rest-api/CMB2_REST.php on line 693
[19-May-2025 05:55:11 UTC] PHP Deprecated:  Required parameter $field_id follows optional parameter $type in /wordpress/wp-content/plugins/mega-ad/inc/cmb2/includes/rest-api/CMB2_REST.php on line 693
[19-May-2025 05:55:20 UTC] PHP Deprecated:  Required parameter $field_id follows optional parameter $type in /wordpress/wp-content/plugins/mega-ad/inc/cmb2/includes/rest-api/CMB2_REST.php on line 693
[19-May-2025 05:57:39 UTC] PHP Fatal error:  Uncaught TypeError: in_array(): Argument #2 ($haystack) must be of type array, bool given in /wordpress/wp-content/plugins/multibanco-e-ou-payshop-by-lusopay/multibanco-e-ou-payshop-by-lusopay.php:44
Stack trace:
#0 /wordpress/wp-content/plugins/multibanco-e-ou-payshop-by-lusopay/multibanco-e-ou-payshop-by-lusopay.php(44): in_array('woocommerce/woo...', false, true)
#1 /wordpress/wp-content/plugins/multibanco-e-ou-payshop-by-lusopay/multibanco-e-ou-payshop-by-lusopay.php(116): WC_Lusopay->__construct()
#2 /wordpress/wp-includes/class-wp-hook.php(324): WC_Lusopay::get_instance('')
#3 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#4 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#5 /wordpress/wp-settings.php(578): do_action('plugins_loaded')
#6 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#7 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#8 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#9 {main}
  thrown in /wordpress/wp-content/plugins/multibanco-e-ou-payshop-by-lusopay/multibanco-e-ou-payshop-by-lusopay.php on line 44
[19-May-2025 05:57:47 UTC] PHP Fatal error:  Uncaught TypeError: in_array(): Argument #2 ($haystack) must be of type array, bool given in /wordpress/wp-content/plugins/multibanco-e-ou-payshop-by-lusopay/multibanco-e-ou-payshop-by-lusopay.php:44
Stack trace:
#0 /wordpress/wp-content/plugins/multibanco-e-ou-payshop-by-lusopay/multibanco-e-ou-payshop-by-lusopay.php(44): in_array('woocommerce/woo...', false, true)
#1 /wordpress/wp-content/plugins/multibanco-e-ou-payshop-by-lusopay/multibanco-e-ou-payshop-by-lusopay.php(116): WC_Lusopay->__construct()
#2 /wordpress/wp-includes/class-wp-hook.php(324): WC_Lusopay::get_instance('')
#3 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#4 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#5 /wordpress/wp-settings.php(578): do_action('plugins_loaded')
#6 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#7 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#8 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#9 {main}
  thrown in /wordpress/wp-content/plugins/multibanco-e-ou-payshop-by-lusopay/multibanco-e-ou-payshop-by-lusopay.php on line 44
[19-May-2025 05:57:55 UTC] PHP Fatal error:  Uncaught TypeError: in_array(): Argument #2 ($haystack) must be of type array, bool given in /wordpress/wp-content/plugins/multibanco-e-ou-payshop-by-lusopay/multibanco-e-ou-payshop-by-lusopay.php:44
Stack trace:
#0 /wordpress/wp-content/plugins/multibanco-e-ou-payshop-by-lusopay/multibanco-e-ou-payshop-by-lusopay.php(44): in_array('woocommerce/woo...', false, true)
#1 /wordpress/wp-content/plugins/multibanco-e-ou-payshop-by-lusopay/multibanco-e-ou-payshop-by-lusopay.php(116): WC_Lusopay->__construct()
#2 /wordpress/wp-includes/class-wp-hook.php(324): WC_Lusopay::get_instance('')
#3 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#4 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#5 /wordpress/wp-settings.php(578): do_action('plugins_loaded')
#6 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#7 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#8 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#9 {main}
  thrown in /wordpress/wp-content/plugins/multibanco-e-ou-payshop-by-lusopay/multibanco-e-ou-payshop-by-lusopay.php on line 44
[19-May-2025 05:58:47 UTC] PHP Warning:  Use of undefined constant STDERR - assumed 'STDERR' (this will throw an Error in a future version of PHP) in /wordpress/wp-content/plugins/muscula/vendor/composer/platform_check.php on line 17
[19-May-2025 05:58:47 UTC] PHP Warning:  fwrite() expects parameter 1 to be resource, string given in /wordpress/wp-content/plugins/muscula/vendor/composer/platform_check.php on line 17
[19-May-2025 05:58:47 UTC] PHP Fatal error:  Composer detected issues in your platform: Your Composer dependencies require a PHP version ">= 8.1.0". You are running 7.2.34-dev. in /wordpress/wp-content/plugins/muscula/vendor/composer/platform_check.php on line 24
[19-May-2025 05:58:57 UTC] PHP Warning:  Use of undefined constant STDERR - assumed 'STDERR' (this will throw an Error in a future version of PHP) in /wordpress/wp-content/plugins/muscula/vendor/composer/platform_check.php on line 17
[19-May-2025 05:58:57 UTC] PHP Warning:  fwrite() expects parameter 1 to be resource, string given in /wordpress/wp-content/plugins/muscula/vendor/composer/platform_check.php on line 17
[19-May-2025 05:58:57 UTC] PHP Fatal error:  Composer detected issues in your platform: Your Composer dependencies require a PHP version ">= 8.1.0". You are running 7.2.34-dev. in /wordpress/wp-content/plugins/muscula/vendor/composer/platform_check.php on line 24
[19-May-2025 05:59:06 UTC] PHP Warning:  Use of undefined constant STDERR - assumed 'STDERR' (this will throw an Error in a future version of PHP) in /wordpress/wp-content/plugins/muscula/vendor/composer/platform_check.php on line 17
[19-May-2025 05:59:06 UTC] PHP Warning:  fwrite() expects parameter 1 to be resource, string given in /wordpress/wp-content/plugins/muscula/vendor/composer/platform_check.php on line 17
[19-May-2025 05:59:06 UTC] PHP Fatal error:  Composer detected issues in your platform: Your Composer dependencies require a PHP version ">= 8.1.0". You are running 7.2.34-dev. in /wordpress/wp-content/plugins/muscula/vendor/composer/platform_check.php on line 24
[19-May-2025 05:59:16 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[19-May-2025 05:59:17 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[19-May-2025 05:59:24 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[19-May-2025 05:59:25 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[19-May-2025 05:59:32 UTC] PHP Deprecated:  Function add_option was called with an argument that is <strong>deprecated</strong> since version 2.3.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[19-May-2025 05:59:33 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"meta-view-count"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/meta-view-count.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/meta-view-count.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
      at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/meta-view-count.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
    				cross-origin file downloads. Learn more about CORS at
    				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
    
    				If your file is on GitHub, load it from "raw.githubusercontent.com".
    				Here's how to do that:
    
    				1. Start with the original GitHub URL of the file. For example:
    				https://github.com/username/repository/blob/branch/filename.
    				2. Replace "github.com" with "raw.githubusercontent.com".
    				3. Remove the "/blob/" part of the URL.
    
    				The resulting URL should look like this:
    				https://raw.githubusercontent.com/username/repository/branch/filename
    
    				Error:
    				Error: Could not download "https://downloads.wordpress.org/plugin/meta-view-count.latest-stable.zip"
        at Ct.resolve (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:1472:13)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async _.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/util/index.js:45:14)
  }
}

Node.js v23.11.0
