file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [10-May-2025 14:25:52 UTC] PHP Deprecated:  Required parameter $meta_value follows optional parameter $meta_key in /wordpress/wp-content/plugins/cc-manga-comic-reader/lib/codestar-framework/functions/fallback.php on line 31
[10-May-2025 14:28:47 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 761
[10-May-2025 14:28:47 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 762
[10-May-2025 14:28:47 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 763
[10-May-2025 14:28:47 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 760
[10-May-2025 14:28:47 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 761
[10-May-2025 14:28:47 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 762
[10-May-2025 14:28:47 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 763
[10-May-2025 14:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 760
[10-May-2025 14:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 761
[10-May-2025 14:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 762
[10-May-2025 14:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 763
[10-May-2025 14:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 760
[10-May-2025 14:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 761
[10-May-2025 14:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 762
[10-May-2025 14:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 763
[10-May-2025 14:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 760
[10-May-2025 14:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 761
[10-May-2025 14:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 762
[10-May-2025 14:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 763
[10-May-2025 14:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 760
[10-May-2025 14:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 761
[10-May-2025 14:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 762
[10-May-2025 14:28:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 763
[10-May-2025 14:29:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 760
[10-May-2025 14:29:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 761
[10-May-2025 14:29:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 762
[10-May-2025 14:29:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 763
[10-May-2025 14:29:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 760
[10-May-2025 14:29:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 761
[10-May-2025 14:29:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 762
[10-May-2025 14:29:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 763
[10-May-2025 14:29:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 760
[10-May-2025 14:29:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 761
[10-May-2025 14:29:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 762
[10-May-2025 14:29:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 763
[10-May-2025 14:29:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 760
[10-May-2025 14:29:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 761
[10-May-2025 14:29:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 762
[10-May-2025 14:29:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 763
[10-May-2025 14:30:38 UTC] PHP Warning:  Undefined array key "comment" in /wordpress/wp-content/plugins/comment-control-by-word-recognition/AvoidUnwantedComments.php on line 135
[10-May-2025 14:30:47 UTC] PHP Warning:  Undefined array key "comment" in /wordpress/wp-content/plugins/comment-control-by-word-recognition/AvoidUnwantedComments.php on line 135
[10-May-2025 14:30:57 UTC] PHP Warning:  Undefined array key "comment" in /wordpress/wp-content/plugins/comment-control-by-word-recognition/AvoidUnwantedComments.php on line 135
[10-May-2025 14:31:29 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>dimwwt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 14:31:38 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>dimwwt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 14:31:46 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>dimwwt</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[10-May-2025 14:31:55 UTC] PHP Warning:  Attempt to read property "status" on null in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 181
[10-May-2025 14:31:55 UTC] PHP Warning:  Undefined property: stdClass::$button in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 273
[10-May-2025 14:31:55 UTC] PHP Warning:  Attempt to read property "app_id" on null in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 275
[10-May-2025 14:31:56 UTC] PHP Warning:  Attempt to read property "status" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 37
[10-May-2025 14:31:56 UTC] PHP Warning:  Attempt to read property "http_code" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 59
[10-May-2025 14:31:56 UTC] PHP Warning:  Attempt to read property "message" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 66
[10-May-2025 14:31:57 UTC] PHP Warning:  Attempt to read property "status" on null in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 181
[10-May-2025 14:31:57 UTC] PHP Warning:  Undefined property: stdClass::$button in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 273
[10-May-2025 14:31:57 UTC] PHP Warning:  Attempt to read property "app_id" on null in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 275
[10-May-2025 14:31:57 UTC] PHP Warning:  Attempt to read property "status" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 37
[10-May-2025 14:31:57 UTC] PHP Warning:  Attempt to read property "http_code" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 59
[10-May-2025 14:31:57 UTC] PHP Warning:  Attempt to read property "message" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 66
[10-May-2025 14:31:57 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('CgButtonWidget')
#2 /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-widget.php(116): register_widget('CgButtonWidget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): register_cg_widget('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[10-May-2025 14:32:05 UTC] PHP Warning:  Attempt to read property "status" on null in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 181
[10-May-2025 14:32:05 UTC] PHP Warning:  Undefined property: stdClass::$button in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 273
[10-May-2025 14:32:05 UTC] PHP Warning:  Attempt to read property "app_id" on null in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 275
[10-May-2025 14:32:05 UTC] PHP Warning:  Attempt to read property "status" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 37
[10-May-2025 14:32:05 UTC] PHP Warning:  Attempt to read property "http_code" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 59
[10-May-2025 14:32:05 UTC] PHP Warning:  Attempt to read property "message" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 66
[10-May-2025 14:32:07 UTC] PHP Warning:  Attempt to read property "status" on null in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 181
[10-May-2025 14:32:07 UTC] PHP Warning:  Undefined property: stdClass::$button in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 273
[10-May-2025 14:32:07 UTC] PHP Warning:  Attempt to read property "app_id" on null in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 275
[10-May-2025 14:32:07 UTC] PHP Warning:  Attempt to read property "status" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 37
[10-May-2025 14:32:07 UTC] PHP Warning:  Attempt to read property "http_code" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 59
[10-May-2025 14:32:07 UTC] PHP Warning:  Attempt to read property "message" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 66
[10-May-2025 14:32:07 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('CgButtonWidget')
#2 /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-widget.php(116): register_widget('CgButtonWidget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): register_cg_widget('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[10-May-2025 14:32:16 UTC] PHP Warning:  Attempt to read property "status" on null in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 181
[10-May-2025 14:32:16 UTC] PHP Warning:  Undefined property: stdClass::$button in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 273
[10-May-2025 14:32:16 UTC] PHP Warning:  Attempt to read property "app_id" on null in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 275
[10-May-2025 14:32:17 UTC] PHP Warning:  Attempt to read property "status" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 37
[10-May-2025 14:32:17 UTC] PHP Warning:  Attempt to read property "http_code" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 59
[10-May-2025 14:32:17 UTC] PHP Warning:  Attempt to read property "message" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 66
[10-May-2025 14:32:18 UTC] PHP Warning:  Attempt to read property "status" on null in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 181
[10-May-2025 14:32:18 UTC] PHP Warning:  Undefined property: stdClass::$button in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 273
[10-May-2025 14:32:18 UTC] PHP Warning:  Attempt to read property "app_id" on null in /wordpress/wp-content/plugins/content-glass-button/utils/ModuleUtils.php on line 275
[10-May-2025 14:32:18 UTC] PHP Warning:  Attempt to read property "status" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 37
[10-May-2025 14:32:18 UTC] PHP Warning:  Attempt to read property "http_code" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 59
[10-May-2025 14:32:18 UTC] PHP Warning:  Attempt to read property "message" on null in /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-menu-link.php on line 66
[10-May-2025 14:32:18 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('CgButtonWidget')
#2 /wordpress/wp-content/plugins/content-glass-button/core/CG-Button-widget.php(116): register_widget('CgButtonWidget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): register_cg_widget('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"content-glass-button"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      ... 2 lines matching cause stack trace ...
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:987:19)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:73:13)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:974:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12517:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12446:23)
        at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
        at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
        at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
      response: PHPResponse {
        httpStatusCode: 500,
        headers: {
          'x-powered-by': [ 'PHP/8.0.30-dev' ],
          'content-type': [ 'text/html; charset=UTF-8' ],
          expires: [ 'Wed, 11 Jan 1984 05:00:00 GMT' ],
          'cache-control': [ 'no-cache, must-revalidate, max-age=0, no-store, private' ]
        },
        bytes: Uint8Array(2653) [
           60,  33,  68,  79,  67,  84,  89,  80,  69,  32, 104, 116,
          109, 108,  62,  10,  60, 104, 116, 109, 108,  32, 108,  97,
          110, 103,  61,  34, 101, 110,  45,  85,  83,  34,  62,  10,
           60, 104, 101,  97, 100,  62,  10,   9,  60, 109, 101, 116,
           97,  32, 104, 116, 116, 112,  45, 101, 113, 117, 105, 118,
           61,  34,  67, 111, 110, 116, 101, 110, 116,  45,  84, 121,
          112, 101,  34,  32,  99, 111, 110, 116, 101, 110, 116,  61,
           34, 116, 101, 120, 116,  47, 104, 116, 109, 108,  59,  32,
           99, 104,  97, 114,
          ... 2553 more items
        ],
        exitCode: 255,
        errors: ''
      },
      source: 'request'
    }
  }
}

Node.js v23.11.0
