file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [26-May-2025 09:55:05 UTC] PHP Deprecated:  Required parameter $echo follows optional parameter $title in /wordpress/wp-content/plugins/bp-star-ratings/bepassive-framework/admin/markup.class.php on line 50
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:45 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:45 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:45 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:45 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:45 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:45 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:59:35 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bet-on-sports/bw-config.php on line 4
[26-May-2025 09:59:35 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bet-on-sports/bw-config.php on line 7
[26-May-2025 09:59:35 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/bet-on-sports/bukmekers-widget.php:64
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('bet-on-sports/b...')
#2 /internal/eval.php(20): activate_plugin('bet-on-sports/b...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/bet-on-sports/bukmekers-widget.php on line 64
[26-May-2025 09:59:43 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bet-on-sports/bw-config.php on line 4
[26-May-2025 09:59:43 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bet-on-sports/bw-config.php on line 7
[26-May-2025 09:59:43 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/bet-on-sports/bukmekers-widget.php:64
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('bet-on-sports/b...')
#2 /internal/eval.php(20): activate_plugin('bet-on-sports/b...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/bet-on-sports/bukmekers-widget.php on line 64
[26-May-2025 09:59:53 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bet-on-sports/bw-config.php on line 4
[26-May-2025 09:59:53 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bet-on-sports/bw-config.php on line 7
[26-May-2025 09:59:53 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/bet-on-sports/bukmekers-widget.php:64
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('bet-on-sports/b...')
#2 /internal/eval.php(20): activate_plugin('bet-on-sports/b...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/bet-on-sports/bukmekers-widget.php on line 64
[26-May-2025 10:02:39 UTC] PHP Deprecated:  Function get_theme_data is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme() instead. in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 10:02:40 UTC] PHP Deprecated:  Function get_theme_data is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme() instead. in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 10:02:48 UTC] PHP Deprecated:  Function get_theme_data is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme() instead. in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 10:02:49 UTC] PHP Deprecated:  Function get_theme_data is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme() instead. in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 10:02:57 UTC] PHP Deprecated:  Function get_theme_data is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme() instead. in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 10:02:58 UTC] PHP Deprecated:  Function get_theme_data is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme() instead. in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 10:03:10 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/better-github-widget/better-github-widget.php:146
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('better-github-w...')
#2 /internal/eval.php(20): activate_plugin('better-github-w...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/better-github-widget/better-github-widget.php on line 146
[26-May-2025 10:03:17 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/better-github-widget/better-github-widget.php:146
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('better-github-w...')
#2 /internal/eval.php(20): activate_plugin('better-github-w...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/better-github-widget/better-github-widget.php on line 146
[26-May-2025 10:03:25 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/better-github-widget/better-github-widget.php:146
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('better-github-w...')
#2 /internal/eval.php(20): activate_plugin('better-github-w...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/better-github-widget/better-github-widget.php on line 146
[26-May-2025 10:04:03 UTC] PHP Notice:  Function wp_enqueue_style was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>bh_pagination-style</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 10:04:03 UTC] PHP Notice:  Function is_feed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 10:04:11 UTC] PHP Notice:  Function wp_enqueue_style was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>bh_pagination-style</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 10:04:11 UTC] PHP Notice:  Function is_feed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 10:04:19 UTC] PHP Notice:  Function wp_enqueue_style was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>bh_pagination-style</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 10:04:19 UTC] PHP Notice:  Function is_feed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /wordpress/wp-includes/functions.php on line 6121

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"bitpay-for-gravity-forms"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/bitpay-for-gravity-forms.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/bitpay-for-gravity-forms.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
      at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/bitpay-for-gravity-forms.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
    				cross-origin file downloads. Learn more about CORS at
    				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
    
    				If your file is on GitHub, load it from "raw.githubusercontent.com".
    				Here's how to do that:
    
    				1. Start with the original GitHub URL of the file. For example:
    				https://github.com/username/repository/blob/branch/filename.
    				2. Replace "github.com" with "raw.githubusercontent.com".
    				3. Remove the "/blob/" part of the URL.
    
    				The resulting URL should look like this:
    				https://raw.githubusercontent.com/username/repository/branch/filename
    
    				Error:
    				Error: Could not download "https://downloads.wordpress.org/plugin/bitpay-for-gravity-forms.latest-stable.zip"
        at Ct.resolve (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:1472:13)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async _.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/util/index.js:45:14)
  }
}

Node.js v23.11.0
