file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [03-May-2025 10:26:49 UTC] PHP Warning:  Undefined array key "primary" in /wordpress/wp-content/plugins/bootstrap-main-menu-responsive/Class_Main_Menu_BootstrapJarim.php on line 121
[03-May-2025 10:29:07 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:29:07 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:29:07 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:07 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:07 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:29:07 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:29:07 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:07 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:07 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:29:07 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:29:07 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:07 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:07 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:29:07 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:29:07 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:07 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:07 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:29:07 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:29:07 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:07 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:07 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:29:17 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:29:17 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:17 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:17 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:29:17 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:29:17 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:17 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:17 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:29:17 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:29:17 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:17 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:17 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:29:17 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:29:17 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:17 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:17 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:29:17 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:29:17 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:17 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:17 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:29:17 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:29:17 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:17 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:17 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:31:02 UTC] PHP Fatal error:  Unparenthesized `a ? b : c ? d : e` is not supported. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in /wordpress/wp-content/plugins/best-push/inc/base/WebpushScripts.php on line 132
[03-May-2025 10:31:12 UTC] PHP Fatal error:  Unparenthesized `a ? b : c ? d : e` is not supported. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in /wordpress/wp-content/plugins/best-push/inc/base/WebpushScripts.php on line 132
[03-May-2025 10:31:23 UTC] PHP Fatal error:  Unparenthesized `a ? b : c ? d : e` is not supported. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in /wordpress/wp-content/plugins/best-push/inc/base/WebpushScripts.php on line 132
[03-May-2025 10:32:39 UTC] PHP Fatal error:  Unparenthesized `a ? b : c ? d : e` is not supported. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in /wordpress/wp-content/plugins/bidsketch-proposal-software-gravity-forms/api/Bidsketch_API.class.php on line 118
[03-May-2025 10:32:50 UTC] PHP Fatal error:  Unparenthesized `a ? b : c ? d : e` is not supported. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in /wordpress/wp-content/plugins/bidsketch-proposal-software-gravity-forms/api/Bidsketch_API.class.php on line 118
[03-May-2025 10:32:59 UTC] PHP Fatal error:  Unparenthesized `a ? b : c ? d : e` is not supported. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in /wordpress/wp-content/plugins/bidsketch-proposal-software-gravity-forms/api/Bidsketch_API.class.php on line 118
[03-May-2025 10:33:46 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>wp-bittorrent</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[03-May-2025 10:33:58 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>wp-bittorrent</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[03-May-2025 10:34:09 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>wp-bittorrent</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[03-May-2025 10:35:26 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>bp-profile-widgets</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[03-May-2025 10:35:37 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>bp-profile-widgets</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[03-May-2025 10:35:47 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>bp-profile-widgets</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[03-May-2025 10:35:56 UTC] PHP Deprecated:  Function get_plugin_data was called with an argument that is <strong>deprecated</strong> since version 3.0.0! The <code>Site Wide Only: true</code> plugin header is deprecated. Use <code>Network: true</code> instead. in /wordpress/wp-includes/functions.php on line 6121
[03-May-2025 10:35:58 UTC] PHP Deprecated:  Function get_plugin_data was called with an argument that is <strong>deprecated</strong> since version 3.0.0! The <code>Site Wide Only: true</code> plugin header is deprecated. Use <code>Network: true</code> instead. in /wordpress/wp-includes/functions.php on line 6121
[03-May-2025 10:36:07 UTC] PHP Deprecated:  Function get_plugin_data was called with an argument that is <strong>deprecated</strong> since version 3.0.0! The <code>Site Wide Only: true</code> plugin header is deprecated. Use <code>Network: true</code> instead. in /wordpress/wp-includes/functions.php on line 6121
[03-May-2025 10:36:08 UTC] PHP Deprecated:  Function get_plugin_data was called with an argument that is <strong>deprecated</strong> since version 3.0.0! The <code>Site Wide Only: true</code> plugin header is deprecated. Use <code>Network: true</code> instead. in /wordpress/wp-includes/functions.php on line 6121
[03-May-2025 10:36:17 UTC] PHP Deprecated:  Function get_plugin_data was called with an argument that is <strong>deprecated</strong> since version 3.0.0! The <code>Site Wide Only: true</code> plugin header is deprecated. Use <code>Network: true</code> instead. in /wordpress/wp-includes/functions.php on line 6121
[03-May-2025 10:36:19 UTC] PHP Deprecated:  Function get_plugin_data was called with an argument that is <strong>deprecated</strong> since version 3.0.0! The <code>Site Wide Only: true</code> plugin header is deprecated. Use <code>Network: true</code> instead. in /wordpress/wp-includes/functions.php on line 6121
[03-May-2025 10:36:29 UTC] PHP Deprecated:  Function get_plugin_data was called with an argument that is <strong>deprecated</strong> since version 3.0.0! The <code>Site Wide Only: true</code> plugin header is deprecated. Use <code>Network: true</code> instead. in /wordpress/wp-includes/functions.php on line 6121
[03-May-2025 10:36:30 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('BlogBuzzTime_wi...')
#2 /wordpress/wp-content/plugins/blogbuzztime-for-wp/functions.php(98): register_widget('BlogBuzzTime_wi...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): blogbuzztime_widget('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[03-May-2025 10:36:41 UTC] PHP Deprecated:  Function get_plugin_data was called with an argument that is <strong>deprecated</strong> since version 3.0.0! The <code>Site Wide Only: true</code> plugin header is deprecated. Use <code>Network: true</code> instead. in /wordpress/wp-includes/functions.php on line 6121
[03-May-2025 10:36:42 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('BlogBuzzTime_wi...')
#2 /wordpress/wp-content/plugins/blogbuzztime-for-wp/functions.php(98): register_widget('BlogBuzzTime_wi...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): blogbuzztime_widget('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[03-May-2025 10:36:52 UTC] PHP Deprecated:  Function get_plugin_data was called with an argument that is <strong>deprecated</strong> since version 3.0.0! The <code>Site Wide Only: true</code> plugin header is deprecated. Use <code>Network: true</code> instead. in /wordpress/wp-includes/functions.php on line 6121
[03-May-2025 10:36:54 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('BlogBuzzTime_wi...')
#2 /wordpress/wp-content/plugins/blogbuzztime-for-wp/functions.php(98): register_widget('BlogBuzzTime_wi...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): blogbuzztime_widget('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"bluesky-bookmark"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/bluesky-bookmark.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/bluesky-bookmark.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
      at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/bluesky-bookmark.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
    				cross-origin file downloads. Learn more about CORS at
    				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
    
    				If your file is on GitHub, load it from "raw.githubusercontent.com".
    				Here's how to do that:
    
    				1. Start with the original GitHub URL of the file. For example:
    				https://github.com/username/repository/blob/branch/filename.
    				2. Replace "github.com" with "raw.githubusercontent.com".
    				3. Remove the "/blob/" part of the URL.
    
    				The resulting URL should look like this:
    				https://raw.githubusercontent.com/username/repository/branch/filename
    
    				Error:
    				Error: Could not download "https://downloads.wordpress.org/plugin/bluesky-bookmark.latest-stable.zip"
        at Ct.resolve (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:1472:13)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async _.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/util/index.js:45:14)
  }
}

Node.js v23.11.0
