file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [13-Jun-2025 21:27:59 UTC] PHP Deprecated:  Required parameter $request follows optional parameter $params in /wordpress/wp-content/plugins/ma-visioconference-visio-chat/includes/Ma-Visioconference-API.class.php on line 19
[13-Jun-2025 21:33:50 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>magicbox</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Attempt to read property "categories" on null in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 31
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 279
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 280
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "684c993ecf850" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 285
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:33:50 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>magicbox</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "seo_image" in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_seo_image/index.php on line 44
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_seo_image/index.php on line 44
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "comment_manager" in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_comment_manager/index.php on line 41
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_comment_manager/index.php on line 41
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:33:50 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:01 UTC] PHP Warning:  Attempt to read property "categories" on null in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 31
[13-Jun-2025 21:34:01 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 279
[13-Jun-2025 21:34:01 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 280
[13-Jun-2025 21:34:01 UTC] PHP Warning:  Undefined array key "684c994918a88" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 285
[13-Jun-2025 21:34:02 UTC] PHP Warning:  Undefined array key "panelMessages" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 29
[13-Jun-2025 21:34:03 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>magicbox</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Attempt to read property "categories" on null in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 31
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 279
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 280
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "684c994be7ef0" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 285
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:03 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>magicbox</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "seo_image" in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_seo_image/index.php on line 44
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_seo_image/index.php on line 44
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "comment_manager" in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_comment_manager/index.php on line 41
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_comment_manager/index.php on line 41
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:03 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:13 UTC] PHP Warning:  Attempt to read property "categories" on null in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 31
[13-Jun-2025 21:34:14 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 279
[13-Jun-2025 21:34:14 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 280
[13-Jun-2025 21:34:14 UTC] PHP Warning:  Undefined array key "684c995684148" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 285
[13-Jun-2025 21:34:15 UTC] PHP Warning:  Undefined array key "panelMessages" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 29
[13-Jun-2025 21:34:16 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>magicbox</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Attempt to read property "categories" on null in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 31
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 279
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 280
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "684c9958d32e8" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 285
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:16 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>magicbox</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "seo_image" in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_seo_image/index.php on line 44
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_seo_image/index.php on line 44
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "comment_manager" in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_comment_manager/index.php on line 41
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/magicbox/app/moduls/mb_comment_manager/index.php on line 41
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "sub" in /wordpress/wp-content/plugins/magicbox/model/magicboxStaff.php on line 514
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133
[13-Jun-2025 21:34:16 UTC] PHP Warning:  Undefined array key "subs" in /wordpress/wp-content/plugins/magicbox/model/magicbox.php on line 133

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"mailchimp-single-opt-in-widget"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/mailchimp-single-opt-in-widget.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/mailchimp-single-opt-in-widget.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12093:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
      at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/mailchimp-single-opt-in-widget.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
    				cross-origin file downloads. Learn more about CORS at
    				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
    
    				If your file is on GitHub, load it from "raw.githubusercontent.com".
    				Here's how to do that:
    
    				1. Start with the original GitHub URL of the file. For example:
    				https://github.com/username/repository/blob/branch/filename.
    				2. Replace "github.com" with "raw.githubusercontent.com".
    				3. Remove the "/blob/" part of the URL.
    
    				The resulting URL should look like this:
    				https://raw.githubusercontent.com/username/repository/branch/filename
    
    				Error:
    				Error: Could not download "https://downloads.wordpress.org/plugin/mailchimp-single-opt-in-widget.latest-stable.zip"
        at Ct.resolve (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:1129:13)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async _.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/util/index.js:45:14)
  }
}

Node.js v23.11.0
