file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [13-Apr-2025 19:21:47 UTC] PHP Warning:  The magic method imcplus_taxcat_image::__wakeup() must have public visibility in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-taxcategory.php on line 217
[13-Apr-2025 19:24:45 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/ical-for-wp-calendar/ical-wp-calendar.php:333
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): icwpc_check_requirements('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-settings.php(559): do_action('plugins_loaded')
#4 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#5 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#6 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#7 {main}
  thrown in /wordpress/wp-content/plugins/ical-for-wp-calendar/ical-wp-calendar.php on line 333
[13-Apr-2025 19:24:53 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/ical-for-wp-calendar/ical-wp-calendar.php:333
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): icwpc_check_requirements('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-settings.php(559): do_action('plugins_loaded')
#4 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#5 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#6 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#7 {main}
  thrown in /wordpress/wp-content/plugins/ical-for-wp-calendar/ical-wp-calendar.php on line 333
[13-Apr-2025 19:25:01 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/ical-for-wp-calendar/ical-wp-calendar.php:333
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): icwpc_check_requirements('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-settings.php(559): do_action('plugins_loaded')
#4 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#5 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#6 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#7 {main}
  thrown in /wordpress/wp-content/plugins/ical-for-wp-calendar/ical-wp-calendar.php on line 333
[13-Apr-2025 19:26:30 UTC] PHP Deprecated:  Required parameter $source_image follows optional parameter $path in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 974
[13-Apr-2025 19:26:30 UTC] PHP Warning:  Undefined array key "image_action" in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 1064
[13-Apr-2025 19:26:31 UTC] PHP Deprecated:  Required parameter $source_image follows optional parameter $path in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 974
[13-Apr-2025 19:26:31 UTC] PHP Warning:  Undefined array key "image_action" in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 1064
[13-Apr-2025 19:26:31 UTC] PHP Warning:  Undefined array key "process_image" in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 1074
[13-Apr-2025 19:26:31 UTC] PHP Warning:  Undefined array key "image_action" in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 1094
[13-Apr-2025 19:26:31 UTC] PHP Warning:  Undefined array key "generate_image" in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 1107
[13-Apr-2025 19:26:31 UTC] PHP Warning:  Undefined variable $locale_taro in /wordpress/wp-content/plugins/image-studio/modules/settings.php on line 303
[13-Apr-2025 19:26:31 UTC] PHP Warning:  Undefined variable $locale_taro in /wordpress/wp-content/plugins/image-studio/modules/settings.php on line 304
[13-Apr-2025 19:26:31 UTC] PHP Warning:  Undefined array key "save_settings_field" in /wordpress/wp-content/plugins/image-studio/modules/settings.php on line 13
[13-Apr-2025 19:26:39 UTC] PHP Deprecated:  Required parameter $source_image follows optional parameter $path in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 974
[13-Apr-2025 19:26:39 UTC] PHP Warning:  Undefined array key "image_action" in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 1064
[13-Apr-2025 19:26:40 UTC] PHP Deprecated:  Required parameter $source_image follows optional parameter $path in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 974
[13-Apr-2025 19:26:40 UTC] PHP Warning:  Undefined array key "image_action" in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 1064
[13-Apr-2025 19:26:40 UTC] PHP Warning:  Undefined array key "process_image" in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 1074
[13-Apr-2025 19:26:40 UTC] PHP Warning:  Undefined array key "image_action" in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 1094
[13-Apr-2025 19:26:40 UTC] PHP Warning:  Undefined array key "generate_image" in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 1107
[13-Apr-2025 19:26:40 UTC] PHP Warning:  Undefined variable $locale_taro in /wordpress/wp-content/plugins/image-studio/modules/settings.php on line 303
[13-Apr-2025 19:26:40 UTC] PHP Warning:  Undefined variable $locale_taro in /wordpress/wp-content/plugins/image-studio/modules/settings.php on line 304
[13-Apr-2025 19:26:40 UTC] PHP Warning:  Undefined array key "save_settings_field" in /wordpress/wp-content/plugins/image-studio/modules/settings.php on line 13
[13-Apr-2025 19:26:47 UTC] PHP Deprecated:  Required parameter $source_image follows optional parameter $path in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 974
[13-Apr-2025 19:26:47 UTC] PHP Warning:  Undefined array key "image_action" in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 1064
[13-Apr-2025 19:26:48 UTC] PHP Deprecated:  Required parameter $source_image follows optional parameter $path in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 974
[13-Apr-2025 19:26:48 UTC] PHP Warning:  Undefined array key "image_action" in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 1064
[13-Apr-2025 19:26:48 UTC] PHP Warning:  Undefined array key "process_image" in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 1074
[13-Apr-2025 19:26:48 UTC] PHP Warning:  Undefined array key "image_action" in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 1094
[13-Apr-2025 19:26:48 UTC] PHP Warning:  Undefined array key "generate_image" in /wordpress/wp-content/plugins/image-studio/modules/hooks.php on line 1107
[13-Apr-2025 19:26:48 UTC] PHP Warning:  Undefined variable $locale_taro in /wordpress/wp-content/plugins/image-studio/modules/settings.php on line 303
[13-Apr-2025 19:26:48 UTC] PHP Warning:  Undefined variable $locale_taro in /wordpress/wp-content/plugins/image-studio/modules/settings.php on line 304
[13-Apr-2025 19:26:48 UTC] PHP Warning:  Undefined array key "save_settings_field" in /wordpress/wp-content/plugins/image-studio/modules/settings.php on line 13
[13-Apr-2025 19:26:57 UTC] PHP Fatal error:  'break' not in the 'loop' or 'switch' context in /wordpress/wp-content/plugins/imagine/imagine-ajax.php on line 647
[13-Apr-2025 19:27:05 UTC] PHP Fatal error:  'break' not in the 'loop' or 'switch' context in /wordpress/wp-content/plugins/imagine/imagine-ajax.php on line 647
[13-Apr-2025 19:27:13 UTC] PHP Fatal error:  'break' not in the 'loop' or 'switch' context in /wordpress/wp-content/plugins/imagine/imagine-ajax.php on line 647
[13-Apr-2025 19:28:59 UTC] PHP Fatal error:  Uncaught TypeError: call_user_func_array(): Argument #1 ($callback) must be a valid callback, non-static method Widget_economicIndicatorsCO::activate() cannot be called statically in /wordpress/wp-includes/class-wp-hook.php:324
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#1 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#2 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_indica...', false)
#3 /internal/eval.php(20): activate_plugin('indicadores-col...')
#4 {main}
  thrown in /wordpress/wp-includes/class-wp-hook.php on line 324
[13-Apr-2025 19:29:06 UTC] PHP Fatal error:  Uncaught TypeError: call_user_func_array(): Argument #1 ($callback) must be a valid callback, non-static method Widget_economicIndicatorsCO::activate() cannot be called statically in /wordpress/wp-includes/class-wp-hook.php:324
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#1 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#2 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_indica...', false)
#3 /internal/eval.php(20): activate_plugin('indicadores-col...')
#4 {main}
  thrown in /wordpress/wp-includes/class-wp-hook.php on line 324
[13-Apr-2025 19:29:14 UTC] PHP Fatal error:  Uncaught TypeError: call_user_func_array(): Argument #1 ($callback) must be a valid callback, non-static method Widget_economicIndicatorsCO::activate() cannot be called statically in /wordpress/wp-includes/class-wp-hook.php:324
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#1 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#2 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_indica...', false)
#3 /internal/eval.php(20): activate_plugin('indicadores-col...')
#4 {main}
  thrown in /wordpress/wp-includes/class-wp-hook.php on line 324

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"indicadores-colombia"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      ... 2 lines matching cause stack trace ...
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:987:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:33:39)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:974:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12517:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12446:23)
        at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
        at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
        at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
      response: PHPResponse {
        httpStatusCode: 500,
        headers: {
          'x-powered-by': [ 'PHP/8.0.30-dev' ],
          'content-type': [ 'text/html; charset=UTF-8' ]
        },
        bytes: Uint8Array(0) [],
        exitCode: 255,
        errors: ''
      },
      source: 'request'
    }
  }
}

Node.js v23.11.0
