file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [16-May-2025 23:26:11 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/awsom-drop-down-archive/awsomarchive.php on line 16
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 252
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 267
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 326
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 334
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 340
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 346
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 353
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 368
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 407
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 421
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 435
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 449
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 463
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 478
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 492
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 505
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 525
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 537
[16-May-2025 23:32:53 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 549
[16-May-2025 23:32:53 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/ajax-weather/ajax_weather_widget.php:118
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('ajax-weather/aj...')
#2 /internal/eval.php(20): activate_plugin('ajax-weather/aj...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/ajax-weather/ajax_weather_widget.php on line 118
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 120
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 161
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 172
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 241
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 252
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 267
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 326
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 334
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 340
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 346
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 353
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 368
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 407
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 421
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 435
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 449
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 463
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 478
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 492
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 505
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 525
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 537
[16-May-2025 23:32:59 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 549
[16-May-2025 23:32:59 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/ajax-weather/ajax_weather_widget.php:118
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('ajax-weather/aj...')
#2 /internal/eval.php(20): activate_plugin('ajax-weather/aj...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/ajax-weather/ajax_weather_widget.php on line 118
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 120
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 161
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 172
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 241
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 252
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 267
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 326
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 334
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 340
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 346
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 353
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 368
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 407
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 421
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 435
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 449
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 463
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 478
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 492
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 505
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 525
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 537
[16-May-2025 23:33:07 UTC] PHP Deprecated:  Required parameter $data follows optional parameter $attributes in /wordpress/wp-content/plugins/ajax-weather/class.HTML.php on line 549
[16-May-2025 23:33:07 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/ajax-weather/ajax_weather_widget.php:118
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('ajax-weather/aj...')
#2 /internal/eval.php(20): activate_plugin('ajax-weather/aj...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/ajax-weather/ajax_weather_widget.php on line 118
[16-May-2025 23:35:02 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /wordpress/wp-content/plugins/attachments-handler/core/utils.class.php on line 102
[16-May-2025 23:35:10 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /wordpress/wp-content/plugins/attachments-handler/core/utils.class.php on line 102
[16-May-2025 23:35:19 UTC] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /wordpress/wp-content/plugins/attachments-handler/core/utils.class.php on line 102
[16-May-2025 23:35:28 UTC] PHP Parse error:  syntax error, unexpected token "new" in /wordpress/wp-content/plugins/audio-player-oogiechetos/audio-player.php on line 886
[16-May-2025 23:35:35 UTC] PHP Parse error:  syntax error, unexpected token "new" in /wordpress/wp-content/plugins/audio-player-oogiechetos/audio-player.php on line 886
[16-May-2025 23:35:41 UTC] PHP Parse error:  syntax error, unexpected token "new" in /wordpress/wp-content/plugins/audio-player-oogiechetos/audio-player.php on line 886
[16-May-2025 23:36:11 UTC] PHP Deprecated:  Required parameter $data_to_save follows optional parameter $object_id in /wordpress/wp-content/plugins/author-box-creator/cmb2/includes/CMB2.php on line 360
[16-May-2025 23:36:19 UTC] PHP Deprecated:  Required parameter $data_to_save follows optional parameter $object_id in /wordpress/wp-content/plugins/author-box-creator/cmb2/includes/CMB2.php on line 360
[16-May-2025 23:36:28 UTC] PHP Deprecated:  Required parameter $data_to_save follows optional parameter $object_id in /wordpress/wp-content/plugins/author-box-creator/cmb2/includes/CMB2.php on line 360
[16-May-2025 23:37:04 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('AmlAdsenseWidge...')
#2 /wordpress/wp-content/plugins/amikelive-adsense-widget/aml_adsense.php(121): register_widget('AmlAdsenseWidge...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): AmlAdsenseWidgetInit('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[16-May-2025 23:37:12 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('AmlAdsenseWidge...')
#2 /wordpress/wp-content/plugins/amikelive-adsense-widget/aml_adsense.php(121): register_widget('AmlAdsenseWidge...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): AmlAdsenseWidgetInit('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[16-May-2025 23:37:21 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('AmlAdsenseWidge...')
#2 /wordpress/wp-content/plugins/amikelive-adsense-widget/aml_adsense.php(121): register_widget('AmlAdsenseWidge...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): AmlAdsenseWidgetInit('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"askanswerpost-a-simple-question-and-answer-widget"},"options":{"activate":true}}) : Could not download "https://downloads.wordpress.org/plugin/askanswerpost-a-simple-question-and-answer-widget.latest-stable.zip".
  				Check if the URL is correct and the server is reachable.
  				If it is reachable, the server might be blocking the request.
  				Check the browser console and network tabs for more information.
  
  				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
  
  				This means the server that hosts your file does not allow requests from other sites
  				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
  				cross-origin file downloads. Learn more about CORS at
  				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
  
  				If your file is on GitHub, load it from "raw.githubusercontent.com".
  				Here's how to do that:
  
  				1. Start with the original GitHub URL of the file. For example:
  				https://github.com/username/repository/blob/branch/filename.
  				2. Replace "github.com" with "raw.githubusercontent.com".
  				3. Remove the "/blob/" part of the URL.
  
  				The resulting URL should look like this:
  				https://raw.githubusercontent.com/username/repository/branch/filename
  
  				Error:
  				Error: Could not download "https://downloads.wordpress.org/plugin/askanswerpost-a-simple-question-and-answer-widget.latest-stable.zip"
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
      at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: Error: Could not download "https://downloads.wordpress.org/plugin/askanswerpost-a-simple-question-and-answer-widget.latest-stable.zip".
    				Check if the URL is correct and the server is reachable.
    				If it is reachable, the server might be blocking the request.
    				Check the browser console and network tabs for more information.
    
    				## Does the console show the error "No 'Access-Control-Allow-Origin' header"?
    
    				This means the server that hosts your file does not allow requests from other sites
    				(cross-origin requests, or CORS).	You need to move the asset to a server that allows
    				cross-origin file downloads. Learn more about CORS at
    				https://developer.mozilla.org/en-US/docs/Web/HTTP/CORS.
    
    				If your file is on GitHub, load it from "raw.githubusercontent.com".
    				Here's how to do that:
    
    				1. Start with the original GitHub URL of the file. For example:
    				https://github.com/username/repository/blob/branch/filename.
    				2. Replace "github.com" with "raw.githubusercontent.com".
    				3. Remove the "/blob/" part of the URL.
    
    				The resulting URL should look like this:
    				https://raw.githubusercontent.com/username/repository/branch/filename
    
    				Error:
    				Error: Could not download "https://downloads.wordpress.org/plugin/askanswerpost-a-simple-question-and-answer-widget.latest-stable.zip"
        at Ct.resolve (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:1472:13)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async _.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/util/index.js:45:14)
  }
}

Node.js v23.11.0
