file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [30-May-2025 05:29:02 UTC] PHP Parse error:  syntax error, unexpected ')' in /wordpress/wp-content/plugins/before-after-for-woocommerce/inc/functions.php on line 98
[30-May-2025 05:35:16 UTC] PHP Warning:  include(): Failed opening 'am_bp_PluginFunctions.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 31
[30-May-2025 05:35:16 UTC] PHP Warning:  include(am_bp_Need.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 40
[30-May-2025 05:35:16 UTC] PHP Warning:  include(): Failed opening 'am_bp_Need.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 40
[30-May-2025 05:35:16 UTC] PHP Warning:  include(am_bp_NeedList.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 41
[30-May-2025 05:35:16 UTC] PHP Warning:  include(): Failed opening 'am_bp_NeedList.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 41
[30-May-2025 05:35:16 UTC] PHP Warning:  include(am_bp_Project.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 42
[30-May-2025 05:35:16 UTC] PHP Warning:  include(): Failed opening 'am_bp_Project.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 42
[30-May-2025 05:35:16 UTC] PHP Warning:  include(am_bp_ProjectList.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 43
[30-May-2025 05:35:16 UTC] PHP Warning:  include(): Failed opening 'am_bp_ProjectList.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 43
[30-May-2025 05:35:16 UTC] PHP Warning:  include(am_bp_DashboardProjectMenu.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 44
[30-May-2025 05:35:16 UTC] PHP Warning:  include(): Failed opening 'am_bp_DashboardProjectMenu.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 44
[30-May-2025 05:35:16 UTC] PHP Warning:  include(am_bp_ConfigFunctions.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 52
[30-May-2025 05:35:16 UTC] PHP Warning:  include(): Failed opening 'am_bp_ConfigFunctions.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model:/wordpress/wp-content/plugins/better-press\Config') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 52
[30-May-2025 05:35:17 UTC] PHP Warning:  include(am_bp_OneInstanceObject.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 11
[30-May-2025 05:35:17 UTC] PHP Warning:  include(): Failed opening 'am_bp_OneInstanceObject.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 11
[30-May-2025 05:35:17 UTC] PHP Warning:  include(am_bp_InfoObject.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 12
[30-May-2025 05:35:17 UTC] PHP Warning:  include(): Failed opening 'am_bp_InfoObject.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 12
[30-May-2025 05:35:17 UTC] PHP Warning:  include(am_bp_ListObject.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 13
[30-May-2025 05:35:17 UTC] PHP Warning:  include(): Failed opening 'am_bp_ListObject.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 13
[30-May-2025 05:35:17 UTC] PHP Warning:  include(am_bp_Widget.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 21
[30-May-2025 05:35:17 UTC] PHP Warning:  include(): Failed opening 'am_bp_Widget.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 21
[30-May-2025 05:35:17 UTC] PHP Warning:  include(am_bp_ProjectController.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 30
[30-May-2025 05:35:17 UTC] PHP Warning:  include(): Failed opening 'am_bp_ProjectController.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 30
[30-May-2025 05:35:17 UTC] PHP Warning:  include(am_bp_PluginFunctions.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 31
[30-May-2025 05:35:17 UTC] PHP Warning:  include(): Failed opening 'am_bp_PluginFunctions.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 31
[30-May-2025 05:35:17 UTC] PHP Warning:  include(am_bp_Need.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 40
[30-May-2025 05:35:17 UTC] PHP Warning:  include(): Failed opening 'am_bp_Need.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 40
[30-May-2025 05:35:17 UTC] PHP Warning:  include(am_bp_NeedList.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 41
[30-May-2025 05:35:17 UTC] PHP Warning:  include(): Failed opening 'am_bp_NeedList.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 41
[30-May-2025 05:35:17 UTC] PHP Warning:  include(am_bp_Project.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 42
[30-May-2025 05:35:17 UTC] PHP Warning:  include(): Failed opening 'am_bp_Project.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 42
[30-May-2025 05:35:17 UTC] PHP Warning:  include(am_bp_ProjectList.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 43
[30-May-2025 05:35:17 UTC] PHP Warning:  include(): Failed opening 'am_bp_ProjectList.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 43
[30-May-2025 05:35:17 UTC] PHP Warning:  include(am_bp_DashboardProjectMenu.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 44
[30-May-2025 05:35:17 UTC] PHP Warning:  include(): Failed opening 'am_bp_DashboardProjectMenu.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 44
[30-May-2025 05:35:17 UTC] PHP Warning:  include(am_bp_ConfigFunctions.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 52
[30-May-2025 05:35:17 UTC] PHP Warning:  include(): Failed opening 'am_bp_ConfigFunctions.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model:/wordpress/wp-content/plugins/better-press\Config') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 52
[30-May-2025 05:35:17 UTC] PHP Fatal error:  Uncaught Error: Class "am_bp_Widget" not found in /wordpress/wp-includes/class-wp-widget-factory.php:62
Stack trace:
#0 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('am_bp_Widget')
#1 /wordpress/wp-content/plugins/better-press/am_BetterPress.php(43): register_widget('am_bp_Widget')
#2 /wordpress/wp-includes/class-wp-hook.php(324): registerWidget('')
#3 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#4 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#5 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#6 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#7 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#8 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#9 /wordpress/wp-settings.php(727): do_action('init')
#10 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#11 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#12 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#13 {main}
  thrown in /wordpress/wp-includes/class-wp-widget-factory.php on line 62
[30-May-2025 05:35:25 UTC] PHP Warning:  include(am_bp_OneInstanceObject.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 11
[30-May-2025 05:35:25 UTC] PHP Warning:  include(): Failed opening 'am_bp_OneInstanceObject.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 11
[30-May-2025 05:35:25 UTC] PHP Warning:  include(am_bp_InfoObject.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 12
[30-May-2025 05:35:25 UTC] PHP Warning:  include(): Failed opening 'am_bp_InfoObject.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 12
[30-May-2025 05:35:25 UTC] PHP Warning:  include(am_bp_ListObject.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 13
[30-May-2025 05:35:25 UTC] PHP Warning:  include(): Failed opening 'am_bp_ListObject.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 13
[30-May-2025 05:35:25 UTC] PHP Warning:  include(am_bp_Widget.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 21
[30-May-2025 05:35:25 UTC] PHP Warning:  include(): Failed opening 'am_bp_Widget.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 21
[30-May-2025 05:35:25 UTC] PHP Warning:  include(am_bp_ProjectController.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 30
[30-May-2025 05:35:25 UTC] PHP Warning:  include(): Failed opening 'am_bp_ProjectController.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 30
[30-May-2025 05:35:25 UTC] PHP Warning:  include(am_bp_PluginFunctions.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 31
[30-May-2025 05:35:25 UTC] PHP Warning:  include(): Failed opening 'am_bp_PluginFunctions.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 31
[30-May-2025 05:35:25 UTC] PHP Warning:  include(am_bp_Need.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 40
[30-May-2025 05:35:25 UTC] PHP Warning:  include(): Failed opening 'am_bp_Need.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 40
[30-May-2025 05:35:25 UTC] PHP Warning:  include(am_bp_NeedList.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 41
[30-May-2025 05:35:25 UTC] PHP Warning:  include(): Failed opening 'am_bp_NeedList.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 41
[30-May-2025 05:35:25 UTC] PHP Warning:  include(am_bp_Project.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 42
[30-May-2025 05:35:25 UTC] PHP Warning:  include(): Failed opening 'am_bp_Project.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 42
[30-May-2025 05:35:25 UTC] PHP Warning:  include(am_bp_ProjectList.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 43
[30-May-2025 05:35:25 UTC] PHP Warning:  include(): Failed opening 'am_bp_ProjectList.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 43
[30-May-2025 05:35:25 UTC] PHP Warning:  include(am_bp_DashboardProjectMenu.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 44
[30-May-2025 05:35:25 UTC] PHP Warning:  include(): Failed opening 'am_bp_DashboardProjectMenu.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 44
[30-May-2025 05:35:25 UTC] PHP Warning:  include(am_bp_ConfigFunctions.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 52
[30-May-2025 05:35:25 UTC] PHP Warning:  include(): Failed opening 'am_bp_ConfigFunctions.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model:/wordpress/wp-content/plugins/better-press\Config') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 52
[30-May-2025 05:35:26 UTC] PHP Warning:  include(am_bp_OneInstanceObject.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 11
[30-May-2025 05:35:26 UTC] PHP Warning:  include(): Failed opening 'am_bp_OneInstanceObject.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 11
[30-May-2025 05:35:26 UTC] PHP Warning:  include(am_bp_InfoObject.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 12
[30-May-2025 05:35:26 UTC] PHP Warning:  include(): Failed opening 'am_bp_InfoObject.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 12
[30-May-2025 05:35:26 UTC] PHP Warning:  include(am_bp_ListObject.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 13
[30-May-2025 05:35:26 UTC] PHP Warning:  include(): Failed opening 'am_bp_ListObject.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 13
[30-May-2025 05:35:26 UTC] PHP Warning:  include(am_bp_Widget.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 21
[30-May-2025 05:35:26 UTC] PHP Warning:  include(): Failed opening 'am_bp_Widget.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 21
[30-May-2025 05:35:26 UTC] PHP Warning:  include(am_bp_ProjectController.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 30
[30-May-2025 05:35:26 UTC] PHP Warning:  include(): Failed opening 'am_bp_ProjectController.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 30
[30-May-2025 05:35:26 UTC] PHP Warning:  include(am_bp_PluginFunctions.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 31
[30-May-2025 05:35:26 UTC] PHP Warning:  include(): Failed opening 'am_bp_PluginFunctions.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 31
[30-May-2025 05:35:26 UTC] PHP Warning:  include(am_bp_Need.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 40
[30-May-2025 05:35:26 UTC] PHP Warning:  include(): Failed opening 'am_bp_Need.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 40
[30-May-2025 05:35:26 UTC] PHP Warning:  include(am_bp_NeedList.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 41
[30-May-2025 05:35:26 UTC] PHP Warning:  include(): Failed opening 'am_bp_NeedList.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 41
[30-May-2025 05:35:26 UTC] PHP Warning:  include(am_bp_Project.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 42
[30-May-2025 05:35:26 UTC] PHP Warning:  include(): Failed opening 'am_bp_Project.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 42
[30-May-2025 05:35:26 UTC] PHP Warning:  include(am_bp_ProjectList.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 43
[30-May-2025 05:35:26 UTC] PHP Warning:  include(): Failed opening 'am_bp_ProjectList.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 43
[30-May-2025 05:35:26 UTC] PHP Warning:  include(am_bp_DashboardProjectMenu.class.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 44
[30-May-2025 05:35:26 UTC] PHP Warning:  include(): Failed opening 'am_bp_DashboardProjectMenu.class.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 44
[30-May-2025 05:35:26 UTC] PHP Warning:  include(am_bp_ConfigFunctions.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 52
[30-May-2025 05:35:26 UTC] PHP Warning:  include(): Failed opening 'am_bp_ConfigFunctions.php' for inclusion (include_path='.::/wordpress/wp-content/plugins/better-press\Abstract:/wordpress/wp-content/plugins/better-press\Widget:/wordpress/wp-content/plugins/better-press\Controller:/wordpress/wp-content/plugins/better-press\Model:/wordpress/wp-content/plugins/better-press\Config') in /wordpress/wp-content/plugins/better-press/am_bp_Includes.php on line 52
[30-May-2025 05:35:26 UTC] PHP Fatal error:  Uncaught Error: Class "am_bp_Widget" not found in /wordpress/wp-includes/class-wp-widget-factory.php:62
Stack trace:
#0 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('am_bp_Widget')
#1 /wordpress/wp-content/plugins/better-press/am_BetterPress.php(43): register_widget('am_bp_Widget')
