file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [09-Jul-2025 07:01:01 UTC] PHP Warning:  Undefined variable $pdwSkin in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 68
[09-Jul-2025 07:01:21 UTC] PHP Warning:  Undefined variable $localhost in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 73
[09-Jul-2025 07:01:21 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 76
[09-Jul-2025 07:01:21 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 81
[09-Jul-2025 07:01:21 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 84
[09-Jul-2025 07:02:00 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[09-Jul-2025 07:02:01 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[09-Jul-2025 07:02:09 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[09-Jul-2025 07:02:10 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[09-Jul-2025 07:02:19 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[09-Jul-2025 07:02:19 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[09-Jul-2025 07:04:26 UTC] PHP Warning:  Undefined array key "QAR" in /wordpress/wp-content/plugins/para-birimi/tcmbparabirimi-class.php on line 72
[09-Jul-2025 07:04:26 UTC] PHP Warning:  Undefined array key "KRW" in /wordpress/wp-content/plugins/para-birimi/tcmbparabirimi-class.php on line 72
[09-Jul-2025 07:04:26 UTC] PHP Warning:  Undefined array key "AZN" in /wordpress/wp-content/plugins/para-birimi/tcmbparabirimi-class.php on line 72
[09-Jul-2025 07:04:26 UTC] PHP Warning:  Undefined array key "AED" in /wordpress/wp-content/plugins/para-birimi/tcmbparabirimi-class.php on line 72
[09-Jul-2025 07:04:26 UTC] PHP Warning:  Undefined variable $parabirimi_widget in /wordpress/wp-content/plugins/para-birimi/tcmbparabirimi-class.php on line 82
[09-Jul-2025 07:04:26 UTC] PHP Warning:  Undefined variable $USDsell in /wordpress/wp-content/plugins/para-birimi/tcmbparabirimi-class.php on line 85
[09-Jul-2025 07:04:28 UTC] PHP Warning:  Undefined variable $plugindir in /wordpress/wp-content/plugins/para-birimi/tcmbparabirimi.php on line 101
[09-Jul-2025 07:04:39 UTC] PHP Fatal error:  Uncaught Error: Class 'WC_Admin_Settings' not found in /wordpress/wp-content/plugins/parcelow/woo-parcelow.php:1936
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): wcppa_setcookie_control('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-settings.php(727): do_action('init')
#4 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#5 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#6 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#7 {main}
  thrown in /wordpress/wp-content/plugins/parcelow/woo-parcelow.php on line 1936
[09-Jul-2025 07:04:50 UTC] PHP Fatal error:  Uncaught Error: Class 'WC_Admin_Settings' not found in /wordpress/wp-content/plugins/parcelow/woo-parcelow.php:1936
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): wcppa_setcookie_control('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-settings.php(727): do_action('init')
#4 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#5 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#6 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#7 {main}
  thrown in /wordpress/wp-content/plugins/parcelow/woo-parcelow.php on line 1936
[09-Jul-2025 07:05:00 UTC] PHP Fatal error:  Uncaught Error: Class 'WC_Admin_Settings' not found in /wordpress/wp-content/plugins/parcelow/woo-parcelow.php:1936
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): wcppa_setcookie_control('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-settings.php(727): do_action('init')
#4 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#5 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#6 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#7 {main}
  thrown in /wordpress/wp-content/plugins/parcelow/woo-parcelow.php on line 1936
[09-Jul-2025 07:07:29 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 5
[09-Jul-2025 07:07:29 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 7
[09-Jul-2025 07:07:29 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 10
[09-Jul-2025 07:07:29 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 12
[09-Jul-2025 07:07:29 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 13
[09-Jul-2025 07:07:29 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 15
[09-Jul-2025 07:07:29 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 17
[09-Jul-2025 07:07:29 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 19
[09-Jul-2025 07:08:29 UTC] PHP Warning:  file_get_contents(http://pluginstalk.com/?pactivated=yes&amp;pname=postLinker&amp;psite=example.com:443): Failed to open stream: HTTP request failed! in /wordpress/wp-content/plugins/post-linker/php/functions.php on line 20
[09-Jul-2025 07:08:30 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 5
[09-Jul-2025 07:08:30 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 7
[09-Jul-2025 07:08:30 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 10
[09-Jul-2025 07:08:30 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 12
[09-Jul-2025 07:08:30 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 13
[09-Jul-2025 07:08:30 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 15
[09-Jul-2025 07:08:30 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 17
[09-Jul-2025 07:08:30 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 19
[09-Jul-2025 07:08:39 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 5
[09-Jul-2025 07:08:39 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 7
[09-Jul-2025 07:08:39 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 10
[09-Jul-2025 07:08:39 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 12
[09-Jul-2025 07:08:39 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 13
[09-Jul-2025 07:08:39 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 15
[09-Jul-2025 07:08:39 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 17
[09-Jul-2025 07:08:39 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 19
[09-Jul-2025 07:09:39 UTC] PHP Warning:  file_get_contents(http://pluginstalk.com/?pactivated=yes&amp;pname=postLinker&amp;psite=example.com:443): Failed to open stream: HTTP request failed! in /wordpress/wp-content/plugins/post-linker/php/functions.php on line 20
[09-Jul-2025 07:09:40 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 5
[09-Jul-2025 07:09:40 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 7
[09-Jul-2025 07:09:40 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 10
[09-Jul-2025 07:09:40 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 12
[09-Jul-2025 07:09:40 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 13
[09-Jul-2025 07:09:40 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 15
[09-Jul-2025 07:09:40 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 17
[09-Jul-2025 07:09:40 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 19
[09-Jul-2025 07:09:48 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 5
[09-Jul-2025 07:09:48 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 7
[09-Jul-2025 07:09:48 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 10
[09-Jul-2025 07:09:48 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 12
[09-Jul-2025 07:09:48 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 13
[09-Jul-2025 07:09:48 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 15
[09-Jul-2025 07:09:48 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 17
[09-Jul-2025 07:09:48 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 19
[09-Jul-2025 07:10:48 UTC] PHP Warning:  file_get_contents(http://pluginstalk.com/?pactivated=yes&amp;pname=postLinker&amp;psite=example.com:443): Failed to open stream: HTTP request failed! in /wordpress/wp-content/plugins/post-linker/php/functions.php on line 20
[09-Jul-2025 07:10:49 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 5
[09-Jul-2025 07:10:49 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 7
[09-Jul-2025 07:10:49 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 10
[09-Jul-2025 07:10:49 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 12
[09-Jul-2025 07:10:49 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 13
[09-Jul-2025 07:10:49 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 15
[09-Jul-2025 07:10:49 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 17
[09-Jul-2025 07:10:49 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/post-linker/php/defines.php on line 19
[09-Jul-2025 07:12:25 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('PunchtabWidget')
#2 /wordpress/wp-content/plugins/punchtab/punchtab.php(75): register_widget('PunchtabWidget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): punchtab_widget_register_widgets('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[09-Jul-2025 07:12:35 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('PunchtabWidget')
#2 /wordpress/wp-content/plugins/punchtab/punchtab.php(75): register_widget('PunchtabWidget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): punchtab_widget_register_widgets('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"punchtab"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12093:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
      at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:1034:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:74:13)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:631:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12161:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12090:23)
        at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
        at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
      response: PHPResponse {
        httpStatusCode: 500,
        headers: {
          'x-powered-by': [ 'PHP/8.0.30-dev' ],
          'content-type': [ 'text/html; charset=UTF-8' ],
          expires: [ 'Wed, 11 Jan 1984 05:00:00 GMT' ],
          'cache-control': [ 'no-cache, must-revalidate, max-age=0, no-store, private' ]
        },
        bytes: Uint8Array(2653) [
           60,  33,  68,  79,  67,  84,  89,  80,  69,  32, 104, 116,
          109, 108,  62,  10,  60, 104, 116, 109, 108,  32, 108,  97,
          110, 103,  61,  34, 101, 110,  45,  85,  83,  34,  62,  10,
           60, 104, 101,  97, 100,  62,  10,   9,  60, 109, 101, 116,
           97,  32, 104, 116, 116, 112,  45, 101, 113, 117, 105, 118,
           61,  34,  67, 111, 110, 116, 101, 110, 116,  45,  84, 121,
          112, 101,  34,  32,  99, 111, 110, 116, 101, 110, 116,  61,
           34, 116, 101, 120, 116,  47, 104, 116, 109, 108,  59,  32,
           99, 104,  97, 114,
          ... 2553 more items
        ],
        exitCode: 255,
        errors: ''
      },
      source: 'request'
    }
  }
}

Node.js v23.11.0
