file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [05-May-2025 07:00:36 UTC] PHP Deprecated:  Required parameter $timestamp follows optional parameter $formatted in /wordpress/wp-content/plugins/wordpress-file-monitor-plus/classes/wpfmp.class.php on line 681
[05-May-2025 07:02:23 UTC] PHP Warning:  Undefined array key "dataInicio" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 636
[05-May-2025 07:02:23 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 637
[05-May-2025 07:02:23 UTC] PHP Warning:  Undefined array key "dataFim" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 637
[05-May-2025 07:02:23 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 638
[05-May-2025 07:02:23 UTC] PHP Warning:  Undefined array key "diaSemana" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 638
[05-May-2025 07:02:23 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 639
[05-May-2025 07:02:23 UTC] PHP Warning:  Undefined array key "horario" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 639
[05-May-2025 07:02:23 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 640
[05-May-2025 07:02:23 UTC] PHP Warning:  Undefined array key "status" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 640
[05-May-2025 07:02:32 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 194
[05-May-2025 07:02:32 UTC] PHP Warning:  Undefined array key "wpCursos_duracao" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 194
[05-May-2025 07:02:32 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 195
[05-May-2025 07:02:32 UTC] PHP Warning:  Undefined array key "wpCursos_requisitos" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 195
[05-May-2025 07:02:32 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 196
[05-May-2025 07:02:32 UTC] PHP Warning:  Undefined array key "wpCursos_aposcurso" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 196
[05-May-2025 07:02:32 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 197
[05-May-2025 07:02:32 UTC] PHP Warning:  Undefined array key "wpCursos_pontosfortes" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 197
[05-May-2025 07:02:32 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 634
[05-May-2025 07:02:32 UTC] PHP Warning:  Undefined array key "curso" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 634
[05-May-2025 07:02:32 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 635
[05-May-2025 07:02:32 UTC] PHP Warning:  Undefined array key "cursolink" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 635
[05-May-2025 07:02:32 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 636
[05-May-2025 07:02:32 UTC] PHP Warning:  Undefined array key "dataInicio" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 636
[05-May-2025 07:02:32 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 637
[05-May-2025 07:02:32 UTC] PHP Warning:  Undefined array key "dataFim" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 637
[05-May-2025 07:02:32 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 638
[05-May-2025 07:02:32 UTC] PHP Warning:  Undefined array key "diaSemana" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 638
[05-May-2025 07:02:32 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 639
[05-May-2025 07:02:32 UTC] PHP Warning:  Undefined array key "horario" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 639
[05-May-2025 07:02:32 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 640
[05-May-2025 07:02:32 UTC] PHP Warning:  Undefined array key "status" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 640
[05-May-2025 07:02:40 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 194
[05-May-2025 07:02:40 UTC] PHP Warning:  Undefined array key "wpCursos_duracao" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 194
[05-May-2025 07:02:40 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 195
[05-May-2025 07:02:40 UTC] PHP Warning:  Undefined array key "wpCursos_requisitos" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 195
[05-May-2025 07:02:40 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 196
[05-May-2025 07:02:40 UTC] PHP Warning:  Undefined array key "wpCursos_aposcurso" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 196
[05-May-2025 07:02:40 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 197
[05-May-2025 07:02:40 UTC] PHP Warning:  Undefined array key "wpCursos_pontosfortes" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 197
[05-May-2025 07:02:40 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 634
[05-May-2025 07:02:40 UTC] PHP Warning:  Undefined array key "curso" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 634
[05-May-2025 07:02:40 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 635
[05-May-2025 07:02:40 UTC] PHP Warning:  Undefined array key "cursolink" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 635
[05-May-2025 07:02:40 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 636
[05-May-2025 07:02:40 UTC] PHP Warning:  Undefined array key "dataInicio" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 636
[05-May-2025 07:02:40 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 637
[05-May-2025 07:02:40 UTC] PHP Warning:  Undefined array key "dataFim" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 637
[05-May-2025 07:02:40 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 638
[05-May-2025 07:02:40 UTC] PHP Warning:  Undefined array key "diaSemana" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 638
[05-May-2025 07:02:40 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 639
[05-May-2025 07:02:40 UTC] PHP Warning:  Undefined array key "horario" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 639
[05-May-2025 07:02:40 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 640
[05-May-2025 07:02:40 UTC] PHP Warning:  Undefined array key "status" in /wordpress/wp-content/plugins/wpcursos/wpcursos.php on line 640
[05-May-2025 07:03:58 UTC] PHP Warning:  Undefined array key "QUERY_STRING" in /wordpress/wp-content/plugins/wpseci/inc/jsp.php on line 18
[05-May-2025 07:03:58 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/wpseci/inc/jsp.php on line 19
[05-May-2025 07:03:58 UTC] PHP Fatal error:  Uncaught Error: Class "wpseci" not found in /wordpress/wp-content/plugins/wpseci/wpseci.php:13
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wpseci/wpseci.p...')
#2 /internal/eval.php(20): activate_plugin('wpseci/wpseci.p...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wpseci/wpseci.php on line 13
[05-May-2025 07:04:06 UTC] PHP Warning:  Undefined array key "QUERY_STRING" in /wordpress/wp-content/plugins/wpseci/inc/jsp.php on line 18
[05-May-2025 07:04:06 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/wpseci/inc/jsp.php on line 19
[05-May-2025 07:04:06 UTC] PHP Fatal error:  Uncaught Error: Class "wpseci" not found in /wordpress/wp-content/plugins/wpseci/wpseci.php:13
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wpseci/wpseci.p...')
#2 /internal/eval.php(20): activate_plugin('wpseci/wpseci.p...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wpseci/wpseci.php on line 13
[05-May-2025 07:04:14 UTC] PHP Warning:  Undefined array key "QUERY_STRING" in /wordpress/wp-content/plugins/wpseci/inc/jsp.php on line 18
[05-May-2025 07:04:14 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/wpseci/inc/jsp.php on line 19
[05-May-2025 07:04:14 UTC] PHP Fatal error:  Uncaught Error: Class "wpseci" not found in /wordpress/wp-content/plugins/wpseci/wpseci.php:13
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wpseci/wpseci.p...')
#2 /internal/eval.php(20): activate_plugin('wpseci/wpseci.p...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wpseci/wpseci.php on line 13
[05-May-2025 07:04:51 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/w4-simple-ajax-search/options_page.php on line 226
[05-May-2025 07:05:01 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/w4-simple-ajax-search/options_page.php on line 226
[05-May-2025 07:05:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/w4-simple-ajax-search/options_page.php on line 226
[05-May-2025 07:07:15 UTC] PHP Notice:  Function wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>tp-custom-clock-plugin-js</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6121
[05-May-2025 07:07:15 UTC] PHP Notice:  Function wp_enqueue_style was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>tp-custom-clock-plugin-css</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6121
[05-May-2025 07:07:15 UTC] PHP Notice:  Function is_feed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /wordpress/wp-includes/functions.php on line 6121
[05-May-2025 07:07:24 UTC] PHP Notice:  Function wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>tp-custom-clock-plugin-js</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6121
[05-May-2025 07:07:24 UTC] PHP Notice:  Function wp_enqueue_style was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>tp-custom-clock-plugin-css</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6121
[05-May-2025 07:07:24 UTC] PHP Notice:  Function is_feed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /wordpress/wp-includes/functions.php on line 6121
[05-May-2025 07:07:32 UTC] PHP Notice:  Function wp_enqueue_script was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>tp-custom-clock-plugin-js</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6121
[05-May-2025 07:07:32 UTC] PHP Notice:  Function wp_enqueue_style was called <strong>incorrectly</strong>. Scripts and styles should not be registered or enqueued until the <code>wp_enqueue_scripts</code>, <code>admin_enqueue_scripts</code>, or <code>login_enqueue_scripts</code> hooks. This notice was triggered by the <code>tp-custom-clock-plugin-css</code> handle. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.3.0.) in /wordpress/wp-includes/functions.php on line 6121
[05-May-2025 07:07:32 UTC] PHP Notice:  Function is_feed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /wordpress/wp-includes/functions.php on line 6121
[05-May-2025 07:08:08 UTC] PHP Deprecated:  Required parameter $instance follows optional parameter $args in /wordpress/wp-content/plugins/wp-e-commerce-popular-products/wp-e-commerce-popular-products.php on line 179
[05-May-2025 07:08:08 UTC] PHP Deprecated:  Required parameter $instance follows optional parameter $args in /wordpress/wp-content/plugins/wp-e-commerce-popular-products/wp-e-commerce-popular-products.php on line 179
[05-May-2025 07:08:08 UTC] PHP Fatal error:  Uncaught ArgumentCountError: Too few arguments to function WP_Widget::__construct(), 0 passed in /wordpress/wp-includes/class-wp-widget-factory.php on line 62 and at least 2 expected in /wordpress/wp-includes/class-wp-widget.php:163
Stack trace:
#0 /wordpress/wp-includes/class-wp-widget-factory.php(62): WP_Widget->__construct()
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('WP_Widget_Popul...')
#2 /wordpress/wp-content/plugins/wp-e-commerce-popular-products/wp-e-commerce-popular-products.php(128): register_widget('WP_Widget_Popul...')
#3 /wordpress/wp-includes/class-wp-hook.php(324): _wpsc_action_register_popular_widget('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(727): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"wp-e-commerce-popular-products"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      ... 2 lines matching cause stack trace ...
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:987:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:73:13)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:974:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12517:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12446:23)
        at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
        at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
        at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
      response: PHPResponse {
        httpStatusCode: 500,
        headers: {
          'x-powered-by': [ 'PHP/8.0.30-dev' ],
          'content-type': [ 'text/html; charset=UTF-8' ],
          expires: [ 'Wed, 11 Jan 1984 05:00:00 GMT' ],
          'cache-control': [ 'no-cache, must-revalidate, max-age=0, no-store, private' ]
        },
        bytes: Uint8Array(2653) [
           60,  33,  68,  79,  67,  84,  89,  80,  69,  32, 104, 116,
          109, 108,  62,  10,  60, 104, 116, 109, 108,  32, 108,  97,
          110, 103,  61,  34, 101, 110,  45,  85,  83,  34,  62,  10,
           60, 104, 101,  97, 100,  62,  10,   9,  60, 109, 101, 116,
           97,  32, 104, 116, 116, 112,  45, 101, 113, 117, 105, 118,
           61,  34,  67, 111, 110, 116, 101, 110, 116,  45,  84, 121,
          112, 101,  34,  32,  99, 111, 110, 116, 101, 110, 116,  61,
           34, 116, 101, 120, 116,  47, 104, 116, 109, 108,  59,  32,
           99, 104,  97, 114,
          ... 2553 more items
        ],
        exitCode: 255,
        errors: ''
      },
      source: 'request'
    }
  }
}

Node.js v23.11.0
