file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [26-May-2025 09:55:05 UTC] PHP Deprecated:  Required parameter $echo follows optional parameter $title in /wordpress/wp-content/plugins/bp-star-ratings/bepassive-framework/admin/markup.class.php on line 50
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:45 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:45 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:45 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:45 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:45 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:45 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:54 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:58:02 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:59:35 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bet-on-sports/bw-config.php on line 4
[26-May-2025 09:59:35 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bet-on-sports/bw-config.php on line 7
[26-May-2025 09:59:35 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/bet-on-sports/bukmekers-widget.php:64
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('bet-on-sports/b...')
#2 /internal/eval.php(20): activate_plugin('bet-on-sports/b...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/bet-on-sports/bukmekers-widget.php on line 64
[26-May-2025 09:59:43 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bet-on-sports/bw-config.php on line 4
[26-May-2025 09:59:43 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bet-on-sports/bw-config.php on line 7
[26-May-2025 09:59:43 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/bet-on-sports/bukmekers-widget.php:64
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('bet-on-sports/b...')
#2 /internal/eval.php(20): activate_plugin('bet-on-sports/b...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/bet-on-sports/bukmekers-widget.php on line 64
[26-May-2025 09:59:53 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bet-on-sports/bw-config.php on line 4
[26-May-2025 09:59:53 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bet-on-sports/bw-config.php on line 7
[26-May-2025 09:59:53 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/bet-on-sports/bukmekers-widget.php:64
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('bet-on-sports/b...')
#2 /internal/eval.php(20): activate_plugin('bet-on-sports/b...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/bet-on-sports/bukmekers-widget.php on line 64
[26-May-2025 10:02:39 UTC] PHP Deprecated:  Function get_theme_data is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme() instead. in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 10:02:40 UTC] PHP Deprecated:  Function get_theme_data is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme() instead. in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 10:02:48 UTC] PHP Deprecated:  Function get_theme_data is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme() instead. in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 10:02:49 UTC] PHP Deprecated:  Function get_theme_data is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme() instead. in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 10:02:57 UTC] PHP Deprecated:  Function get_theme_data is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme() instead. in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 10:02:58 UTC] PHP Deprecated:  Function get_theme_data is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme() instead. in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 10:03:10 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/better-github-widget/better-github-widget.php:146
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('better-github-w...')
#2 /internal/eval.php(20): activate_plugin('better-github-w...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/better-github-widget/better-github-widget.php on line 146
[26-May-2025 10:03:17 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/better-github-widget/better-github-widget.php:146
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('better-github-w...')
#2 /internal/eval.php(20): activate_plugin('better-github-w...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/better-github-widget/better-github-widget.php on line 146

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"better-github-widget"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      ... 2 lines matching cause stack trace ...
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:987:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:33:39)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:974:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12517:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12446:23)
        at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
        at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
        at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
      response: PHPResponse {
        httpStatusCode: 500,
        headers: {
          'x-powered-by': [ 'PHP/8.0.30-dev' ],
          'content-type': [ 'text/html; charset=UTF-8' ]
        },
        bytes: Uint8Array(0) [],
        exitCode: 255,
        errors: ''
      },
      source: 'request'
    }
  }
}

Node.js v23.11.0
